day,threshold,label,N,wr,ret,wl
1,-3,D1<-3%,79,72.2,7.99,1.54
1,-5,D1<-5%,62,69.4,8.32,1.7
1,-7,D1<-7%,38,71.1,8.87,1.72
2,-3,D2<-3%,84,77.4,9.7,1.84
2,-5,D2<-5%,61,77.0,9.73,1.81
2,-7,D2<-7%,37,73.0,10.49,2.01
2,-10,D2<-10%,21,61.9,8.89,2.15
2,-15,D2<-15%,7,42.9,3.15,2.3
3,-3,D3<-3%,79,86.1,14.48,2.85
3,-5,D3<-5%,67,85.1,15.04,3.02
3,-7,D3<-7%,54,83.3,14.53,2.73
3,-10,D3<-10%,32,90.6,18.49,3.31
3,-15,D3<-15%,15,93.3,16.34,2.84
4,-3,D4<-3%,78,83.3,13.31,2.65
4,-5,D4<-5%,64,84.4,13.76,3.29
4,-7,D4<-7%,48,85.4,14.21,4.42
4,-10,D4<-10%,34,82.4,14.29,5.59
4,-15,D4<-15%,14,85.7,11.39,3.79
5,-3,D5<-3%,79,84.8,10.95,1.63
5,-5,D5<-5%,65,83.1,11.15,1.7
5,-7,D5<-7%,44,84.1,11.28,1.71
5,-10,D5<-10%,27,88.9,14.16,1.72
5,-15,D5<-15%,14,100.0,17.74,
6,-3,D6<-3%,68,77.9,9.85,1.71
6,-5,D6<-5%,56,76.8,9.82,1.83
6,-7,D6<-7%,42,83.3,12.97,3.06
6,-10,D6<-10%,29,86.2,15.08,2.46
6,-15,D6<-15%,15,93.3,19.22,1.1
7,-3,D7<-3%,69,76.8,7.45,1.67
7,-5,D7<-5%,56,75.0,8.12,1.79
7,-7,D7<-7%,44,77.3,8.98,2.15
7,-10,D7<-10%,29,82.8,10.6,4.11
7,-15,D7<-15%,14,92.9,11.82,1.23
8,-3,D8<-3%,67,76.1,7.85,2.36
8,-5,D8<-5%,54,70.4,7.79,2.6
8,-7,D8<-7%,45,71.1,8.41,2.72
8,-10,D8<-10%,31,67.7,9.58,3.8
8,-15,D8<-15%,16,81.2,12.94,4.55
