event_date,stock_id,公司簡稱,參與分點清單,參與分點數,ret_10d,ret_20d,ret_60d,excess_10d,excess_20d,excess_60d
2018-03-01,2330,台積電,港商野村|新加坡商瑞銀,2,0.04938272,0.00411523,-0.07407407,0.0282757,-0.01764286,-0.09569835
2018-05-11,2330,台積電,港商野村|新加坡商瑞銀,2,-0.0193133,-0.02575107,0.05364807,-0.0287222,-0.07343156,0.04070578
2018-05-15,2317,鴻海,港商野村|新加坡商瑞銀,2,0.01860465,0.01976744,-0.01162791,0.00259135,-0.03476821,-0.02603463
2018-07-02,2492,華新科,港商野村|新加坡商瑞銀,2,-0.11559433,-0.16684842,-0.48854962,-0.10164397,-0.14793052,-0.4216119
2018-07-19,2330,台積電,港商野村|新加坡商瑞銀,2,0.08908686,0.06458797,0.02672606,0.0908797,0.09692066,0.16797492
2018-09-05,2330,台積電,港商野村|新加坡商瑞銀,2,-0.02272727,-0.03787879,-0.14583333,0.00250345,-0.00524273,-0.065148
2018-12-21,2330,台積電,港商野村|新加坡商瑞銀,2,-0.04697987,-0.01118568,0.098434,-0.05210836,-0.03983842,-0.01327277
2019-02-25,2330,台積電,港商野村|新加坡商瑞銀,2,-0.00420168,0.01470588,-0.02941176,-0.01301423,-0.00746275,-0.01691631
2019-04-10,2330,台積電,港商野村|新加坡商瑞銀,2,0.05905512,0.00984252,-0.04330709,0.05940766,0.0382979,-0.03646274
2019-05-14,2330,台積電,港商野村|新加坡商瑞銀,2,-0.07243461,-0.01006036,-0.00201207,-0.06571452,-0.01570968,-0.01151047
2019-07-19,2330,台積電,港商野村|新加坡商瑞銀,2,-0.02895753,-0.02702703,0.13127413,-0.01367344,-0.01192466,0.12173997
2019-09-02,2330,台積電,港商野村|新加坡商瑞銀,2,0.02912621,0.08543689,0.18446602,0.0247436,0.07969816,0.16580861
2019-10-30,2330,台積電,港商野村|新加坡商瑞銀,2,0.01502504,0.03839733,0.05175292,0.02025793,0.03407838,0.08339618
2019-12-25,2454,聯發科,港商野村|新加坡商瑞銀,2,-0.03318584,-0.15486726,-0.27544248,-0.02985912,-0.10143098,-0.08010461
2020-01-16,2317,鴻海,港商野村|新加坡商瑞銀,2,-0.08888889,-0.10333333,-0.17777778,-0.0370915,-0.07179804,-0.05637546
2020-02-10,2330,台積電,港商野村|新加坡商瑞銀,2,-0.02290076,-0.06259542,-0.09160305,-0.04426972,-0.04294299,-0.08048747
2020-04-08,2330,台積電,港商野村|新加坡商瑞銀,2,0.03157895,0.04385965,0.18596491,-0.00662738,-0.07315619,-0.07604751
2020-04-30,2454,聯發科,港商野村|新加坡商瑞銀,2,-0.00963855,0.11566265,0.63855422,-0.01643408,0.07439822,0.54280923
2020-05-29,2454,聯發科,港商野村|新加坡商瑞銀,2,0.0637149,0.25053996,0.27213823,0.04175541,0.18962226,0.16513548
2020-06-08,2330,台積電,港商野村|新加坡商瑞銀,2,-0.01886792,0.07232704,0.36163522,-0.03843442,0.00466005,0.27579822
2020-06-18,2327,國巨*,港商野村|新加坡商瑞銀,2,-0.0654321,-0.05679012,-0.11481481,-0.10837753,-0.08711638,-0.19026676
2020-07-08,2330,台積電,港商野村|新加坡商瑞銀,2,0.12609971,0.25806452,0.26979472,0.13281245,0.26638548,0.26515232
2020-08-06,2330,台積電,港商野村|新加坡商瑞銀,2,-0.04597701,0.00229885,0.0137931,-0.02025062,-0.02699305,-0.00733538
2020-08-06,3008,大立光,港商野村|新加坡商瑞銀,2,-0.14423077,-0.11177885,-0.25360577,-0.11850438,-0.14107074,-0.27473426
2020-08-10,2454,聯發科,港商野村|新加坡商瑞銀,2,-0.1713881,-0.1529745,-0.01416431,-0.16775359,-0.17885867,-0.04323352
2020-09-03,2330,台積電,港商野村|新加坡商瑞銀,2,0.02866972,-0.00802752,0.12385321,0.0190092,0.00198166,0.05856174
2020-10-19,2330,台積電,港商野村|新加坡商瑞銀,2,-0.04808743,0.0579235,0.29180328,-0.02768381,0.0418953,0.20340525
2020-11-16,2330,台積電,港商野村|新加坡商瑞銀,2,-0.0072314,0.04958678,0.36363636,-0.04935662,0.00263007,0.27763247
2020-12-16,2330,台積電,港商野村|新加坡商瑞銀,2,0.02539062,0.15625,0.16015625,-0.00158399,0.12329798,0.05258372
2021-01-08,2454,聯發科,港商野村|新加坡商瑞銀,2,0.09427208,0.13365155,0.16348449,0.12040016,0.16242226,0.01229868
2021-01-21,3711,日月光投控,港商野村|新加坡商瑞銀,2,-0.07393365,0.00473934,0.11848341,-0.07272999,-0.05526239,-0.09480391
2021-02-17,2330,台積電,港商野村|新加坡商瑞銀,2,-0.09351433,-0.09200603,-0.1372549,-0.1339559,-0.17581163,-0.18504604
2021-03-17,2303,聯電,港商野村|新加坡商瑞銀,2,0.04583333,0.125,0.11875,0.01446777,0.04446847,0.06616884
2021-03-23,2330,台積電,凱基-站前|港商野村,2,0.03198653,-0.00505051,-0.01851852,-0.02622519,-0.0759504,-0.05893997
2021-04-13,6488,環球晶,港商野村|新加坡商瑞銀,2,0.09090909,-0.17929293,0.13636364,0.05482694,-0.09885566,0.09738052
2021-04-23,2330,台積電,港商野村|新加坡商瑞銀,2,-0.02159468,-0.05647841,-0.03488372,-0.00258214,0.02538296,-0.05163823
2021-05-11,2454,聯發科,港商野村|新加坡商瑞銀,2,0.04500549,0.06037322,0.0428101,0.06389706,0.048113,-0.03748337
2021-05-17,3481,群創,凱基-信義|新加坡商瑞銀,2,0.29177719,0.09018568,0.04509284,0.18064555,-0.04472578,-0.12287843
2021-05-27,2330,台積電,港商野村|新加坡商瑞銀,2,0.02920962,0.01546392,-0.05154639,-0.00063123,-0.04414258,-0.06228684
2021-06-10,2603,長榮,凱基-信義|新加坡商瑞銀,2,0.40969163,0.64757709,0.10572687,0.38078848,0.59275588,0.07919915
