股票代號,公司簡稱,分點,近20日淨買超金額_萬
3017,奇鋐,凱基-竹科,38743.0
3443,創意,凱基-竹科,33992.5
2454,聯發科,凱基-竹科,18936.0
2357,華碩,凱基-竹科,9417.3
3081,聯亞,凱基-竹科,3336.0
2327,國巨*,凱基-竹科,3052.8
3008,大立光,台新-五權西,201784.5
3443,創意,台新-五權西,78124.5
4958,臻鼎-KY,台新-五權西,4817.7
3665,貿聯-KY,台新-五權西,4499.0
1597,直得,台新-五權西,4440.1
6770,力積電,台新-五權西,3043.7
3105,穩懋,國票-安和,161645.5
2303,聯電,國票-安和,99142.4
3008,大立光,國票-安和,70572.0
4958,臻鼎-KY,國票-安和,64568.8
8996,高力,國票-安和,59000.5
2455,全新,國票-安和,37198.7
2408,南亞科,國票-安和,34881.2
5274,信驊,國票-安和,34071.0
8358,金居,國票-安和,30488.7
3665,貿聯-KY,國票-安和,26632.5
3231,緯創,國票-安和,23060.4
3455,由田,國票-安和,18899.7
2313,華通,國票-安和,17137.2
8039,台虹,國票-安和,14716.7
6173,信昌電,國票-安和,14465.1
7769,鴻勁,港商野村,291511.0
2454,聯發科,港商野村,260366.5
3711,日月光投控,港商野村,219915.7
2360,致茂,港商野村,118229.5
3260,威剛,港商野村,105223.6
2303,聯電,港商野村,101741.1
2308,台達電,港商野村,101402.5
2383,台光電,港商野村,84947.5
2408,南亞科,港商野村,81861.4
3481,群創,港商野村,73452.3
2603,長榮,港商野村,70918.6
2327,國巨*,港商野村,57117.3
1815,富喬,港商野村,55176.3
3037,欣興,港商野村,54687.0
2357,華碩,港商野村,52369.9
2368,金像電,群益金鼎,161067.3
3105,穩懋,群益金鼎,154523.5
6669,緯穎,群益金鼎,102327.0
2303,聯電,群益金鼎,84064.4
3081,聯亞,群益金鼎,73807.5
2301,光寶科,群益金鼎,67378.4
2313,華通,群益金鼎,62459.9
1590,亞德客-KY,群益金鼎,53667.0
1303,南亞,群益金鼎,51990.2
6531,愛普*,群益金鼎,49213.2
2478,大毅,群益金鼎,48065.9
6147,頎邦,群益金鼎,44059.2
4958,臻鼎-KY,群益金鼎,42105.1
2609,陽明,群益金鼎,39092.5
3443,創意,群益金鼎,32846.5
