event_date,stock_id,broker,rolling_2y_buy_wan,ret_10d,excess_10d,ret_20d,excess_20d,ret_60d,excess_60d,company_name
2026-06-18,1303,凱基-站前,256055.27,0.41726619,0.40551131,0.34172662,0.41433799,,,南亞
2025-06-18,1519,凱基-站前,213115.8,-0.03697479,-0.03487878,0.02016807,0.027045,0.0487395,-0.01183955,華城
2025-09-10,1519,凱基-站前,205409.5,-0.05929487,-0.05982311,-0.11057692,-0.10333436,0.16987179,0.17033131,華城
2026-01-09,1519,凱基-站前,201675.95,0.31043257,0.2752721,0.15776081,0.15134305,0.10941476,0.0214367,華城
2025-03-07,2027,凱基-站前,216713.635,0.00197239,0.00546051,-0.09861933,0.08575197,-0.29585799,-0.20592792,大成鋼
2025-06-05,2027,凱基-站前,209890.28,-0.04621849,-0.03475263,-0.00420168,-0.00908972,0.08123249,0.02683845,大成鋼
2025-08-28,2027,凱基-站前,217468.49,-0.01295337,-0.00824407,0.01036269,0.00297767,-0.00388601,0.00939854,大成鋼
2025-11-26,2027,凱基-站前,217136.425,-0.04941482,-0.06831066,-0.09492848,-0.1267502,-0.05981795,-0.11162237,大成鋼
2026-03-04,2027,凱基-站前,220475.555,0.04840941,0.00279315,0.02213001,0.00231345,0.19502075,0.02523493,大成鋼
2026-06-01,2027,凱基-站前,217230.335,0.01041667,0.00989895,-0.06597222,-0.07036135,0.15740741,0.18581323,大成鋼
2026-08-26,2027,凱基-站前,226209.235,,,,,,,大成鋼
2026-01-20,2059,凱基-站前,202073.2,-0.14697802,-0.12767796,-0.05357143,-0.07157138,0.09340659,0.04490912,川湖
2026-06-09,2059,凱基-站前,215055.5,0.10448859,0.08447233,0.19131714,0.18062361,0.97939662,1.00934696,川湖
2026-09-03,2059,凱基-站前,253286.0,,,,,,,川湖
2026-04-22,2303,凱基-站前,220813.67,0.22773537,0.22149971,0.47582697,0.46628158,0.65394402,0.65976296,聯電
2026-07-20,2303,凱基-站前,665838.88,-0.09230769,-0.07538271,-0.06538462,-0.09223601,,,聯電
2025-07-03,2308,凱基-站前,278857.45,0.08714597,0.08979378,0.23529412,0.23981629,0.92592593,0.86891188,台達電
2025-09-25,2308,凱基-站前,316511.45,0.12217195,0.13990124,0.19909502,0.19739709,0.08031674,0.06966598,台達電
2025-12-24,2308,凱基-站前,342411.9,0.06282723,0.04805784,0.31937173,0.26892257,0.54450262,0.50493585,台達電
2026-04-01,2308,凱基-站前,405292.45,0.24745763,0.18543174,0.50508475,0.4321992,0.3220339,0.1699442,台達電
2026-06-30,2308,凱基-站前,396098.45,-0.03076923,-0.01848133,-0.23333333,-0.12472317,,,台達電
2026-09-04,2313,凱基-站前,200553.59,,,,,,,華通
2025-05-02,2317,凱基-站前,205349.95,0.07118644,0.04499692,0.03389831,0.03708821,0.19322034,0.17690435,鴻海
2025-07-28,2317,凱基-站前,227807.55,0.125,0.10992859,0.17897727,0.14118525,0.35795455,0.29876414,鴻海
2025-10-23,2317,凱基-站前,234595.8,0.0209205,0.03663925,-0.05857741,-0.00746965,-0.06485356,-0.12473111,鴻海
2026-01-20,2317,凱基-站前,310969.9,-0.03131991,-0.01201985,0.08724832,0.06924837,0.00894855,-0.03954892,鴻海
2026-04-28,2317,凱基-站前,316275.65,0.11308204,0.08434432,0.17073171,0.11215014,0.11973392,0.09204546,鴻海
2026-07-24,2317,凱基-站前,223845.65,0.02970297,0.03008196,-0.02772277,-0.04007047,,,鴻海
2026-05-18,2327,凱基-站前,244105.25,0.57684631,0.51451425,0.8762475,0.81336546,0.20159681,0.17396666,國巨*
2026-08-12,2327,凱基-站前,883837.85,-0.10797342,-0.11237724,,,,,國巨*
2020-12-17,2330,凱基-站前,209788.65,0.04330709,0.01508226,0.18307087,0.16560943,0.13385827,0.02476466,台積電
2021-03-24,2330,凱基-站前,269237.8,0.05902778,0.00345192,0.04513889,-0.03139061,0.00347222,-0.03772669,台積電
2021-06-22,2330,凱基-站前,294926.6,0.02422145,-0.0200294,0.00519031,-0.04606531,0.06055363,0.05219496,台積電
2021-09-14,2330,凱基-站前,290543.75,-0.05383361,-0.04928193,-0.02120718,0.00218361,-0.01305057,-0.07712577,台積電
2021-12-10,2330,凱基-站前,292392.35,-0.00165289,-0.01569968,0.06280992,0.04786665,-0.03801653,-0.02122179,台積電
2022-03-17,2330,凱基-站前,271943.65,0.0257732,0.00453858,-0.03608247,-0.03329582,-0.12542955,-0.10231663,台積電
2022-06-15,2330,凱基-站前,261409.4,-0.03536346,-0.00091669,-0.07563851,0.00762905,-0.07170923,-0.0369053,台積電
2022-09-07,2330,凱基-站前,240914.4,-0.01693122,-0.02086845,-0.04550265,-0.01120852,0.04232804,0.02741357,台積電
2022-12-02,2330,凱基-站前,208956.75,-0.04365482,-0.0353747,-0.0893401,-0.06270609,0.04771574,-0.02197244,台積電
2024-04-02,2330,凱基-站前,288311.55,0.01772152,0.0196774,-0.01265823,-0.0282307,0.22531646,0.133066,台積電
2024-07-01,2330,凱基-站前,676690.35,0.07438017,0.05485756,-0.03512397,-0.01404441,0.04855372,0.06201689,台積電
2024-09-26,2330,凱基-站前,1386501.65,0.05418719,0.06098596,0.02463054,0.03766567,0.06896552,0.10139022,台積電
2024-12-25,2330,凱基-站前,1860297.4,0.01382488,0.03631767,-0.01382488,0.00959826,-0.12995392,-0.09355062,台積電
2025-04-01,2330,凱基-站前,2249655.2,-0.10275424,-0.00977714,0.00635593,0.05323169,0.12288136,0.16599695,台積電
