pair,branch_i,branch_j,d0,code,d1,period,i_net_amt_wan,i_influence_pct,j_net_amt_wan,j_influence_pct,d1_open,d1_high,d1_close,stop_price,stopped,frozen,short_ret_pct,abs20_excluded,success
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2018-02-23,6609,2018-02-26,in_sample,127.05,0.951,726.0,5.4344,37.3,38.5,36.6,39.102,False,False,1.8767,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2018-05-22,8069,2018-05-23,in_sample,802.56,0.5184,788.48,0.5093,34.6,34.75,34.05,37.926,False,False,1.5896,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2018-06-13,2208,2018-06-14,in_sample,423.55,1.7688,1351.42,5.6437,19.8,20.75,19.7,21.217,False,False,0.5051,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2018-06-20,4513,2018-06-21,in_sample,395.025,2.1424,138.0,0.7484,18.7,18.95,18.95,18.571,True,False,0.6898,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2018-07-26,6568,2018-07-27,in_sample,433.55,3.2221,224.25,1.6666,153.0,154.5,150.0,160.72,False,False,1.9608,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2019-02-20,6552,2019-02-21,in_sample,544.8,0.6175,862.6,0.9777,114.5,117.0,111.0,122.01,False,False,3.0568,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2019-02-25,5340,2019-02-26,in_sample,185.22,2.1074,154.35,1.7562,22.15,23.55,23.55,23.765,False,False,-6.3205,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2019-04-17,5340,2019-04-18,in_sample,581.845,3.6968,214.775,1.3646,40.05,42.2,39.3,42.091,True,False,-5.0961,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2019-06-12,5340,2019-06-13,in_sample,277.095,5.9116,45.675,0.9744,30.65,33.45,33.45,32.781,True,False,-6.9527,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2019-07-01,8046,2019-07-02,in_sample,830.4,1.0976,2681.5,3.5443,42.8,44.15,43.15,46.599,False,False,-0.8178,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-02-24,6538,2020-02-25,in_sample,1025.7,0.8916,1788.4,1.5546,266.0,286.0,278.5,283.22,True,False,-6.4737,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-03-04,4735,2020-03-05,in_sample,386.88,0.551,3070.08,4.3723,64.0,68.4,63.7,67.228,True,False,-5.0438,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-03-10,2338,2020-03-11,in_sample,415.795,0.6447,2950.02,4.5739,30.65,30.7,28.85,32.683,False,False,5.8728,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-03-25,2313,2020-03-26,in_sample,873.18,0.8853,1755.18,1.7796,30.1,31.5,31.3,31.654,False,False,-3.9867,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-03-25,2404,2020-03-26,in_sample,478.5,1.9935,7895.25,32.8932,168.5,169.0,161.0,171.5,False,False,4.451,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-04-06,1732,2020-04-07,in_sample,112.86,0.4286,1109.79,4.2144,32.25,34.0,30.5,33.761,True,False,-4.6853,False,False
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-05-13,1762,2020-05-14,in_sample,565.8,0.2392,3105.0,1.3124,70.1,73.5,66.3,74.382,False,False,5.4208,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-06-22,6276,2020-06-23,in_sample,51.0,0.561,255.0,2.8049,25.7,26.5,24.3,27.489,False,False,5.4475,False,True
統一-城中 x 富邦/富邦證券(裸名稱),統一-城中,富邦/富邦證券(裸名稱),2020-06-29,1325,2020-06-30,in_sample,684.0,0.3148,7934.4,3.6512,172.0,175.0,165.0,184.24,False,False,4.0698,False,True
