stock_id,name,theme,confidence
2317,鴻海,AI伺服器組裝與零組件,high
2324,仁寶,AI伺服器組裝與零組件,high
2356,英業達,AI伺服器組裝與零組件,high
2376,技嘉,AI伺服器組裝與零組件,high
2382,廣達,AI伺服器組裝與零組件,high
3231,緯創,AI伺服器組裝與零組件,high
3706,神達,AI伺服器組裝與零組件,high
6166,凌華,AI伺服器組裝與零組件,high
6187,萬潤,AI伺服器組裝與零組件,high
6196,帆宣,AI伺服器組裝與零組件,high
9914,美利達,AI伺服器組裝與零組件,high
1304,台聚,CCL與銅箔材料,high
1305,華夏,CCL與銅箔材料,high
1605,華新,CCL與銅箔材料,high
1608,華榮,CCL與銅箔材料,high
1717,長興,CCL與銅箔材料,high
1802,台玻,CCL與銅箔材料,high
2009,第一銅,CCL與銅箔材料,high
2383,台光電,CCL與銅箔材料,high
4721,美琪瑪,CCL與銅箔材料,high
6274,台燿,CCL與銅箔材料,high
2344,華邦電,IC設計_消費通訊,high
2379,瑞昱,IC設計_消費通訊,high
2408,南亞科,IC設計_消費通訊,high
2454,聯發科,IC設計_消費通訊,high
3006,晶豪科,IC設計_消費通訊,high
3034,聯詠,IC設計_消費通訊,high
3044,健鼎,IC設計_消費通訊,high
3227,原相,IC設計_消費通訊,high
3260,威剛,IC設計_消費通訊,high
3413,京鼎,IC設計_消費通訊,high
3529,力旺,IC設計_消費通訊,high
3552,同致,IC設計_消費通訊,high
3577,泓格,IC設計_消費通訊,high
3661,世芯-KY,IC設計_消費通訊,high
4915,致伸,IC設計_消費通訊,high
4961,天鈺,IC設計_消費通訊,high
4967,十銓,IC設計_消費通訊,high
5269,祥碩,IC設計_消費通訊,high
5274,信驊,IC設計_消費通訊,high
5351,鈺創,IC設計_消費通訊,high
5483,中美晶,IC設計_消費通訊,high
6104,創惟,IC設計_消費通訊,high
6138,茂達,IC設計_消費通訊,high
6239,力成,IC設計_消費通訊,high
6415,矽力*-KY,IC設計_消費通訊,high
6435,大中,IC設計_消費通訊,high
6451,訊芯-KY,IC設計_消費通訊,high
6510,精測,IC設計_消費通訊,high
6533,晶心科,IC設計_消費通訊,high
6691,洋基工程,IC設計_消費通訊,high
6719,力智,IC設計_消費通訊,high
6756,威鋒電子,IC設計_消費通訊,high
8016,矽創,IC設計_消費通訊,high
8049,晶采,IC設計_消費通訊,high
8069,元太,IC設計_消費通訊,high
8081,致新,IC設計_消費通訊,high
8299,群聯,IC設計_消費通訊,high
2340,台亞,LED與MiniLED,high
2393,億光,LED與MiniLED,high
2409,友達,LED與MiniLED,medium
2426,鼎元,LED與MiniLED,high
2455,全新,LED與MiniLED,high
2489,瑞軒,LED與MiniLED,medium
3049,精金,LED與MiniLED,high
3437,榮創,LED與MiniLED,high
3545,敦泰,LED與MiniLED,medium
3673,TPK-KY,LED與MiniLED,medium
3714,富采,LED與MiniLED,high
4949,有成精密,LED與MiniLED,high
4960,誠美材,LED與MiniLED,medium
6168,宏齊,LED與MiniLED,medium
6176,瑞儀,LED與MiniLED,high
6226,光鼎,LED與MiniLED,high
6278,台表科,LED與MiniLED,high
8111,立碁,LED與MiniLED,high
2313,華通,PCB製造,high
2367,燿華,PCB製造,high
2368,金像電,PCB製造,high
3037,欣興,PCB製造,high
3046,建碁,PCB製造,high
3189,景碩,PCB製造,high
4958,臻鼎-KY,PCB製造,high
5469,瀚宇博,PCB製造,high
6205,詮欣,PCB製造,high
6213,聯茂,PCB製造,high
6269,台郡,PCB製造,high
6715,嘉基,PCB製造,high
8021,尖點,PCB製造,high
8046,南電,PCB製造,high
8110,華東,PCB製造,high
8155,博智,PCB製造,high
8210,勤誠,PCB製造,high
8358,金居,PCB製造,high
3008,大立光,光學鏡頭與CIS,high
3019,亞光,光學鏡頭與CIS,high
3406,玉晶光,光學鏡頭與CIS,high
3481,群創,光學鏡頭與CIS,high
3630,新鉅科,光學鏡頭與CIS,high
4976,佳凌,光學鏡頭與CIS,high
5243,乙盛-KY,光學鏡頭與CIS,high
5371,中光電,光學鏡頭與CIS,high
5488,松普,光學鏡頭與CIS,high
6116,彩晶,光學鏡頭與CIS,high
6491,晶碩,光學鏡頭與CIS,high
6668,中揚光,光學鏡頭與CIS,high
3081,聯亞,光通訊,high
3163,波若威,光通訊,high
3234,光環,光通訊,high
3363,上詮,光通訊,high
4979,華星光,光通訊,high
5209,新鼎,光通訊,high
6143,振曜,光通訊,high
6223,旺矽,光通訊,high
6416,瑞祺電通,光通訊,high
6470,宇智,光通訊,high
6805,富世達,光通訊,high
2303,聯電,半導體晶圓代工,high
2329,華泰,半導體晶圓代工,high
2330,台積電,半導體晶圓代工,high
2449,京元電子,半導體晶圓代工,high
3264,欣銓,半導體晶圓代工,high
3443,創意,半導體晶圓代工,high
3532,台勝科,半導體晶圓代工,high
3711,日月光投控,半導體晶圓代工,high
4919,新唐,半導體晶圓代工,high
5347,世界,半導體晶圓代工,high
6147,頎邦,半導體晶圓代工,high
6488,環球晶,半導體晶圓代工,high
6531,愛普*,半導體晶圓代工,high
6558,興能高,半導體晶圓代工,high
6643,M31,半導體晶圓代工,high
6669,緯穎,半導體晶圓代工,high
6770,力積電,半導體晶圓代工,high
6789,采鈺,半導體晶圓代工,high
8150,南茂,半導體晶圓代工,high
8271,宇瞻,半導體晶圓代工,high
1301,台塑,塑化與化工,medium
1303,南亞,塑化與化工,medium
1307,三芳,塑化與化工,medium
1308,亞聚,塑化與化工,medium
1310,台苯,塑化與化工,medium
1312,國喬,塑化與化工,medium
1313,聯成,塑化與化工,medium
1314,中石化,塑化與化工,medium
1315,達新,塑化與化工,medium
1316,上曜,塑化與化工,medium
1321,大洋,塑化與化工,medium
1323,永裕,塑化與化工,medium
1324,地球,塑化與化工,medium
1325,恆大,塑化與化工,medium
1326,台化,塑化與化工,medium
1337,再生-KY,塑化與化工,medium
1340,勝悅-KY,塑化與化工,medium
1341,富林-KY,塑化與化工,medium
1342,八貫,塑化與化工,medium
1402,遠東新,塑化與化工,medium
1409,新纖,塑化與化工,medium
1410,南染,塑化與化工,medium
1413,宏洲,塑化與化工,medium
1414,東和,塑化與化工,medium
1416,廣豐,塑化與化工,medium
1417,嘉裕,塑化與化工,medium
1418,東華,塑化與化工,medium
1423,利華,塑化與化工,medium
1440,南紡,塑化與化工,medium
1441,大東,塑化與化工,medium
1443,立益物流,塑化與化工,medium
1444,力麗,塑化與化工,medium
1445,大宇,塑化與化工,medium
1446,宏和,塑化與化工,medium
1447,力鵬,塑化與化工,medium
1449,佳和,塑化與化工,medium
1460,宏遠,塑化與化工,medium
1465,偉全,塑化與化工,medium
1467,南緯,塑化與化工,medium
1470,大統新創,塑化與化工,medium
1471,首利,塑化與化工,medium
1472,三洋實業,塑化與化工,medium
1473,台南,塑化與化工,medium
1474,弘裕,塑化與化工,medium
1476,儒鴻,塑化與化工,medium
1477,聚陽,塑化與化工,medium
1480,東盟開發,塑化與化工,medium
1504,東元,塑化與化工,medium
1712,興農,塑化與化工,medium
1713,國化,塑化與化工,medium
1714,和桐,塑化與化工,medium
1718,中纖,塑化與化工,medium
1720,生達,塑化與化工,medium
1721,三晃,塑化與化工,medium
1722,台肥,塑化與化工,medium
1723,中碳,塑化與化工,medium
1725,元禎,塑化與化工,medium
1726,永記,塑化與化工,medium
1727,中華化,塑化與化工,medium
1730,花仙子,塑化與化工,medium
1731,美吾華,塑化與化工,medium
1732,毛寶,塑化與化工,medium
1733,五鼎,塑化與化工,medium
1735,日勝化,塑化與化工,medium
1736,喬山,塑化與化工,medium
1737,臺鹽,塑化與化工,medium
1760,寶齡富錦,塑化與化工,medium
1773,勝一,塑化與化工,medium
1776,展宇,塑化與化工,medium
1781,合世,塑化與化工,medium
1786,科妍,塑化與化工,medium
1789,神隆,塑化與化工,medium
1806,冠軍,塑化與化工,medium
1810,和成,塑化與化工,medium
1815,富喬,塑化與化工,medium
1903,士紙,塑化與化工,medium
4706,大恭,塑化與化工,medium
4720,德淵,塑化與化工,medium
4722,國精化,塑化與化工,medium
4739,康普,塑化與化工,medium
4741,泓瀚,塑化與化工,medium
6509,聚和,塑化與化工,medium
6582,申豐,塑化與化工,medium
9955,佳龍,塑化與化工,medium
2395,研華,工業電腦與邊緣運算,high
2405,輔信,工業電腦與邊緣運算,high
2465,麗臺,工業電腦與邊緣運算,high
3005,神基,工業電腦與邊緣運算,high
3022,威強電,工業電腦與邊緣運算,high
3088,艾訊,工業電腦與邊緣運算,high
3090,日電貿,工業電腦與邊緣運算,high
3416,融程電,工業電腦與邊緣運算,high
3499,環天科,工業電腦與邊緣運算,high
6203,海韻電,工業電腦與邊緣運算,high
6579,研揚,工業電腦與邊緣運算,high
8234,新漢,工業電腦與邊緣運算,high
1432,大魯閣,營建資產,medium
1434,福懋,營建資產,medium
1435,中福,營建資產,medium
1436,華友聯,營建資產,medium
1437,勤益控,營建資產,medium
1438,三地開發,營建資產,medium
1439,雋揚,營建資產,medium
1442,名軒,營建資產,medium
1451,年興,營建資產,medium
1452,宏益,營建資產,medium
1453,大將,營建資產,medium
1455,集盛,營建資產,medium
1456,怡華,營建資產,medium
1457,宜進,營建資產,medium
1459,聯發,營建資產,medium
1463,強盛新,營建資產,medium
1464,得力,營建資產,medium
1466,聚隆,營建資產,medium
1805,寶徠,營建資產,medium
2501,國建,營建資產,medium
2504,國產,營建資產,medium
2505,國揚,營建資產,medium
2506,太設,營建資產,medium
2509,全坤建,營建資產,medium
2511,太子,營建資產,medium
2514,龍邦,營建資產,medium
2515,中工,營建資產,medium
2520,冠德,營建資產,medium
2524,京城,營建資產,medium
2527,宏璟,營建資產,medium
2530,華建,營建資產,medium
2534,宏盛,營建資產,medium
2535,達欣工,營建資產,medium
2536,宏普,營建資產,medium
2537,聯上發,營建資產,medium
2538,基泰,營建資產,medium
2539,櫻花建,營建資產,medium
2540,愛山林,營建資產,medium
2542,興富發,營建資產,medium
2543,皇昌,營建資產,medium
2545,皇翔,營建資產,medium
2546,根基,營建資產,medium
2547,日勝生,營建資產,medium
2548,華固,營建資產,medium
2597,潤弘,營建資產,medium
3052,夆典,營建資產,medium
5511,德昌,營建資產,medium
5512,力麒,營建資產,medium
5514,三豐,營建資產,medium
5521,工信,營建資產,medium
5522,遠雄,營建資產,medium
5525,順天,營建資產,medium
5529,鉅陞,營建資產,medium
5531,鄉林,營建資產,medium
5533,皇鼎,營建資產,medium
5534,長虹,營建資產,medium
6177,達麗,營建資產,medium
6219,富旺,營建資產,medium
1707,葡萄王,生技醫療,medium
1734,杏輝,生技醫療,medium
1783,和康生,生技醫療,medium
1795,美時,生技醫療,medium
4104,佳醫,生技醫療,medium
4105,東洋,生技醫療,medium
4107,邦特,生技醫療,medium
4114,健喬,生技醫療,medium
4123,晟德,生技醫療,medium
4130,健亞,生技醫療,medium
4142,國光生,生技醫療,medium
4153,鈺緯,生技醫療,medium
4162,智擎,生技醫療,medium
4174,浩鼎,生技醫療,medium
4743,合一,生技醫療,medium
6576,逸達,生技醫療,medium
2436,偉詮電,石英與頻率元件,high
2481,強茂,石英與頻率元件,high
3042,晶技,石英與頻率元件,high
3221,台嘉碩,石英與頻率元件,high
5299,杰力,石英與頻率元件,high
