q,mean_fwd10,n,win%,feature
0,1.2396770969672541,36925,53.16993906567367,price_position_252
1,0.49601752972982655,18462,48.819196186762,price_position_252
2,0.4292877669520408,18462,47.81713790488571,price_position_252
3,1.0012731052847283,18462,46.73383165420864,price_position_252
0,0.44137701189644296,25252,46.45572627910661,breadth_severe
1,-0.20811903677801702,14239,44.602851323828915,breadth_severe
2,0.49708996960506274,17436,47.31016288139481,breadth_severe
3,0.18935349901470255,17374,48.32508345804075,breadth_severe
4,3.317469544011383,18474,62.628559055970555,breadth_severe
0,0.40603186682332787,19375,46.12129032258064,breadth_moderate
1,0.15182819724754068,17934,45.617263298762126,breadth_moderate
2,0.1963337478129119,18467,45.854767964477176,breadth_moderate
3,1.2987151401390657,18599,52.30388730576912,breadth_moderate
4,2.3400007378402985,18400,59.69565217391304,breadth_moderate
0,1.0323203344809002,18555,51.13985448666127,vol_ratio
1,0.9330933482168811,18555,50.04042037186742,vol_ratio
2,0.9186160614560445,18555,50.13742926434923,vol_ratio
3,0.8352923872767519,18555,50.15898679601186,vol_ratio
4,0.6690511424960405,18555,48.03556992724333,vol_ratio
0,0.6083159638661976,68774,48.21298746619362,streak_down_days
1,1.6557670723370697,11196,54.957127545551984,streak_down_days
2,1.6440434093626473,12805,54.55681374463101,streak_down_days
0,2.2099193033621156,16720,55.38277511961722,margin_chg5
1,0.4549346810115632,16715,51.325157044570744,margin_chg5
2,0.7409432551125522,16834,49.762385648093144,margin_chg5
3,0.568534482065888,16665,49.31893189318932,margin_chg5
4,0.7845525644296139,16649,45.918673794221874,margin_chg5
0,3.3624624196322213,18542,60.505878546003665,drawdown_20d
1,0.03804675988885423,18542,49.331247977564445,drawdown_20d
2,-0.06136477461314641,18540,46.68284789644013,drawdown_20d
3,0.4183107654852875,18542,47.13083809729263,drawdown_20d
4,0.6246644058268931,18540,45.86299892125135,drawdown_20d
0,1.2214236232806308,18555,50.3368364322285,log_mktcap
1,0.8441086978742378,18555,49.011048234977096,log_mktcap
2,0.683722630759131,18556,49.31558525544298,log_mktcap
3,0.7466659540714344,18554,49.18615931874528,log_mktcap
4,0.8924557601978972,18555,51.66262462947992,log_mktcap
0,0.9964057528498527,18555,51.52789005658852,log_liquidity
1,0.9350167512638183,18555,50.35839396389113,log_liquidity
2,0.8351043587962649,18555,49.77634060900027,log_liquidity
3,0.6303815265616914,18555,48.26192400970089,log_liquidity
4,0.991464884454991,18555,49.587712206952304,log_liquidity
