horizon,breadth_bucket,n,mean,win,sharpe,pf
1,1-3檔(單一個股),80,-2.36,27.5,-0.42,0.87
1,4-10檔,180,-2.2,35.0,-0.34,0.78
1,11-30檔,68,-1.92,35.29,-0.35,0.67
1,30+檔(全面性恐慌),708,0.25,50.99,0.03,1.0
3,1-3檔(單一個股),75,-3.76,36.0,-0.4,0.55
3,4-10檔,174,-2.23,36.21,-0.21,1.0
3,11-30檔,68,-3.51,35.29,-0.34,0.68
3,30+檔(全面性恐慌),708,5.51,72.88,0.55,1.42
5,1-3檔(單一個股),77,-2.71,42.86,-0.2,0.77
5,4-10檔,173,-2.01,43.93,-0.16,0.83
5,11-30檔,66,-2.27,43.94,-0.17,0.79
5,30+檔(全面性恐慌),704,9.99,86.65,0.88,1.18
10,1-3檔(單一個股),77,-2.54,38.96,-0.12,1.1
10,4-10檔,173,-1.29,38.73,-0.08,1.23
10,11-30檔,66,-2.32,45.45,-0.15,0.77
10,30+檔(全面性恐慌),702,9.79,78.77,0.8,2.24
20,1-3檔(單一個股),77,-2.07,38.96,-0.08,1.22
20,4-10檔,171,-2.16,39.18,-0.11,1.1
20,11-30檔,65,2.62,56.92,0.15,1.1
20,30+檔(全面性恐慌),702,17.85,94.16,1.29,2.49
