industry,n,mean,win,sharpe,pf
電子零組件業,138.0,6.39,71.01,0.53,1.49
半導體業,135.0,10.41,79.26,0.69,1.9
光電業,93.0,10.65,79.57,0.89,2.93
生技醫療業,70.0,5.19,61.43,0.32,1.61
電腦及週邊設備業,65.0,7.9,73.85,0.5,1.38
通信網路業,65.0,3.97,66.15,0.26,0.97
電機機械,60.0,5.51,63.33,0.37,1.51
其他電子業,55.0,8.64,70.91,0.63,2.04
其他,43.0,1.7,58.14,0.14,1.01
建材營造,38.0,-0.16,39.47,-0.01,1.5
汽車工業,27.0,10.98,85.19,1.05,1.84
觀光餐旅,25.0,2.87,52.0,0.18,1.32
紡織纖維,21.0,1.73,52.38,0.19,1.46
文化創意業,21.0,0.67,33.33,0.03,2.17
運動休閒,20.0,5.08,75.0,0.36,0.85
化學工業,19.0,6.82,63.16,0.55,2.94
數位雲端,19.0,1.89,63.16,0.09,0.77
居家生活,17.0,8.51,64.71,0.6,3.35
電子通路業,17.0,7.97,58.82,0.57,3.01
綠能環保,13.0,9.72,69.23,0.64,2.49
