start,end,n_events,fwd10_mean,fwd10_win,fwd20_mean,fwd20_win
2015-06-09,2015-06-09,12,9.86,91.67,6.29,75.0
2015-07-08,2015-07-08,1,14.48,100.0,10.44,100.0
2015-07-27,2015-08-04,3,-7.26,66.67,-8.82,33.33
2015-08-19,2015-08-24,24,13.15,91.67,23.61,100.0
2016-11-09,2016-11-09,1,3.6,100.0,-7.73,0.0
2017-08-14,2017-08-14,1,7.72,100.0,8.11,100.0
2018-02-06,2018-02-06,1,0.36,100.0,-6.81,0.0
2018-10-11,2018-10-11,2,-1.49,0.0,-8.54,0.0
2020-03-09,2020-03-19,85,3.19,45.88,19.98,85.88
2020-07-17,2020-07-27,3,26.5,100.0,11.19,66.67
2021-05-11,2021-05-14,4,9.55,75.0,15.59,75.0
2022-07-12,2022-07-12,1,5.07,100.0,17.93,100.0
2022-10-13,2022-10-13,2,4.86,50.0,21.35,100.0
2024-03-08,2024-03-08,1,-4.66,0.0,5.72,100.0
2024-08-06,2024-08-06,8,15.71,100.0,13.01,87.5
2025-04-08,2025-04-09,555,10.54,82.16,17.99,96.04
2026-03-04,2026-03-04,1,0.19,100.0,1.36,100.0
2026-03-31,2026-03-31,2,7.48,50.0,7.48,50.0
2026-05-15,2026-05-15,2,50.3,100.0,41.17,100.0
2026-07-07,2026-07-07,1,,0.0,,0.0
