drawdown_th,horizon,n,mean,win,sharpe,pf
-8,1,61398,-0.07,46.37,-0.02,0.97
-8,3,60896,-0.05,47.89,-0.01,1.01
-8,5,60715,0.13,49.27,0.01,1.03
-8,10,60475,0.87,50.04,0.06,1.22
-8,20,60293,2.64,52.68,0.14,1.47
-12,1,33328,0.03,48.39,0.01,0.97
-12,3,33040,0.28,51.2,0.04,1.01
-12,5,32935,0.65,53.25,0.07,1.02
-12,10,32838,1.83,54.18,0.12,1.27
-12,20,32729,4.33,57.99,0.21,1.53
-16,1,19453,0.16,49.45,0.03,1.01
-16,3,19285,0.78,54.32,0.09,1.03
-16,5,19225,1.48,57.15,0.14,1.05
-16,10,19181,3.03,58.59,0.18,1.32
-16,20,19087,6.37,63.18,0.28,1.59
-20,1,11547,0.42,51.78,0.07,1.03
-20,3,11462,1.56,58.06,0.17,1.09
-20,5,11410,2.69,61.6,0.23,1.12
-20,10,11385,4.61,63.46,0.25,1.41
-20,20,11333,8.8,68.6,0.38,1.66
