horizon,breadth_bucket,n,mean,win,sharpe,pf
1,<=10檔,617,2.36,61.1,0.39,1.52
1,11-30檔,4203,2.26,60.22,0.37,1.49
1,30+檔(全面亢奮),3705,2.01,58.16,0.32,1.45
3,<=10檔,614,2.77,56.19,0.25,1.48
3,11-30檔,4188,3.32,55.92,0.28,1.65
3,30+檔(全面亢奮),3698,2.59,51.76,0.22,1.64
5,<=10檔,611,2.44,49.92,0.18,1.62
5,11-30檔,4168,3.28,50.14,0.22,1.84
5,30+檔(全面亢奮),3693,2.31,47.82,0.16,1.68
10,<=10檔,612,3.84,48.04,0.22,1.97
10,11-30檔,4156,3.57,47.79,0.18,1.85
10,30+檔(全面亢奮),3656,3.46,47.57,0.18,1.86
20,<=10檔,605,5.41,48.93,0.2,1.92
20,11-30檔,4134,5.05,45.82,0.19,2.1
20,30+檔(全面亢奮),3573,4.71,44.19,0.16,2.13
