streak_rule,burst,horizon,n,mean,win,sharpe,pf
streak1,爆量,1,30241,1.79,56.36,0.33,1.66
streak1,爆量,3,30134,2.08,50.99,0.22,1.74
streak1,爆量,5,30060,2.12,48.01,0.18,1.8
streak1,爆量,10,29929,2.59,46.71,0.16,1.87
streak1,爆量,20,29736,3.49,45.72,0.16,1.97
streak1,未爆量,1,18497,2.13,60.03,0.38,1.61
streak1,未爆量,3,18411,3.25,58.77,0.32,1.64
streak1,未爆量,5,18354,3.2,55.5,0.25,1.59
streak1,未爆量,10,18234,4.38,55.33,0.25,1.66
streak1,未爆量,20,17882,6.75,55.36,0.27,1.83
streak2-3,爆量,1,8525,2.16,59.39,0.35,1.47
streak2-3,爆量,3,8500,2.97,54.13,0.25,1.63
streak2-3,爆量,5,8472,2.8,49.11,0.19,1.75
streak2-3,爆量,10,8424,3.54,47.71,0.18,1.86
streak2-3,爆量,20,8312,4.93,45.34,0.18,2.1
streak2-3,未爆量,1,3712,3.82,70.31,0.59,1.51
streak2-3,未爆量,3,3685,5.73,62.55,0.44,1.89
streak2-3,未爆量,5,3681,5.96,59.28,0.36,1.85
streak2-3,未爆量,10,3657,7.21,58.14,0.33,1.86
streak2-3,未爆量,20,3551,9.9,54.46,0.31,2.15
streak2+,爆量,1,9650,2.28,60.05,0.36,1.47
streak2+,爆量,3,9618,3.02,54.07,0.25,1.62
streak2+,爆量,5,9586,2.84,49.23,0.19,1.73
streak2+,爆量,10,9525,3.79,48.21,0.19,1.86
streak2+,爆量,20,9399,5.27,45.62,0.18,2.11
streak2+,未爆量,1,4423,3.88,70.59,0.59,1.45
streak2+,未爆量,3,4392,5.6,61.45,0.41,1.8
streak2+,未爆量,5,4387,5.63,58.08,0.32,1.74
streak2+,未爆量,10,4357,7.02,57.4,0.31,1.79
streak2+,未爆量,20,4236,9.99,54.18,0.29,2.1
