threshold,streak_rule,horizon,n,mean,win,sharpe,pf
1.5,streak2-3,1,1435,-0.48,46.13,-0.06,0.99
1.5,streak2-3,3,1424,3.04,61.1,0.28,1.28
1.5,streak2-3,5,1417,6.45,73.68,0.5,1.2
1.5,streak2-3,10,1414,6.53,67.11,0.43,1.54
1.5,streak2-3,20,1409,12.59,78.92,0.67,1.56
1.5,streak2+,1,1515,-0.52,45.94,-0.06,0.99
1.5,streak2+,3,1501,2.79,60.03,0.25,1.24
1.5,streak2+,5,1493,5.91,71.94,0.44,1.15
1.5,streak2+,10,1491,6.05,66.0,0.39,1.45
1.5,streak2+,20,1484,12.36,77.9,0.64,1.52
1.5,streak3+,1,602,5.55,77.91,0.78,1.26
1.5,streak3+,3,597,8.17,79.06,0.68,1.16
1.5,streak3+,5,594,10.43,81.48,0.73,1.11
1.5,streak3+,10,595,11.23,81.01,0.69,1.21
1.5,streak3+,20,591,19.35,86.29,0.98,1.51
2.0,streak2-3,1,1036,-0.52,45.37,-0.06,1.01
2.0,streak2-3,3,1025,2.92,61.46,0.27,1.22
2.0,streak2-3,5,1020,6.2,73.33,0.47,1.14
2.0,streak2-3,10,1018,6.19,66.8,0.41,1.47
2.0,streak2-3,20,1015,11.99,78.33,0.65,1.49
2.0,streak2+,1,1094,-0.56,45.16,-0.07,1.01
2.0,streak2+,3,1080,2.69,60.37,0.24,1.19
2.0,streak2+,5,1074,5.67,71.6,0.42,1.1
2.0,streak2+,10,1073,5.64,65.8,0.36,1.36
2.0,streak2+,20,1068,11.6,77.25,0.61,1.42
2.0,streak3+,1,454,5.44,77.09,0.75,1.27
2.0,streak3+,3,450,7.86,78.0,0.65,1.16
2.0,streak3+,5,446,10.11,80.49,0.69,1.11
2.0,streak3+,10,448,10.42,80.36,0.64,1.07
2.0,streak3+,20,444,17.83,85.14,0.9,1.33
2.5,streak2-3,1,756,-0.44,45.63,-0.05,1.02
2.5,streak2-3,3,746,2.97,62.06,0.28,1.2
2.5,streak2-3,5,743,6.23,73.22,0.48,1.18
2.5,streak2-3,10,741,6.36,68.02,0.43,1.44
2.5,streak2-3,20,740,12.33,78.65,0.67,1.6
2.5,streak2+,1,800,-0.48,45.5,-0.06,1.01
2.5,streak2+,3,788,2.76,61.04,0.25,1.17
2.5,streak2+,5,784,5.73,71.68,0.44,1.14
2.5,streak2+,10,783,5.76,67.05,0.38,1.31
2.5,streak2+,20,780,11.7,77.31,0.62,1.49
2.5,streak3+,1,334,5.47,77.54,0.78,1.31
2.5,streak3+,3,331,8.1,78.25,0.69,1.25
2.5,streak3+,5,327,10.43,81.96,0.73,1.11
2.5,streak3+,10,329,10.5,80.55,0.65,1.1
2.5,streak3+,20,325,17.88,85.23,0.88,1.33
3.0,streak2-3,1,528,-0.69,44.51,-0.09,0.98
3.0,streak2-3,3,520,2.71,61.15,0.25,1.17
3.0,streak2-3,5,516,5.66,71.71,0.44,1.18
3.0,streak2-3,10,517,5.83,66.73,0.38,1.38
3.0,streak2-3,20,517,11.12,76.79,0.61,1.54
3.0,streak2+,1,561,-0.72,44.39,-0.09,0.98
3.0,streak2+,3,552,2.55,59.96,0.23,1.17
3.0,streak2+,5,547,5.15,70.02,0.39,1.14
3.0,streak2+,10,549,5.25,65.57,0.33,1.29
3.0,streak2+,20,548,10.45,75.18,0.55,1.43
3.0,streak3+,1,228,4.76,73.68,0.65,1.33
3.0,streak3+,3,227,7.07,73.57,0.57,1.28
3.0,streak3+,5,223,8.8,78.03,0.59,1.07
3.0,streak3+,10,225,9.26,76.44,0.57,1.19
3.0,streak3+,20,222,15.7,82.43,0.77,1.29
