offset,cum_ret_mean,cum_ret_median,cum_ret_std,cum_ret_count,mkt_ret_mean,mkt_ret_median,mkt_ret_std,mkt_ret_count,abnormal_mean,abnormal_median,abnormal_std,abnormal_count
-30,-0.020889,-0.018019,0.144147,682,0.009167,-0.012185,0.260557,682,-0.030057,-0.001191,0.281614,682
-29,-0.021178,-0.017291,0.141056,682,0.009755,-0.012516,0.262994,682,-0.030932,-0.003553,0.282881,682
-28,-0.02207,-0.019858,0.136232,682,0.009909,-0.013615,0.263855,682,-0.031979,-0.00503,0.282436,682
-27,-0.021475,-0.019681,0.134277,682,0.010219,-0.01486,0.262332,682,-0.031693,-0.003032,0.281134,682
-26,-0.021563,-0.020112,0.131629,682,0.01085,-0.014725,0.260888,682,-0.032413,-0.005584,0.280811,682
-25,-0.021259,-0.017011,0.127086,682,0.007292,-0.014645,0.240357,682,-0.028551,-0.003481,0.258911,682
-24,-0.020404,-0.018135,0.126691,682,0.007453,-0.014618,0.241457,682,-0.027857,-0.002242,0.259574,682
-23,-0.017823,-0.015681,0.125116,682,0.004064,-0.013392,0.216491,682,-0.021887,-0.004154,0.237495,682
-22,-0.017057,-0.015028,0.12295,682,-2.4e-05,-0.014072,0.190433,682,-0.017033,-0.003967,0.212851,682
-21,-0.017255,-0.01663,0.118724,682,0.000349,-0.013378,0.194068,682,-0.017604,-0.001254,0.215442,682
-20,-0.018135,-0.013543,0.118431,682,0.001286,-0.011124,0.193317,682,-0.019421,-0.003571,0.214326,682
-19,-0.018341,-0.014293,0.116897,682,0.001931,-0.011513,0.193278,682,-0.020273,-0.004861,0.212895,682
-18,-0.01687,-0.009821,0.113011,682,0.002739,-0.012246,0.193776,682,-0.019609,-0.000846,0.212703,682
-17,-0.014596,-0.009126,0.111749,682,0.003393,-0.013148,0.193705,682,-0.017989,0.00114,0.21184,682
-16,-0.014398,-0.010322,0.108483,682,0.004106,-0.010368,0.193988,682,-0.018504,-0.000588,0.208914,682
-15,-0.013778,-0.011443,0.107381,682,0.000656,-0.011345,0.160735,682,-0.014435,-0.005781,0.178486,682
-14,-0.011352,-0.010471,0.101251,682,0.001642,-0.010892,0.160478,682,-0.012994,0.000709,0.172712,682
-13,-0.011663,-0.008783,0.095788,682,0.001351,-0.011268,0.160228,682,-0.013014,0.000267,0.173515,682
-12,-0.0108,-0.008172,0.090992,682,0.001758,-0.009901,0.160451,682,-0.012558,-2.1e-05,0.171678,682
-11,-0.009553,-0.007196,0.088946,682,-0.001627,-0.008413,0.119721,682,-0.007927,-0.001146,0.138017,682
-10,-0.007927,-0.006728,0.085405,682,-0.000639,-0.008378,0.11906,682,-0.007288,0.000653,0.135621,682
-9,-0.005744,-0.004245,0.080624,682,-5.1e-05,-0.007161,0.118482,682,-0.005693,-0.000225,0.134261,682
-8,-0.004546,-0.004543,0.076358,682,-0.000412,-0.005405,0.117939,682,-0.004135,0.003453,0.131789,682
-7,-0.002121,0.0,0.072309,682,0.00038,-0.005204,0.117359,682,-0.002501,0.001838,0.130425,682
-6,-0.000179,0.001783,0.065812,682,0.001647,-0.004642,0.1167,682,-0.001825,0.004907,0.125083,682
-5,-0.000816,0.0,0.059989,682,-0.001993,-0.003965,0.023501,682,0.001177,0.002561,0.056635,682
-4,-0.00223,0.0,0.0509,682,-0.001001,-0.002621,0.020877,682,-0.001229,0.002493,0.048318,682
-3,-0.006564,-0.004057,0.040052,682,-0.000858,-0.001785,0.015897,682,-0.005705,-0.00355,0.038203,682
-2,-0.005577,-0.003646,0.026606,682,-0.000547,-0.000748,0.011013,682,-0.00503,-0.002314,0.025629,682
-1,0.0,0.0,0.0,682,0.0,0.0,0.0,682,0.0,0.0,0.0,682
0,-0.023919,-0.019293,0.037725,682,0.001228,0.000703,0.011888,682,-0.025148,-0.020166,0.037585,682
1,-0.024829,-0.021506,0.048153,682,0.001795,0.002648,0.016477,682,-0.026624,-0.021754,0.047837,682
2,-0.026474,-0.023179,0.055337,682,0.001774,0.001835,0.02066,682,-0.028249,-0.025178,0.054991,682
3,-0.027527,-0.02541,0.062417,682,0.001898,0.003631,0.023721,682,-0.029425,-0.027785,0.060978,682
4,-0.028255,-0.027735,0.067599,682,0.002014,0.003515,0.025817,682,-0.030269,-0.030131,0.065032,682
5,-0.02898,-0.029712,0.07253,682,0.002524,0.003615,0.027534,682,-0.031505,-0.033403,0.069949,682
6,-0.031802,-0.035516,0.077373,682,0.002867,0.003778,0.030231,682,-0.034669,-0.038373,0.074438,682
7,-0.034366,-0.036815,0.08265,682,0.003692,0.005731,0.03263,682,-0.038058,-0.040844,0.080657,682
8,-0.037166,-0.037817,0.08738,682,0.003069,0.004166,0.035484,682,-0.040235,-0.043074,0.084513,682
9,-0.038406,-0.041027,0.091149,682,0.004225,0.005209,0.037935,682,-0.042631,-0.048916,0.087882,682
10,-0.038089,-0.045239,0.09569,682,0.004378,0.005055,0.039228,682,-0.042467,-0.044026,0.092233,682
11,-0.04026,-0.04488,0.101594,682,0.004625,0.005305,0.042279,682,-0.044885,-0.050978,0.096784,682
12,-0.040509,-0.047033,0.107199,682,0.004917,0.006046,0.043913,682,-0.045426,-0.053453,0.101467,682
13,-0.040274,-0.048066,0.114151,682,0.004971,0.00695,0.045023,682,-0.045245,-0.053568,0.107692,682
14,-0.040231,-0.052308,0.122166,681,0.005081,0.005764,0.046278,681,-0.045312,-0.054806,0.115091,681
15,-0.04057,-0.052805,0.127189,681,0.005889,0.006087,0.048216,681,-0.046458,-0.055296,0.119937,681
16,-0.042298,-0.052288,0.131911,681,0.006916,0.007525,0.049702,681,-0.049214,-0.060157,0.124542,681
17,-0.045104,-0.054701,0.131171,681,0.007381,0.009756,0.051859,681,-0.052485,-0.065377,0.123739,681
18,-0.045819,-0.056461,0.13907,680,0.006411,0.009867,0.060041,680,-0.05223,-0.068566,0.134472,680
19,-0.04648,-0.061102,0.14696,680,0.006481,0.010681,0.059931,680,-0.052961,-0.068938,0.141595,680
20,-0.049207,-0.062993,0.148139,680,0.006284,0.00949,0.06174,680,-0.055491,-0.071334,0.143026,680
21,-0.050378,-0.063338,0.152227,680,0.006312,0.008746,0.062984,680,-0.05669,-0.072974,0.145967,680
22,-0.049188,-0.064371,0.15674,680,0.00627,0.007519,0.064454,680,-0.055458,-0.072039,0.151292,680
23,-0.050194,-0.067991,0.159336,680,0.006094,0.010213,0.067008,680,-0.056288,-0.071652,0.153816,680
24,-0.0502,-0.068898,0.162666,680,0.006517,0.011003,0.068835,680,-0.056717,-0.071423,0.156368,680
25,-0.049315,-0.068645,0.165247,680,0.007922,0.011992,0.068681,680,-0.057237,-0.076982,0.159253,680
26,-0.048966,-0.069042,0.166333,680,0.008013,0.012103,0.070779,680,-0.05698,-0.075884,0.159287,680
27,-0.050099,-0.068528,0.159117,679,0.00876,0.01153,0.070914,679,-0.058859,-0.07349,0.15388,679
28,-0.048965,-0.066372,0.161622,679,0.01039,0.012303,0.072947,679,-0.059355,-0.075275,0.154926,679
29,-0.048643,-0.06338,0.165081,679,0.010381,0.013285,0.0737,679,-0.059024,-0.078445,0.157488,679
30,-0.047835,-0.066667,0.168254,679,0.010316,0.012218,0.075841,679,-0.058151,-0.07496,0.159969,679
31,-0.047018,-0.067568,0.174212,679,0.010389,0.012785,0.077855,679,-0.057407,-0.073352,0.164941,679
32,-0.048474,-0.066011,0.172767,679,0.011308,0.012364,0.077587,679,-0.059782,-0.074615,0.16399,679
33,-0.051537,-0.06962,0.171725,679,0.011015,0.012546,0.078753,679,-0.062552,-0.075028,0.162925,679
34,-0.05024,-0.070938,0.172974,679,0.012554,0.012764,0.078894,679,-0.062795,-0.078263,0.164512,679
35,-0.048339,-0.06865,0.175955,679,0.012827,0.014438,0.079036,679,-0.061166,-0.078009,0.168114,679
36,-0.04623,-0.069328,0.179682,679,0.011963,0.015066,0.085198,679,-0.058193,-0.083017,0.176596,679
37,-0.046792,-0.071429,0.183597,679,0.012089,0.015886,0.086235,679,-0.058881,-0.084664,0.179729,679
38,-0.046351,-0.069196,0.185106,679,0.01244,0.015007,0.087663,679,-0.058791,-0.078778,0.181796,679
39,-0.044904,-0.069966,0.187781,679,0.013207,0.015137,0.089038,679,-0.058111,-0.081796,0.185725,679
40,-0.044627,-0.072682,0.190758,679,0.013505,0.015648,0.09068,679,-0.058131,-0.084401,0.188257,679
41,-0.04315,-0.070175,0.192023,679,0.01454,0.018024,0.090511,679,-0.057691,-0.083767,0.189226,679
42,-0.043388,-0.07377,0.196085,679,0.014379,0.018492,0.092134,679,-0.057767,-0.090753,0.193293,679
43,-0.043988,-0.07326,0.200503,679,0.014404,0.017625,0.091605,679,-0.058392,-0.089214,0.196178,679
44,-0.042273,-0.072848,0.205589,679,0.014362,0.017072,0.092214,679,-0.056634,-0.085966,0.200345,679
45,-0.043551,-0.073658,0.205476,679,0.01446,0.015495,0.092565,679,-0.058011,-0.086693,0.200087,679
46,-0.044697,-0.068785,0.204679,678,0.015153,0.015863,0.0935,678,-0.05985,-0.085631,0.200745,678
47,-0.044336,-0.067706,0.207496,678,0.015091,0.015169,0.097193,678,-0.059427,-0.093193,0.205952,678
48,-0.042905,-0.068986,0.208117,678,0.016359,0.019448,0.098844,678,-0.059263,-0.091149,0.206008,678
49,-0.043376,-0.069832,0.210299,678,0.016679,0.02081,0.099959,678,-0.060055,-0.09101,0.207655,678
50,-0.043171,-0.068138,0.210506,678,0.016973,0.021624,0.1019,678,-0.060144,-0.08814,0.208526,678
51,-0.04299,-0.068966,0.212107,677,0.016577,0.021053,0.103411,677,-0.059567,-0.088067,0.209693,677
52,-0.0402,-0.070611,0.216951,677,0.018057,0.020942,0.104688,677,-0.058257,-0.086432,0.214546,677
53,-0.038894,-0.070485,0.223824,677,0.018173,0.020527,0.105821,677,-0.057067,-0.085213,0.219808,677
54,-0.036421,-0.068,0.230667,677,0.019166,0.020638,0.106742,677,-0.055587,-0.090182,0.225036,677
55,-0.03643,-0.067146,0.230638,677,0.019869,0.022758,0.107623,677,-0.056299,-0.085262,0.224323,677
56,-0.036299,-0.065934,0.229657,677,0.020989,0.023415,0.109012,677,-0.057288,-0.085238,0.222411,677
57,-0.036292,-0.0625,0.230223,677,0.021955,0.024086,0.109195,677,-0.058247,-0.083434,0.223682,677
58,-0.036876,-0.064163,0.231036,677,0.021899,0.022755,0.110155,677,-0.058775,-0.087168,0.223892,677
59,-0.038471,-0.063235,0.23174,677,0.021977,0.022727,0.111348,677,-0.060447,-0.085964,0.224936,677
60,-0.037193,-0.059273,0.234468,676,0.022882,0.021766,0.111651,676,-0.060075,-0.080997,0.228672,676
