event_id,ticker,ex_date,shares,sub_price,ref_price,price_30d_pre,ret_-20d,abn_-20d,ret_-10d,abn_-10d,ret_-5d,abn_-5d,ret_-1d,abn_-1d,ret_+1d,abn_+1d,ret_+5d,abn_+5d,ret_+10d,abn_+10d,ret_+20d,abn_+20d,ret_+30d,abn_+30d,ret_+60d,abn_+60d,discount_pct
8097_2008-01-10,8097,2008-01-10,15000000.0,10.4,11.8,10.0,-0.10593220338983045,-0.16196668614845122,0.0,-0.028448275862068995,0.07627118644067776,0.05730566919929836,0.0,0.0,0.05084745762711851,0.05688194038573924,-0.029661016949152685,-0.03224722384570433,-0.13559322033898313,-0.08386908240794866,-0.2601694915254238,-0.24810052600818233,-0.20932203389830517,-0.2291496201052018,-0.22033898305084754,-0.3091320864991234,-0.11864406779661019
4720_2008-01-15,4720,2008-01-15,13000000.0,12.0,13.6,14.45,-0.02573529411764708,0.009978991596638509,0.02205882352941191,-0.023009203681472634,-0.018382352941176516,0.01308023209283704,0.0,0.0,-0.03676470588235292,-0.02996198479391754,-0.051470588235294046,0.035264105642256904,-0.10294117647058831,-0.0400160064025612,-0.08823529411764697,-0.05592236894757896,0.007352941176470562,-0.05217086834733897,0.02941176470588247,-0.06582633053221287,-0.11764705882352944
5015_2008-01-17,5015,2008-01-17,5000000.0,23.0,32.1,32.0,-0.06697819314641751,-0.06869052191354075,-0.06542056074766356,-0.07740686211752668,-0.031152647975077885,-0.022591004139461468,0.0,0.0,-0.012461059190031265,-0.014173387957154504,-0.052959501557632516,0.005259676524559276,-0.05919003115264809,-0.00011468868689479272,-0.02180685358255463,-0.02865616865104781,-0.0031152647975077885,-0.023663210002987323,0.014018691588784993,-0.08872103443861246,-0.28348909657320875
3064_2008-04-11,3064,2008-04-11,6500000.0,93.0,192.5,94.4,-0.3246753246753247,-0.26876478154433425,-0.17142857142857137,-0.14906435417617525,-0.1662337662337663,-0.14386954898137017,0.0,0.0,0.0025974025974024872,-0.00698726193933874,0.0025974025974024872,-0.026156591012821195,-0.07012987012987015,-0.08450686693498188,-0.22597402597402594,-0.22757147006348277,-0.2519480519480519,-0.23597361105348325,-0.6025974025974026,-0.45802871250155586,-0.5168831168831169
8940_2008-06-24,8940,2008-06-24,6400000.0,26.0,36.15,30.0,-0.08713692946058083,-0.1717053688677299,-0.04149377593360992,-0.0824702362649089,-0.048409405255878335,-0.08589850726110937,0.0,0.0,-0.053941908713692865,-0.05655742745824377,-0.18948824343015214,-0.14676810393581907,-0.14937759336099576,-0.05085972064957467,-0.23098201936376206,-0.15338829660874898,-0.4301521438450898,-0.3595331377422126,-0.5214384508990317,-0.32196155464794185,-0.28077455048409405
8255_2008-07-30,8255,2008-07-30,2500000.0,70.0,94.0,130.0,-0.08191489361702131,-0.13870026416562564,0.029787234042553123,0.06924825425429526,-0.02659574468085102,-0.04488255892531667,0.0,0.0,-0.04148936170212769,-0.05015153687055873,-0.05531914893617029,-0.08130567444146364,0.06382978723404253,-0.0016177584829930591,0.02659574468085113,-0.014790203346097819,-0.11170212765957444,-0.0714711363217495,-0.24787234042553186,0.129606004136547,-0.25531914893617025
5483_2008-08-04,5483,2008-08-04,10000000.0,110.0,142.0,167.0,-0.028169014084507005,-0.03198580797763673,0.0,0.026717557251908386,0.0880281690140845,0.059402214815611254,0.0,0.0,-0.147887323943662,-0.12880335447801317,-0.010563380281690127,-0.07163208257176656,-0.028169014084507005,-0.04629878507687346,-0.0035211267605633756,0.01460864423180297,-0.21830985915492962,-0.10666863778088376,-0.5330985915492958,-0.14741156864853244,-0.22535211267605637
8277_2008-08-06,8277,2008-08-06,20000000.0,10.2,10.1,12.9,0.12871287128712883,0.12287629541164247,0.00990099009900991,-0.019281889278421893,0.06930693069306937,0.04693338983703832,0.0,0.0,0.10891089108910879,0.0768097237739338,0.11386138613861396,0.03701313711137666,0.10396039603960405,0.0650498902030281,-0.023762376237623783,0.0034749778479793436,-0.3891089108910891,-0.2822995723696883,-0.5306930693069307,-0.241588010941172,0.00990099009900991
5521_2008-08-12,5521,2008-08-12,80000000.0,10.0,10.95,11.55,0.09589041095890427,0.15704149009559487,0.04109589041095907,0.10674337242534748,-0.07762557077625565,-0.0020860024309318215,0.0,0.0,-0.07305936073059349,-0.06856295785289568,-0.1552511415525114,-0.10668999047337469,-0.16712328767123286,-0.12485710062087307,-0.1625570776255707,-0.05554268913636207,-0.23835616438356155,-0.11533458164974852,-0.31141552511415516,0.07293699287145639,-0.08675799086757985
5706_2008-08-13,5706,2008-08-13,3000000.0,50.0,71.0,81.0,0.1704225352112676,0.27213270622836927,-0.021126760563380254,0.03287863997667373,-0.11126760563380278,-0.07076355522876232,0.0,0.0,0.036619718309859106,0.03301935827385538,0.15492957746478875,0.19363344785182746,0.16901408450704225,0.19511669476806826,0.12394366197183104,0.2263739049961334,0.018309859154929553,0.1459426224312571,-0.32816901408450705,0.052749077724673854,-0.295774647887324
