event_id,ticker,name,market,ann_date,exr_date,shares,sub_price,sub_ratio,gap_days,ref_price,discount_pct,ret_-20d,abn_-20d,ret_-10d,abn_-10d,ret_-9d,abn_-9d,ret_-8d,abn_-8d,ret_-7d,abn_-7d,ret_-6d,abn_-6d,ret_-5d,abn_-5d,ret_-4d,abn_-4d,ret_-3d,abn_-3d,ret_-2d,abn_-2d,ret_-1d,abn_-1d,ret_+0d,abn_+0d,ret_+1d,abn_+1d,ret_+2d,abn_+2d,ret_+3d,abn_+3d,ret_+4d,abn_+4d,ret_+5d,abn_+5d,ret_+6d,abn_+6d,ret_+7d,abn_+7d,ret_+8d,abn_+8d,ret_+9d,abn_+9d,ret_+10d,abn_+10d,ret_+20d,abn_+20d,ret_+30d,abn_+30d,ret_+60d,abn_+60d
2849_2007-05-23,2849,安泰銀,sii,2007-05-23,2007-06-05,500000000.0,8.0,20.0,13,8.07,-0.00867410161090465,0.040892193308550207,0.06932028695403514,0.05080545229244127,0.06501949911518368,0.04213135068153662,0.051328675096252274,0.029739776951672958,0.04980666658377986,0.023543990086740907,0.041102518514834485,0.0173482032218093,0.04494017646595638,0.0173482032218093,0.044104056064618535,0.027261462205699916,0.047328351837806815,0.024783147459727317,0.04652227789450991,0.0173482032218093,0.020692684827160357,0.0,0.0,0.0037174721189590088,-0.0004631298877300072,-0.0012391573729862992,-0.006255879781013163,-0.00867410161090465,-0.0028212588015401607,-0.02726146220570025,-0.022244739797673496,-0.019826517967781898,-0.018154277165106425,-0.0384138785625775,-0.02921655414786184,-0.0024783147459727095,-0.001642194344634973,-0.00867410161090465,-0.012018583216255818,-0.009913258983890949,-0.016602222194593286,-0.02106567534076831,-0.027754638551470645,-0.009913258983890949,-0.025799546609309165,0.07187112763320935,-0.021774357316623583,0.059479553903345694,-0.06343014509330991,-0.09541511771995048,-0.09207063611459942
6152_2007-05-23,6152,百一,sii,2007-05-23,2007-06-06,10000000.0,31.0,7.62658902,14,43.05,-0.2799070847851335,-0.059233449477351874,-0.030805355831866943,-0.0940766550522647,-0.07986260822952229,-0.09059233449477344,-0.08139501008005778,-0.06852497096399524,-0.048458081331888336,-0.0824622531939605,-0.06490372476586692,-0.04761904761904756,-0.020027074374900478,-0.0662020905923344,-0.03944623774952516,-0.0662020905923344,-0.046135200960227496,-0.04878048780487787,-0.027041357370095276,0.017421602787456525,0.020766084392807582,0.0,0.0,-0.03600464576074325,-0.040185247767432264,-0.03600464576074325,-0.04102136816877011,-0.03600464576074325,-0.03015180295137876,-0.029036004645760727,-0.024019282237733974,-0.0383275261324042,-0.036655285329728726,-0.07084785133565619,-0.06165052692094053,-0.07084785133565619,-0.07001173093431845,-0.0720092915214865,-0.07535377312683766,-0.03368176538908241,-0.040370728599784744,-0.03948896631823451,-0.046177929528936845,-0.03600464576074325,-0.051890933386161464,0.1382113821138211,0.04456589716398818,0.22183507549361225,0.09892537649695665,0.207897793263647,0.21124227486899805
2460_2007-06-01,2460,建通,sii,2007-06-01,2007-06-20,7812500.0,32.0,5.6359067000000005,19,44.4,-0.2792792792792792,-0.027027027027026973,-0.017822006106524957,-0.018018018018017945,0.0029024840740322633,-0.011261261261261257,-0.008750801010215303,-0.014639639639639657,-0.015476459723321567,0.0,-0.005020920502091908,-0.009009009009009028,-0.014866749594783069,0.009009009009008917,0.014029929511100936,-0.0022522522522522292,0.001931848166157768,0.0,0.0008368200836819106,-0.0045045045045044585,0.003863696332315647,0.0,0.0,0.013513513513513598,0.0093294130951036,0.0664414414414416,0.05891006068830351,0.054054054054053946,0.04652267330091586,0.05855855855855863,0.041822156884918416,0.10360360360360366,0.08435674167891749,0.0855855855855856,0.0696860039956273,0.0788288288288288,0.060418786987824546,0.0855855855855856,0.061317803158807305,0.09684684684684686,0.07257906442006856,0.07657657657657646,0.03891967281088604,0.0855855855855856,0.027844999811526883,0.09684684684684686,-0.0010611029439480113,0.18693693693693714,0.04049342229258568,-0.012387387387387316,-0.08016981416562985
3260_2007-06-05,3260,威剛,otc,2007-06-05,2007-06-20,9000000.0,95.0,4.607515766000001,15,129.0,-0.26356589147286824,-0.06589147286821706,-0.05094130675526021,-0.09302325581395354,-0.08637873754152825,-0.10465116279069764,-0.10215946843853807,-0.06589147286821706,-0.06423034330011068,-0.06589147286821706,-0.053433001107419664,-0.0852713178294574,-0.0736434108527132,-0.08139534883720934,-0.07308970099667778,-0.0852713178294574,-0.06949058693244736,-0.06201550387596899,-0.05454042081949051,-0.023255813953488413,-0.019933554817275767,0.0,0.0,0.003875968992248069,0.003875968992248069,-0.03100775193798455,-0.04014396456256919,-0.046511627906976716,-0.05813953488372092,-0.046511627906976716,-0.05481727574750839,-0.03100775193798455,-0.04180509413067557,-0.007751937984496138,-0.02436323366555926,-0.03100775193798455,-0.04761904761904767,-0.015503875968992276,-0.04540420819490576,-0.015503875968992276,-0.06533776301218164,-0.007751937984496138,-0.09080841638981174,0.027131782945736482,-0.06589147286821695,0.054263565891472965,-0.05537098560354359,0.08139534883720922,-0.05149501661129574,-0.21317829457364346,-0.25968992248062006
2415_2007-06-20,2415,錩新,sii,2007-06-20,2007-07-04,7500000.0,20.1,7.43925,14,22.0,-0.08636363636363631,-0.12727272727272732,-0.07031070195627165,-0.10227272727272729,-0.054804372842347515,-0.054545454545454564,-0.007077100115074786,-0.031818181818181746,0.006947640966628477,0.03409090909090917,0.0704833141542004,0.05909090909090908,0.09864787111622553,0.040909090909090784,0.07809263521288823,0.045454545454545414,0.07710011507479853,0.036363636363636376,0.06800920598388949,0.031818181818181746,0.050805523590333634,0.0,0.0,0.018181818181818077,-0.013463751438435034,0.027272727272727337,-0.013866513233601774,0.027272727272727337,-0.007537399309551107,0.045454545454545414,0.01776467203682386,0.04318181818181821,-0.0034953970080553454,0.02954545454545454,-0.004473532796317459,0.040909090909090784,0.012428078250863006,0.040909090909090784,0.009263521288837673,0.05227272727272725,0.02379171461449947,0.125,0.08702531645569644,0.12954545454545463,0.08049482163406241,0.08181818181818179,-0.0036248561565015436,0.19545454545454555,0.14640391254315333,0.050000000000000044,0.008069620253164711
2020_2007-06-21,2020,美亞,sii,2007-06-21,2007-07-02,18000000.0,30.0,8.3137,11,35.75,-0.16083916083916083,0.051748251748251706,0.13457033763782233,-0.006993006993006978,0.0696941095714102,0.018181818181818077,0.08643335192414936,0.009790209790209836,0.07574113003560867,0.0013986013986013734,0.07041700630657688,-0.009790209790209836,0.05692758162083311,-0.013986013986013957,0.047363679265519765,-0.006993006993006978,0.05435668625852674,0.0,0.049079754601227044,0.00419580419580412,0.034870650821571036,0.0,0.0,0.020979020979021046,0.011776566991291038,0.054545454545454675,0.051477969882878005,0.051748251748251706,0.0555826075764726,0.05034965034965033,0.0357790982024111,0.036363636363636376,0.03406302286670404,0.034965034965035,0.03803251962761178,0.034965034965035,0.034965034965035,0.06293706293706292,0.0660045475996397,0.058741258741258795,0.052606289416105456,0.06293706293706292,0.04606589729289112,0.0755244755244755,0.05098459822386214,0.1622377622377622,0.11622549229911194,0.21118881118881117,0.24032991548328975,-0.009790209790209836,-0.01669205028100751
3058_2007-06-22,3058,立德,sii,2007-06-22,2007-06-29,17000000.0,22.0,13.92674627,7,29.8,-0.2617449664429531,-0.12583892617449666,-0.03845290793741463,-0.08389261744966447,-0.00714489708492283,-0.08557046979865779,-0.01110238469227487,-0.08557046979865779,-0.008062871014463346,-0.06040268456375841,0.014825278962077415,-0.01845637583892623,0.05145243875073935,-0.01845637583892623,0.05145243875073935,0.020134228187919323,0.0778849880663387,0.021812080536912637,0.061325758348462656,0.021812080536912637,0.030930621570347205,0.0,0.0,-0.003355704697986628,0.0027233226576363068,0.020134228187919323,0.03305216131861832,0.020134228187919323,0.014815079251748964,-0.008389261744966459,-0.0015503559698903935,0.006711409395973034,0.018869464107219236,0.016778523489932917,0.025897064523367486,0.010067114093959662,0.022225168805205864,-0.003355704697986628,-0.000316191020174994,0.003355704697986406,-0.004243079496542457,-0.005033557046979942,-0.020231125436037667,-0.005033557046979942,-0.025550274372208026,-0.06040268456375841,-0.09611697027804422,-0.06208053691275173,-0.040803941168070956,-0.23154362416107388,-0.22090532628873338
3276_2007-06-26,3276,宇環,otc,2007-06-26,2007-07-12,16500000.0,12.0,19.9373932,16,15.0,-0.19999999999999996,-0.039999999999999925,0.060529100529100655,0.03333333333333344,0.11345427059712787,0.10333333333333328,0.17816326530612248,0.17999999999999994,0.25482993197278914,0.10000000000000009,0.16273620559334867,0.06000000000000005,0.10459561602418754,-0.006666666666666599,0.007694633408919183,-0.006666666666666599,-0.0013756613756611413,0.03333333333333344,0.044671201814059036,0.03333333333333344,0.05147392290249453,0.0,0.0,0.0,0.012093726379440839,0.0,0.017384731670446074,-0.013333333333333308,0.001027966742252473,-0.013333333333333308,0.004051398337112766,-0.006666666666666599,0.0016477702191990407,0.0,-0.0022675736961450532,0.010000000000000009,0.00017384731670455622,0.006666666666666599,-0.0084504913076342,0.006666666666666599,-0.006182917611488925,0.07666666666666666,0.0396296296296299,0.1499999999999999,0.11220710506424791,0.30999999999999983,0.255578231292517,0.41333333333333333,0.44734693877551035,0.41666666666666674,0.4249811035525324
9962_2007-07-02,9962,有益,otc,2007-07-02,2007-07-10,16920000.0,30.5,24.0,8,43.7,-0.30205949656750575,0.03775743707093815,0.11468051399401502,0.030892448512585657,0.05858475620489334,-0.0022883295194507935,-0.005365252596373993,-0.006864988558352492,-0.019172680866044844,0.011441647597254079,0.005287801443407902,-0.01830663615560646,-0.017537405386375715,-0.013729977116704872,-0.031422284809012546,-0.01830663615560646,-0.02369125154022178,-0.011441647597253968,-0.011441647597253968,0.016018306636155444,0.012941383559232245,0.0,0.0,0.00686498855835227,-0.002365780672416884,0.005720823798627039,-0.014279176201372978,0.022883295194507935,-0.004809012497799747,0.021739130434782483,-0.011337792642140743,0.0366132723112127,0.005844041541982037,0.08237986270022879,0.026995247315613424,0.016018306636155444,-0.04013553951769078,0.00686498855835227,-0.0369811652878016,0.0,-0.04923076923076919,-0.014874141876430325,-0.07333568033796867,0.01830663615560635,-0.03553951769054753,-0.0240274599542335,-0.019412075338848922,-0.23340961098398172,-0.21571730329167405,-0.23340961098398172,-0.2934096109839818
3031_2007-07-04,3031,佰鴻,sii,2007-07-04,2007-07-18,11000000.0,45.0,6.06896551,14,58.4,-0.22945205479452058,-0.13527397260273966,-0.04326793942023599,-0.06506849315068486,-0.05752701502097146,-0.041095890410958846,-0.027521229777474843,-0.046232876712328674,-0.025870885762102502,-0.05821917808219179,-0.05595673464327788,-0.07534246575342463,-0.06101365730696906,-0.08047945205479445,-0.06087160891753962,-0.07363013698630128,-0.0570388851009318,-0.0702054794520548,-0.050597636314799965,-0.06506849315068486,-0.05451042376908599,0.0,0.0,-0.025684931506849362,-0.03322640963656276,-0.005136986301369828,-0.017957499121882825,0.015410958904109595,0.004852889522510839,0.011986301369863117,-0.02270449802681851,0.017123287671232834,-0.018321659538420354,0.001712328767123239,-0.021666253434988292,0.010273972602739656,-0.018383644290171475,0.001712328767123239,-0.03599506188144397,0.015410958904109595,-0.017771544866629574,0.05821917808219168,0.023528378685510054,-0.041095890410958846,-0.06975350730386998,0.18150684931506844,0.22675571809334893,0.14383561643835607,0.2064298849149775,0.5171232876712328,0.4711202710799809
