event_id,ticker,name,market,ann_date,exr_date,shares,sub_price,sub_ratio,gap_days,ref_price,discount_pct,ret_-20d,abn_-20d,ret_-10d,abn_-10d,ret_-9d,abn_-9d,ret_-8d,abn_-8d,ret_-7d,abn_-7d,ret_-6d,abn_-6d,ret_-5d,abn_-5d,ret_-4d,abn_-4d,ret_-3d,abn_-3d,ret_-2d,abn_-2d,ret_-1d,abn_-1d,ret_+0d,abn_+0d,ret_+1d,abn_+1d,ret_+2d,abn_+2d,ret_+3d,abn_+3d,ret_+4d,abn_+4d,ret_+5d,abn_+5d,ret_+6d,abn_+6d,ret_+7d,abn_+7d,ret_+8d,abn_+8d,ret_+9d,abn_+9d,ret_+10d,abn_+10d,ret_+20d,abn_+20d,ret_+30d,abn_+30d,ret_+60d,abn_+60d
2849_2007-05-23,2849,安泰銀,sii,2007-05-23,2007-06-05,500000000.0,8.0,20.0,13,7.99,0.0012515644555695093,0.07509386733416767,0.09004403344712453,0.01001251564455563,0.016657033916980923,0.013767209011263937,0.016258903363423505,0.008760951188986343,0.010422080757092722,0.0012515644555695093,0.013710036216366905,-0.017521902377972576,-0.005893995401228369,-0.010012515644555742,-0.0017068678040241814,-0.028785982478097716,-0.013005251581087673,0.007509386733416834,0.014984469789895316,0.0012515644555695093,0.004573823591782156,0.0,0.0,-0.01126408010012514,-0.01126408010012514,0.0,-0.009136212624584639,-0.03379224030037553,-0.04542014727711974,-0.018773466833541974,-0.027079114674073645,-0.030037546933667114,-0.04083488912635813,-0.028785982478097716,-0.045397278159160837,-0.030037546933667114,-0.046648842614730235,-0.021276595744680882,-0.051176927970594366,0.04630788485607007,-0.0035260021871192926,0.11889862327909873,0.03584214487378312,0.10137672090112648,0.008353465087173051,0.07008760951188986,-0.03954694198312669,0.25782227784730916,0.12493191239880419,-0.04630788485607007,-0.09281951276304667
6152_2007-05-23,6152,百一,sii,2007-05-23,2007-06-06,10000000.0,31.0,7.62658902,14,41.35,-0.2503022974607013,-0.056831922611850105,-0.03606780301052115,0.0036275695284160303,0.006119263880575598,0.0036275695284160303,0.005288699096522409,0.0036275695284160303,0.016086041289213426,0.010882708585247869,0.022510615561992076,0.0012091898428052694,0.00951483768333683,-0.03264812575574372,-0.016867394858733675,-0.03264812575574372,-0.025173042699265236,-0.03385731559854899,-0.03053505646233634,0.006045949214026569,0.006045949214026569,0.0,0.0,0.0036275695284160303,-0.005508643096168608,-0.01813784764207982,-0.029765754618824025,-0.006045949214026569,-0.01435159705455824,-0.026602176541717037,-0.037399518734408055,0.0241837968561065,0.007572501175043378,0.06408706166868194,0.04747576598761882,0.11245465538089472,0.08255432315498124,0.1898428053204353,0.14000891827724593,0.12212817412333732,0.039071695718021715,0.185006045949214,0.09198279013526056,0.185006045949214,0.09862730840768563,0.27206771463119717,0.1566192096478085,0.30592503022974604,0.17386522956529427,0.2889963724304714,0.2291957079786442
2460_2007-06-01,2460,建通,sii,2007-06-01,2007-06-20,7812500.0,32.0,5.6359067000000005,19,48.2,-0.3360995850622407,-0.08921161825726154,-0.03224959294080587,-0.01763485477178428,0.029833499658595497,-0.02904564315352709,0.018422711276852688,-0.024896265560165998,0.013869557224644224,0.016597510373443924,0.05298991543673515,0.0,0.039556962025316444,-0.006224066390041583,0.030959477913755862,0.0,0.03164556962025311,0.010373443983402453,0.042019013603655564,-0.008298755186722073,0.010688586585429816,0.0,0.0,-0.02904564315352709,-0.0606912127737802,-0.023858921161825863,-0.06499816166815497,0.0020746887966804906,-0.032735437785597954,0.0020746887966804906,-0.025615184621041065,-0.003112033195020847,-0.0497892483848944,0.0010373443983402453,-0.032981642943431755,0.013485477178423189,-0.01499553547980459,0.020746887966804906,-0.010898681653448206,0.025933609958506132,-0.002547402699721646,0.010373443983402453,-0.027601239560901103,0.029045643153526868,-0.020004989757865355,0.10580912863070524,0.020366090656021907,0.003112033195020736,-0.04593859971637149,-0.15560165975103735,-0.19753203949787268
3260_2007-06-05,3260,威剛,otc,2007-06-05,2007-06-20,9000000.0,95.0,4.607515766000001,15,127.0,-0.25196850393700787,-0.09055118110236215,-0.03358915578590649,0.015748031496062964,0.06321638592644274,0.019685039370078705,0.06715339380045848,-0.015748031496062964,0.023017791288747258,-0.03149606299212604,0.004896342071165183,-0.03149606299212604,0.008060899033190405,-0.015748031496062964,0.02143551280773448,0.007874015748031482,0.03951958536828459,-0.015748031496062964,0.015897538124190147,0.0,0.01898734177215189,0.0,0.0,0.007874015748031482,-0.02377155387222163,0.04330708661417315,0.0021678461078440403,0.055118110236220375,0.02030798365394193,0.07086614173228356,0.043176268314562005,0.055118110236220375,0.008440895046346819,0.011811023622047223,-0.022207963719724777,0.011811023622047223,-0.016669989036180555,0.015748031496062964,-0.015897538124190147,0.011811023622047223,-0.016669989036180555,0.023622047244094446,-0.01435263630020911,0.023622047244094446,-0.025428585667297776,0.09448818897637801,0.009045151001694673,0.023622047244094446,-0.025428585667297776,-0.34173228346456697,-0.3836626632114023
2415_2007-06-20,2415,錩新,sii,2007-06-20,2007-07-04,7500000.0,20.1,7.43925,14,24.85,-0.1911468812877264,-0.16297786720321938,-0.07097183402071572,-0.0905432595573441,-0.0830017814276307,-0.0905432595573441,-0.0769685989238601,-0.07444668008048294,-0.05408468913025677,-0.0764587525150906,-0.07419630907617669,-0.08853118712273655,-0.07420237867628099,-0.07847082494969826,-0.05886298181244343,-0.07847082494969826,-0.061879573064328786,-0.06841046277666007,-0.04880261963940524,-0.004024144869215318,0.006533924512383549,0.0,0.0,-0.0623742454728371,-0.0699157236025505,-0.06841046277666007,-0.08123097559717307,-0.06639839034205242,-0.07695645972365117,-0.05432595573440646,-0.08901675513108809,-0.07042253521126762,-0.10586748242092081,-0.0865191146881289,-0.10989769689024043,-0.07042253521126762,-0.09908015210417875,-0.06036217303822933,-0.09806956368679653,-0.0523138832997988,-0.08549638707053797,-0.04225352112676062,-0.07694432052344224,-0.03219315895372232,-0.060850775846633454,0.13078470824949706,0.17603357702777755,0.04225352112676051,0.10484778960338192,-0.04225352112676062,-0.08825653771801256
2020_2007-06-21,2020,美亞,sii,2007-06-21,2007-07-02,18000000.0,30.0,8.3137,11,38.0,-0.21052631578947367,-0.047368421052631504,0.029554655870445368,-0.0552631578947369,-0.02757085020242922,-0.05921052631578949,-0.06228744939271269,-0.03947368421052633,-0.05178137651821868,-0.007894736842105177,-0.014048582995951353,-0.010526315789473606,-0.009757085020242862,-0.011842105263157987,-0.02953441295546566,-0.025000000000000022,-0.030384615384615343,-0.02631578947368418,-0.02631578947368418,-0.02631578947368418,-0.02939271255060738,0.0,0.0,-0.003947368421052588,-0.013178137651821742,0.0,-0.020000000000000018,0.011842105263157876,-0.015850202429149807,0.021052631578947212,-0.012024291497976014,0.018421052631579116,-0.012348178137651544,0.0026315789473685403,-0.052753036437246825,0.048684210526315885,-0.0074696356275303355,0.09736842105263155,0.05352226720647768,0.12368421052631584,0.07445344129554665,0.09605263157894739,0.03759109311740905,0.08026315789473681,0.026417004048582937,0.21578947368421053,0.2204048582995951,0.001315789473684159,0.019008097165991833,-0.048684210526315774,-0.10868421052631583
3058_2007-06-22,3058,立德,sii,2007-06-22,2007-06-29,17000000.0,22.0,13.92674627,7,30.3,-0.2739273927392739,-0.13861386138613863,-0.055024904330923885,0.0033003300330032292,0.05238008463423027,0.004950495049504955,0.03562534167527187,0.004950495049504955,0.004950495049504955,-0.01650165016501648,-0.025704104152746488,-0.01980198019801982,-0.02286946486059649,0.0033003300330032292,0.0071346858612241215,0.0033003300330032292,-0.011270222114236006,-0.024752475247524774,-0.02705308874445711,-0.00990099009900991,-0.006833505436433129,0.0,0.0,-0.0066006600660065695,-0.003533175403429789,-0.01980198019801982,-0.02593694952317316,-0.01320132013201325,-0.030072485776185043,-0.021452145214521545,-0.0459920225151349,-0.021452145214521545,-0.05136012067464435,-0.008250825082508295,-0.03585818704569854,0.0066006600660066805,-0.04554657919779692,-0.0033003300330033403,-0.056214440462451276,-0.02970297029702973,-0.07034714207617077,-0.04950495049504955,-0.09551722043369981,-0.05775577557755773,-0.112970499503938,-0.02310231023102305,-0.028470408390532054,-0.14851485148514854,-0.1301099435096884,-0.28712871287128705,-0.32930662698171653
3276_2007-06-26,3276,宇環,otc,2007-06-26,2007-07-12,16500000.0,12.0,19.9373932,16,18.45,-0.34959349593495936,-0.04065040650406504,0.05735991037139543,-0.19783197831978316,-0.15877523550475015,-0.19783197831978316,-0.15582755680172866,-0.19241192411924113,-0.15925053871025074,-0.1869918699186992,-0.16414735997028362,-0.17886178861788615,-0.163386475427024,-0.18157181571815717,-0.1712549402575826,-0.18157181571815717,-0.1690441812303164,-0.12466124661246614,-0.13571504174879623,-0.06504065040650397,-0.07683136521858969,0.0,0.0,-0.06504065040650397,-0.07019908813679154,-0.03794037940379402,-0.051941853243145486,-0.08943089430894302,-0.09901085009376254,-0.0840108401084011,-0.09506463524473119,-0.12195121951219512,-0.1271096572424827,-0.11111111111111116,-0.11553262916564333,-0.0677506775067751,-0.08764750875216953,-0.0027100271002710175,-0.01744842061537788,0.06504065040650397,0.037037702727800825,0.1382113821138211,0.11020843443511796,0.21680216802168029,0.20869605158837135,0.22493224932249345,0.25588287570421775,-0.0677506775067751,-0.01100786247361385,0.27913279132791335,0.2201792172674859
9962_2007-07-02,9962,有益,otc,2007-07-02,2007-07-10,16920000.0,30.5,24.0,8,47.3,-0.35517970401691323,-0.023255813953488302,0.08971794697945623,-0.09302325581395343,-0.045647162519492746,-0.08668076109936562,-0.034202626988578566,-0.06131078224101483,-0.01174810002527149,-0.07610993657505272,-0.02363180246426566,-0.06976744186046502,-0.02603566343480901,-0.07082452431289632,-0.037296827519893494,-0.05496828752642691,-0.028729220471033323,-0.05602536997885832,-0.03488834373979144,-0.04228329809725162,-0.018959682936901867,0.0,0.0,-0.06131078224101483,-0.06203964521477601,-0.06976744186046502,-0.05883449725405099,-0.07610993657505272,-0.07027903278496539,-0.08985200845665964,-0.09276746035170347,-0.05919661733615211,-0.05773889138863031,-0.06131078224101483,-0.06131078224101483,-0.07505285412262153,-0.0692219503325342,-0.08033826638477792,-0.07377849962092964,-0.07822410147991532,-0.08697045716504659,-0.04228329809725162,-0.045927612966056186,-0.003171247357293794,-0.019935095753795373,-0.18393234672304437,-0.1154192271895167,-0.33403805496828753,-0.2341838275630398,-0.2758985200845665,-0.3137993947201352
3031_2007-07-04,3031,佰鴻,sii,2007-07-04,2007-07-18,11000000.0,45.0,6.06896551,14,61.8,-0.27184466019417475,-0.11650485436893199,-0.07568852783831981,-0.07928802588996764,-0.053048958834574056,-0.0598705501618122,-0.038733523922745317,-0.04045307443365698,-0.017129459273307224,-0.043689320388349495,-0.043689320388349495,-0.03883495145631066,-0.03956381443007184,-0.05339805825242716,-0.04246511364601313,-0.0453074433656957,-0.03947653957560837,-0.05339805825242716,-0.05631351014747099,-0.04045307443365698,-0.03899534848613517,0.0,0.0,-0.09385113268608414,-0.08802022889599681,-0.09708737864077666,-0.09052761187692837,-0.09385113268608414,-0.1025974883712154,-0.08576051779935268,-0.08940483266815724,-0.07766990291262132,-0.0944337513091229,-0.014563106796116498,-0.03132695519261808,0.05177993527508096,0.054695387170124565,0.08090614886731395,0.1253667902667308,0.06796116504854366,0.12481247700189635,0.14239482200647235,0.17592251879947518,0.11650485436893199,0.19376432958759082,0.08090614886731395,0.17492947248247426,0.1893203883495147,0.27095304141073906,0.2944983818770228,0.26607272590034636
