anchor,year,horizon,n,mean_ret,win_rate
公告日,2007,0,53,-0.005631402942077036,0.4716981132075472
公告日,2007,10,53,-0.004494341005441442,0.37735849056603776
公告日,2007,1,53,-0.003591776765149169,0.39622641509433965
公告日,2007,20,53,-0.057727663758411735,0.3018867924528302
公告日,2007,2,53,-0.005445911098601015,0.49056603773584906
公告日,2007,30,53,-0.08754141232175468,0.24528301886792453
公告日,2007,3,53,-0.0039202011210030625,0.4339622641509434
公告日,2007,4,53,0.0037418942028073186,0.4528301886792453
公告日,2007,5,53,0.000645464740524425,0.4528301886792453
公告日,2007,60,53,-0.18676251414842437,0.11320754716981132
公告日,2007,6,53,-0.0036594348694685267,0.4528301886792453
公告日,2007,7,53,0.0032178802912070418,0.4716981132075472
公告日,2007,8,53,0.003522146453730711,0.4339622641509434
公告日,2007,9,53,0.003206579843917064,0.37735849056603776
公告日,2007,-10,53,0.00200874602628569,0.4528301886792453
公告日,2007,-1,53,0.0,0.0
公告日,2007,-20,53,-0.022717772667265036,0.41509433962264153
公告日,2007,-2,53,-0.000713877916553326,0.5471698113207547
公告日,2007,-3,53,0.00018604596595209346,0.4528301886792453
公告日,2007,-4,53,-0.0031420592167897537,0.4716981132075472
公告日,2007,-5,53,-0.004117050747936815,0.49056603773584906
公告日,2007,-6,53,-0.00354443001078596,0.4528301886792453
公告日,2007,-7,53,0.0003259998503600374,0.5660377358490566
公告日,2007,-8,53,0.008240614325005224,0.4339622641509434
公告日,2007,-9,53,0.005383565122126065,0.5094339622641509
公告日,2008,0,23,-0.007579047029214559,0.391304347826087
公告日,2008,10,23,-0.05321614035179678,0.30434782608695654
公告日,2008,1,23,-0.0011459350174276525,0.34782608695652173
公告日,2008,20,23,-0.08380997078210087,0.2608695652173913
公告日,2008,2,23,0.008581017064798462,0.5217391304347826
公告日,2008,30,23,-0.1376741789882244,0.17391304347826086
公告日,2008,3,23,1.1096772380140816e-05,0.5217391304347826
公告日,2008,4,23,-0.006949046926018653,0.5217391304347826
公告日,2008,5,23,-0.0029564822523273204,0.5652173913043478
公告日,2008,60,23,-0.31123814341846345,0.13043478260869565
公告日,2008,6,23,-0.00044009074985120454,0.4782608695652174
公告日,2008,7,23,-0.009272606529723807,0.4782608695652174
公告日,2008,8,23,-0.015226074150817172,0.391304347826087
公告日,2008,9,23,-0.0348102565676353,0.30434782608695654
公告日,2008,-10,23,0.03261585678844743,0.6521739130434783
公告日,2008,-1,23,0.0,0.0
公告日,2008,-20,23,0.09450750434679431,0.8695652173913043
