code,name,lock_start,lock_end,lock_days,d1,entry_day,entry_open,entry_o,entry_h,entry_l,entry_c,base_ret,tp2_ret,tp2_hit,censored,entry_is_ceiling,citycenter_overlap,cum_net_buy_ntd,flip_ratio,year
2603,長榮,2018-01-02,2018-01-02,1,2018-01-03,2018-01-03,18.3,18.3,18.5,17.55,17.7,3.278688524590172,1.999999999999998,True,False,False,False,93501550.0,0.5173614768953028,2018
2327,國巨*,2018-01-03,2018-01-03,1,2018-01-04,2018-01-04,401.0,401.0,420.0,394.0,398.5,0.6234413965087282,0.6234413965087282,False,False,False,False,104641000.0,0.3389350254680288,2018
3026,禾伸堂,2018-01-03,2018-01-03,1,2018-01-04,2018-01-04,123.0,123.0,124.5,118.0,118.0,4.065040650406504,2.0000000000000067,True,False,False,False,103443000.0,0.6513538857148381,2018
3059,華晶科,2018-01-04,2018-01-04,1,2018-01-05,2018-01-05,36.5,36.5,36.5,35.2,35.6,2.4657534246575303,2.0000000000000107,True,False,False,False,83308500.0,0.4375831997935385,2018
3532,台勝科,2018-01-05,2018-01-05,1,2018-01-08,2018-01-08,111.5,111.5,119.0,107.5,114.5,-2.690582959641256,2.0000000000000036,True,False,False,False,40590000.0,0.0,2018
3008,大立光,2018-01-12,2018-01-12,1,2018-01-15,2018-01-15,4255.0,4255.0,4270.0,3980.0,4030.0,5.287896592244419,2.000000000000009,True,False,False,False,61500000.0,0.0,2018
2455,全新,2018-01-15,2018-01-15,1,2018-01-16,2018-01-16,109.0,109.0,113.5,105.5,106.0,2.752293577981652,2.000000000000006,True,False,False,False,347868000.0,0.1285890050248945,2018
2481,強茂,2018-01-15,2018-01-15,1,2018-01-16,2018-01-16,37.7,37.7,38.75,36.6,38.55,-2.254641909814308,1.9999999999999938,True,False,False,False,56769000.0,0.1874227131004597,2018
2405,輔信,2018-01-16,2018-01-16,1,2018-01-17,2018-01-17,22.1,22.1,22.95,21.45,21.85,1.1312217194570136,2.000000000000001,True,False,False,False,87225200.00000001,1.0,2018
8163,達方,2018-01-16,2018-01-16,1,2018-01-17,2018-01-17,34.35,34.35,34.4,32.05,32.15,6.404657933042221,1.9999999999999931,True,False,False,False,42769200.0,0.4668113969866164,2018
3532,台勝科,2018-01-18,2018-01-18,1,2018-01-19,2018-01-19,130.5,130.5,133.5,127.5,130.0,0.3831417624521072,1.9999999999999998,True,False,False,False,106934000.0,0.0,2018
6451,訊芯-KY,2018-01-23,2018-01-23,1,2018-01-24,2018-01-24,158.0,158.0,161.0,150.5,152.0,3.79746835443038,1.999999999999998,True,False,False,False,134458000.0,0.3798360826429071,2018
2349,錸德,2018-01-23,2018-01-24,2,2018-01-25,2018-01-25,5.87,5.87,6.12,5.61,5.65,3.7478705281090248,1.9999999999999991,True,False,False,False,40309219.99999999,0.7198948528401196,2018
3035,智原,2018-01-24,2018-01-24,1,2018-01-25,2018-01-25,69.0,69.0,74.3,68.2,69.0,0.0,0.0,False,False,False,False,77998599.99999999,0.9262089319551892,2018
3661,世芯-KY,2018-01-25,2018-01-25,1,2018-01-26,2018-01-26,123.5,123.5,124.5,117.5,120.5,2.42914979757085,1.9999999999999991,True,False,False,False,70567000.0,1.014312639052248,2018
3035,智原,2018-01-26,2018-01-26,1,2018-01-29,2018-01-29,77.8,77.8,83.4,77.8,82.8,-6.426735218508997,-6.426735218508997,False,False,False,False,183070800.00000003,0.0999547715965626,2018
2377,微星,2018-01-29,2018-01-29,1,2018-01-30,2018-01-30,105.0,105.0,105.0,96.6,96.7,7.904761904761901,2.000000000000008,True,False,False,False,91542000.0,0.7088079788512378,2018
4919,新唐,2018-01-29,2018-01-29,1,2018-01-30,2018-01-30,77.3,77.3,79.2,74.1,75.3,2.58732212160414,2.0000000000000084,True,False,False,False,78273800.0,1.0418543625069947,2018
4943,康控-KY,2018-02-01,2018-02-01,1,2018-02-02,2018-02-02,330.0,330.0,335.0,300.0,300.5,8.93939393939394,2.000000000000007,True,False,False,False,91495000.0,0.9097600961801192,2018
8105,凌巨,2018-02-01,2018-02-01,1,2018-02-02,2018-02-02,20.15,20.15,20.2,19.5,19.5,3.2258064516128964,1.9999999999999938,True,False,False,False,66394250.0,0.4728572127857458,2018
3035,智原,2018-02-07,2018-02-07,1,2018-02-08,2018-02-08,74.9,74.9,74.9,67.6,69.1,7.743658210947945,2.0000000000000058,True,False,False,False,106208200.0,0.6011626220950923,2018
3532,台勝科,2018-02-07,2018-02-07,1,2018-02-08,2018-02-08,129.0,129.0,129.5,120.5,123.0,4.651162790697675,1.9999999999999987,True,False,False,False,84963000.0,0.0,2018
3035,智原,2018-03-05,2018-03-05,1,2018-03-06,2018-03-06,78.0,78.0,80.3,76.4,77.5,0.641025641025641,2.0000000000000027,True,False,False,False,45390800.0,0.6368581298412894,2018
4943,康控-KY,2018-03-12,2018-03-13,2,2018-03-14,2018-03-14,314.0,314.0,318.5,298.0,301.5,3.980891719745223,2.0000000000000093,True,False,False,False,139071000.0,0.0,2018
2337,旺宏,2018-03-27,2018-03-27,1,2018-03-28,2018-03-28,51.4,51.4,51.4,47.95,48.3,6.031128404669263,1.9999999999999976,True,False,False,False,60395000.0,-0.0,2018
2327,國巨*,2018-04-18,2018-04-18,1,2018-04-19,2018-04-19,664.0,664.0,704.0,650.0,650.0,2.108433734939759,1.9999999999999958,True,False,False,False,61752000.0,1.4420585568078768,2018
2327,國巨*,2018-04-23,2018-04-23,1,2018-04-24,2018-04-24,682.0,682.0,682.0,617.0,639.0,6.3049853372434015,1.999999999999998,True,False,False,False,138168000.0,0.4994788952579468,2018
2049,上銀,2018-05-07,2018-05-07,1,2018-05-08,2018-05-08,435.0,435.0,440.0,426.0,426.0,2.0689655172413794,1.9999999999999973,True,False,False,False,92662000.0,0.0,2018
3008,大立光,2018-05-07,2018-05-07,1,2018-05-08,2018-05-08,4020.0,4020.0,4070.0,3975.0,3990.0,0.7462686567164178,0.7462686567164178,False,False,False,False,196000000.0,-0.0,2018
2353,宏碁,2018-05-09,2018-05-09,1,2018-05-10,2018-05-10,23.85,23.85,24.55,23.7,23.7,0.6289308176100717,0.6289308176100717,False,False,False,False,63042000.0,0.8545112781954888,2018
2383,台光電,2018-05-10,2018-05-10,1,2018-05-11,2018-05-11,81.5,81.5,84.8,79.9,83.6,-2.5766871165644103,-2.5766871165644103,False,False,False,False,42637800.0,0.4470399504664875,2018
5483,中美晶,2018-05-14,2018-05-14,1,2018-05-15,2018-05-15,151.0,151.0,151.5,141.0,141.0,6.622516556291391,2.0000000000000067,True,False,False,False,43941000.0,0.0,2018
6488,環球晶,2018-05-14,2018-05-14,1,2018-05-15,2018-05-15,600.0,600.0,604.0,572.0,580.0,3.333333333333333,2.0,True,False,False,False,320650000.0,-0.0,2018
6180,橘子,2018-05-17,2018-05-17,1,2018-05-18,2018-05-18,77.0,77.0,79.9,76.1,77.0,0.0,0.0,False,False,False,False,44400000.0,1.1151126126126123,2018
3406,玉晶光,2018-05-21,2018-05-21,1,2018-05-22,2018-05-22,404.0,404.0,428.0,403.0,426.0,-5.445544554455446,-5.445544554455446,False,False,False,False,43164000.0,-0.0,2018
3504,揚明光,2018-05-30,2018-05-30,1,2018-05-31,2018-05-31,118.5,118.5,127.0,115.0,115.0,2.9535864978902957,2.000000000000004,True,False,False,False,40309500.0,0.6190848311192151,2018
5299,杰力,2018-05-28,2018-05-30,3,2018-05-31,2018-05-31,139.5,139.5,142.0,124.0,126.5,9.31899641577061,1.9999999999999942,True,False,False,False,54870000.0,0.182130490249681,2018
2351,順德,2018-06-12,2018-06-12,1,2018-06-13,2018-06-13,96.8,96.8,99.3,91.7,92.0,4.958677685950411,2.000000000000007,True,False,False,False,46961400.0,0.0,2018
3016,嘉晶,2018-06-11,2018-06-12,2,2018-06-13,2018-06-13,92.0,92.0,93.4,81.1,82.9,9.89130434782608,2.000000000000004,True,False,False,False,41107000.0,-0.0,2018
2303,聯電,2018-06-13,2018-06-13,1,2018-06-14,2018-06-14,18.35,18.35,18.55,17.9,18.1,1.3623978201634876,2.0000000000000044,True,False,False,False,138935000.0,0.3281671285133336,2018
2492,華新科,2018-06-26,2018-06-26,1,2018-06-27,2018-06-27,369.0,369.0,391.0,366.0,372.5,-0.9485094850948508,-0.9485094850948509,False,False,False,False,53416500.0,0.0,2018
3532,台勝科,2018-07-06,2018-07-06,1,2018-07-09,2018-07-09,140.5,140.5,143.0,135.5,137.5,2.135231316725979,2.0000000000000018,True,False,False,False,69496000.0,-0.0,2018
6488,環球晶,2018-07-06,2018-07-06,1,2018-07-09,2018-07-09,500.0,500.0,523.0,495.5,513.0,-2.6,-2.6,False,False,False,False,237373500.0,0.0,2018
3035,智原,2018-08-31,2018-08-31,1,2018-09-03,2018-09-03,73.7,73.7,75.2,69.5,69.5,5.698778833107196,2.000000000000005,True,False,False,False,66874399.99999999,0.2743650784156568,2018
1590,亞德客-KY,2018-09-21,2018-09-21,1,2018-09-25,2018-09-25,321.0,321.0,329.0,309.5,309.5,3.582554517133956,2.000000000000005,True,False,False,False,160758000.0,0.0,2018
