起始日,出關日,處置類型,代號,名稱,規模,Dn組別,近20日漲幅,大戶(%),買進日,買進時累積(%),最深日,期間最深(%),出關報酬(%),T+1收盤(%),T+2收盤(%),T+3收盤(%),T+4收盤(%),T+5收盤(%),T+6收盤(%),T+7收盤(%),T+8收盤(%),T+9收盤(%),T+10收盤(%),結果,買進日(-5%版),買進時累積(-5%版)(%),出關報酬(-5%版)(%),結果(-5%版),D1累積(%),D2累積(%),D3累積(%),D4累積(%),D5累積(%),D6累積(%),D7累積(%),D8累積(%),D9累積(%),D10累積(%),D1報酬(%),D2報酬(%),D3報酬(%),D4報酬(%),D5報酬(%),D6報酬(%),D7報酬(%),D8報酬(%),D9報酬(%),D10報酬(%),出關後D1(%),出關後D2(%),出關後D3(%),出關後D4(%),出關後D5(%)
2026-07-27,2026-08-10,20分鐘,8033,雷虎,中,Dn < -5%,35.02,-1.35,D3,-16.04,D4,-19.79,13.06,9.55,20.38,10.19,16.88,28.34,21.97,18.47,17.83,19.43,18.15,✅ +13.06%,-,,,-,-0.53,-6.95,-16.04,-19.79,-11.76,-7.75,-4.55,1.07,1.60,-1.07,-4.57,2.01,13.06,18.33,7.58,2.90,-0.56,-6.08,-6.58,-4.05,6.48,-2.54,3.38,13.52,7.89
2026-07-24,2026-07-31,5分鐘,6182,合晶,大,Dn < -5%,9.05,-3.94,-,,D5,-33.04,,-21.93,-22.72,-15.00,-8.77,-5.26,-11.40,-18.42,-17.54,-9.65,-0.88,-,D1,-9.88,-18.51,❌ -18.51%,-9.88,-8.30,-17.39,-25.61,-33.04,,,,,,-18.51,-19.91,-11.10,-1.28,9.68,,,,,,-5.17,4.31,11.95,16.25,8.72
2026-07-17,2026-07-24,5分鐘,6907,雅特力-KY,中,Dn < -5%,77.70,-2.46,D1,-1.26,D4,-12.13,-10.17,-13.98,-16.53,-24.58,-31.99,-36.44,-30.08,-25.42,-23.09,-24.79,-17.37,❌ -10.17%,D2,-11.09,-0.24,❌ -0.24%,-1.26,-11.09,-7.11,-12.13,-9.21,,,,,,-10.17,-0.24,-4.50,0.95,-2.30,,,,,,-7.08,-16.04,-24.29,-29.25,-22.17
2026-07-16,2026-07-30,20分鐘,8096,擎亞,中,Dn < -5%,0.34,-4.09,D3,-12.33,D3,-12.33,-18.75,-19.92,-12.11,-10.16,-1.17,1.17,5.86,2.73,-3.91,-5.08,-1.95,❌ -18.75%,-,,,-,-2.74,-12.33,-12.33,-4.11,-3.77,-3.77,-3.77,-4.11,-13.70,-22.26,-26.76,-18.75,-18.75,-25.71,-25.98,-25.98,-25.98,-25.71,-17.46,-8.37,8.17,10.58,21.63,24.52,30.29
2026-07-15,2026-07-29,20分鐘,4542,科嶠,中,Dn < -5%,2.09,-0.75,D4,-13.87,D4,-13.87,-10.00,-14.41,-22.88,-21.69,-13.90,-5.42,3.90,4.07,-1.69,-0.85,-6.95,❌ -10.00%,-,,,-,8.61,6.13,-4.38,-13.87,-5.26,-2.19,-2.77,-7.74,-9.05,-18.10,-28.63,-26.96,-18.93,-10.00,-18.18,-20.75,-20.27,-15.98,-14.77,-5.35,-14.31,-12.99,-4.33,5.08,15.44
2026-07-14,2026-07-28,20分鐘,8027,鈦昇,中,Dn < -5%,4.10,0.33,D4,-10.58,D5,-19.50,-17.87,-19.03,-26.91,-33.18,-26.68,-22.97,-18.56,-15.08,-15.08,-20.19,-15.55,❌ -17.87%,-,,,-,-2.70,1.24,-0.83,-10.58,-19.50,-18.05,-11.62,-13.49,-18.26,-19.71,-24.52,-27.46,-25.94,-17.87,-8.76,-10.38,-16.90,-15.11,-10.15,-8.53,-11.02,-18.64,-10.73,-6.21,-0.85
2026-07-10,2026-07-20,5分鐘,4169,泰宗,中,Dn < -5%,81.21,0.40,-,,D1,-10.00,,4.94,15.43,13.17,,1.85,-8.23,-17.28,-25.51,-32.92,-32.10,-,D1,-10.00,4.12,✅ +4.12%,-10.00,-10.00,-7.78,-1.48,-6.67,,,,,,4.12,4.12,1.61,-4.89,0.40,,,,,,10.87,8.70,,-2.17,-11.86
2026-07-09,2026-07-24,20分鐘,3055,蔚華科,中,Dn -5%~0%,91.91,0.71,-,,D7,-4.15,,-22.79,-28.21,-34.76,-41.03,-46.89,-48.49,-46.95,-41.88,-36.18,-37.04,-,-,,,-,-6.23,-3.26,4.15,14.54,6.82,-3.26,-4.15,0.30,-1.78,-10.68,-12.97,-15.64,-21.65,-28.76,-23.61,-15.64,-14.86,-18.64,-16.92,-8.64,-8.36,-16.73,-24.73,-32.22,-34.25
2026-07-09,2026-07-24,20分鐘,4707,磐亞,中,Dn < -5%,85.12,0.30,D8,-13.44,D8,-13.44,-5.33,7.46,-3.20,-12.79,-21.46,-29.22,-29.38,-22.37,-14.61,-6.09,3.04,❌ -5.33%,-,,,-,-4.48,1.19,1.19,10.54,18.58,6.72,-3.95,-13.44,-6.59,-15.42,-14.21,-19.01,-19.01,-25.86,-30.89,-23.21,-14.68,-5.33,-12.27,-3.12,2.25,-7.88,-17.04,-25.24,-25.40
2026-07-09,2026-07-17,5分鐘,8261,富鼎,中,Dn < -5%,111.55,-1.83,-,,D5,-19.97,,-22.77,-29.54,-25.08,-21.85,-27.69,-33.23,-33.38,-40.00,-46.00,-51.38,-,D1,-6.61,-22.77,❌ -22.77%,-6.61,-15.95,-11.78,-12.64,-19.97,,,,,,-22.77,-14.19,-18.24,-17.43,-9.87,,,,,,-8.76,-2.99,1.20,-6.37,-13.55
2026-07-08,2026-07-16,5分鐘,2466,冠西電,中,Dn ≥ 0%,110.45,1.89,-,,D1,4.64,,24.87,25.90,22.81,21.78,19.20,7.33,-1.96,-3.10,-2.37,-7.33,-,-,,,-,4.64,6.37,8.53,13.39,24.73,,,,,,17.65,15.74,13.43,8.57,-1.30,,,,,,7.02,4.39,3.51,1.32,-8.77
2026-07-08,2026-07-16,5分鐘,6617,共信-KY,中,Dn < -5%,64.21,-0.36,-,,D3,-5.83,,-1.70,-10.21,-14.89,-12.34,-15.91,-23.66,-26.98,-28.43,-30.64,-32.85,-,D3,-5.83,3.33,✅ +3.33%,5.38,-1.35,-5.83,-5.83,-2.69,,,,,,-7.66,-1.36,3.33,3.33,0.00,,,,,,-2.76,-7.83,-5.07,-8.94,-17.33
2026-07-07,2026-07-22,20分鐘,1718,中纖,中,Dn < -5%,54.31,-1.70,D3,-6.58,D8,-10.20,-4.93,-13.03,-20.07,-22.54,-27.82,-31.48,-35.21,-39.15,-38.52,-32.39,-29.65,❌ -4.93%,-,,,-,-1.64,-6.25,-6.58,-5.59,-8.55,-1.97,-3.62,-10.20,-14.47,-13.16,-9.70,-5.26,-4.93,-5.92,-2.88,-9.40,-7.85,-1.10,3.85,2.27,-15.93,-18.52,-24.07,-27.93,-31.85
2026-07-06,2026-07-14,5分鐘,3055,蔚華科,中,Dn ≥ 0%,47.34,0.57,-,,D4,3.61,,9.35,20.25,12.15,1.56,0.62,5.30,3.12,-6.23,-15.58,-21.50,-,-,,,-,5.25,15.41,10.49,3.61,6.89,,,,,,3.43,-5.68,-1.48,5.06,1.84,,,,,,16.27,8.43,-1.81,-2.71,1.81
2026-07-06,2026-07-14,5分鐘,6217,中探針,中,Dn < -5%,1.13,-2.03,-,,D5,-9.85,,-10.35,-10.55,-14.84,-23.24,-30.86,-33.98,-32.62,-33.59,-40.23,-46.09,-,D2,-9.29,-0.41,❌ -0.41%,-4.83,-9.29,-5.58,-7.06,-9.85,,,,,,-5.08,-0.41,-4.33,-2.80,0.21,,,,,,-5.76,-10.29,-19.14,-27.16,-30.45
2026-07-06,2026-07-14,5分鐘,7795,長廣,大,Dn < -5%,60.72,-2.77,-,,D4,-11.82,,-16.82,-11.11,-15.47,-23.87,-31.46,-37.61,-34.83,-38.29,-41.07,-39.56,-,D3,-6.23,-5.45,❌ -5.45%,6.39,-4.15,-6.23,-11.82,-11.82,,,,,,-16.67,-7.50,-5.45,0.54,0.54,,,,,,6.67,1.44,-8.65,-17.75,-25.14
2026-07-03,2026-07-20,20分鐘,3189,景碩,大,Dn < -5%,12.31,-1.69,D3,-17.23,D3,-17.23,0.87,-1.16,8.59,15.87,14.26,3.49,3.35,-6.99,-16.16,-15.87,-7.57,✅ +0.87%,-,,,-,0.36,-8.07,-17.23,-9.04,-4.22,-1.33,-3.01,1.81,-7.23,-16.51,-16.81,-9.17,0.87,-8.21,-12.83,-15.38,-13.91,-17.99,-10.00,0.00,7.65,14.86,13.28,2.60,2.45
2026-07-03,2026-07-20,20分鐘,8021,尖點,大,Dn < -5%,15.74,-1.23,D3,-8.46,D7,-10.39,-16.47,-17.77,-23.59,-15.96,-18.37,-25.70,-21.59,-29.42,-36.45,-40.96,-35.14,❌ -16.47%,-,,,-,2.57,-2.57,-8.46,-4.78,-4.23,-6.62,-10.39,-2.21,-7.17,-16.45,-25.45,-21.51,-16.47,-19.69,-20.15,-18.11,-14.67,-21.80,-17.62,-8.47,-8.53,0.60,-2.28,-11.06,-6.13
2026-07-03,2026-07-13,5分鐘,8033,雷虎,中,Dn ≥ 0%,38.29,8.17,-,,D1,9.95,,22.00,29.10,31.78,18.83,7.09,0.00,4.65,-3.91,-6.85,-8.56,-,-,,,-,9.95,19.35,11.29,22.31,22.04,,,,,,14.91,5.86,13.53,3.30,3.52,,,,,,12.34,14.68,3.40,-6.81,-12.98
