代號,名稱,規模,年份,起始日,出關日,條款,前日漲幅(%),D1跳空(%),符合因子,加強訊號,D1%,D3%,D5%,D8%,策略報酬(%)
8383,千附,小,2026,2026-07-20,2026-08-03,連續3日,2.18,-2.92,✅,⭐,-9.89,-5.96,1.57,-22.58,-15.19
6907,雅特力-KY,中,2026,2026-07-17,2026-07-31,10日6次,2.80,-5.86,✅,⭐,-1.26,-7.11,-9.21,-25.52,-30.44
7714,創泓科技,小,2026,2026-07-17,2026-07-31,連續3日,-2.89,-8.19,,,-9.93,-0.25,-12.16,-29.28,-24.60
2434,統懋,小,2026,2026-07-15,2026-07-29,10日6次,9.96,9.99,,,9.99,8.92,-6.66,-8.39,-35.71
4169,泰宗,中,2026,2026-07-10,2026-07-27,連續3日,-3.23,0.00,,,-10.00,-7.78,-6.67,1.85,-8.59
6174,安碁,小,2026,2026-07-09,2026-07-24,10日6次,5.70,-1.96,✅,⭐,-5.72,-8.17,-2.29,-19.61,-24.97
8261,富鼎,中,2026,2026-07-09,2026-07-28,連續3日+當沖,1.75,-3.30,,,-6.61,-11.78,-19.97,-30.03,-40.36
2466,冠西電,中,2026,2026-07-08,2026-07-23,連續3日,-2.32,0.11,,,4.64,8.53,24.73,28.51,6.97
6617,共信-KY,中,2026,2026-07-08,2026-07-23,連續3日,9.85,-1.79,,,5.38,-5.83,-2.69,-10.31,-24.02
1515,力山,小,2026,2026-07-07,2026-07-22,連續3日,1.79,-2.69,,,-9.36,-6.08,-4.09,-4.21,-1.52
1447,力鵬,小,2026,2026-07-06,2026-07-21,10日6次,9.90,7.61,,,-4.80,-13.41,-15.62,-13.71,-19.92
1617,榮星,小,2026,2026-07-06,2026-07-21,10日6次,9.87,10.00,,,8.98,-0.20,0.00,-2.45,-28.26
3055,蔚華科,中,2026,2026-07-06,2026-07-21,10日6次,8.93,6.89,✅,,5.25,10.49,6.89,18.03,4.94
6217,中探針,中,2026,2026-07-06,2026-07-21,10日6次,1.51,0.00,,,-4.83,-5.58,-9.85,-18.96,-34.34
7795,長廣,大,2026,2026-07-06,2026-07-21,10日6次,2.45,1.44,✅,,6.39,-6.23,-11.82,-10.06,-37.97
8033,雷虎,中,2026,2026-07-03,2026-07-20,10日6次,0.00,1.08,,,9.95,11.29,22.04,44.89,-0.36
2303,聯電,大,2026,2026-07-02,2026-07-17,10日6次,2.74,-2.96,✅,⭐,-2.07,-1.78,-3.55,-10.65,-13.35
3230,錦明,小,2026,2026-07-01,2026-07-16,連續3日,6.05,-1.29,✅,⭐,2.48,11.09,8.93,19.27,5.74
1435,中福,小,2026,2026-06-30,2026-07-15,10日6次,9.93,8.03,,,9.84,32.73,7.63,17.27,-3.28
2483,百容,小,2026,2026-06-30,2026-07-15,10日6次,0.00,-3.05,,,2.51,9.69,25.49,22.08,-11.04
3450,聯鈞,大,2026,2026-06-30,2026-07-15,10日6次,-4.72,2.77,,,5.35,-0.79,2.97,-0.59,-10.13
6226,光鼎,小,2026,2026-06-30,2026-07-15,10日6次,9.86,9.73,,,9.98,32.92,15.21,32.67,25.72
8024,佑華,小,2026,2026-06-30,2026-07-15,連續3日,-6.88,-1.54,,,-5.23,-2.77,-0.92,3.38,11.33
5464,霖宏,小,2026,2026-06-29,2026-07-14,連續3日,-6.98,3.50,,,-6.20,2.00,2.50,-4.10,-8.57
6243,迅杰,小,2026,2026-06-29,2026-07-14,10日6次,-2.71,-6.63,,,-8.72,-4.88,-6.74,-6.98,0.66
6683,雍智科技,中,2026,2026-06-29,2026-07-14,10日6次,-9.81,0.00,,,-1.76,7.06,6.18,-2.06,-9.94
2481,強茂,大,2026,2026-06-26,2026-07-13,10日6次,-1.54,-1.56,,,-8.85,-4.95,11.20,12.50,9.36
5425,台半,中,2026,2026-06-26,2026-07-13,連續5日,-4.15,-3.54,,,-9.84,-5.12,5.12,3.15,2.26
