代號,名稱,規模,年份,起始日,買進日,出關日,深跌單,訊號,進場價,出場價,策略報酬(%)
3055,蔚華科,中,2026,2026-07-09,2026-07-21,2026-07-24,,✅,169.00,135.50,-20.18
4707,磐亞,中,2026,2026-07-09,2026-07-21,2026-07-24,✅,✅,32.85,35.30,7.10
1718,中纖,中,2026,2026-07-07,2026-07-17,2026-07-22,✅,✅,13.65,12.35,-9.88
3230,錦明,小,2026,2026-07-06,2026-07-16,2026-07-21,,✅,50.50,47.25,-6.79
3189,景碩,大,2026,2026-07-03,2026-07-15,2026-07-20,✅,✅,845.00,679.00,-20.00
6226,光鼎,小,2026,2026-07-03,2026-07-15,2026-07-20,✅,✅,27.80,20.30,-27.34
8021,尖點,大,2026,2026-07-03,2026-07-15,2026-07-20,✅,✅,532.00,409.50,-23.38
5321,美而快,小,2026,2026-06-29,2026-07-08,2026-07-14,✅,✅,60.70,56.60,-7.11
6834,天二科技,中,2026,2026-06-26,2026-07-07,2026-07-13,✅,✅,118.50,129.00,8.50
3675,德微,中,2026,2026-06-25,2026-07-06,2026-07-09,✅,✅,450.00,396.00,-12.36
2061,風青,小,2026,2026-06-24,2026-07-03,2026-07-08,,🔒 買進日漲停買不到,74.20,83.00,
2492,華新科,大,2026,2026-06-24,2026-07-03,2026-07-08,✅,✅,563.00,474.00,-16.17
3624,光頡,中,2026,2026-06-24,2026-07-07,2026-07-13,✅,✅,133.50,130.00,-2.98
5227,立凱-KY,小,2026,2026-06-24,2026-07-03,2026-07-08,✅,✅,35.15,33.50,-5.05
5468,凱鈺,小,2026,2026-06-24,2026-07-03,2026-07-08,✅,✅,33.60,30.90,-8.39
7610,聯友金屬-創,大,2026,2026-06-24,2026-07-03,2026-07-08,✅,✅,2550.00,2485.00,-2.91
2243,宏旭-KY,小,2026,2026-06-23,2026-07-02,2026-07-07,,✅,62.70,59.40,-5.62
3090,日電貿,大,2026,2026-06-23,2026-07-06,2026-07-09,✅,✅,340.00,286.50,-16.09
1714,和桐,中,2026,2026-06-22,2026-07-01,2026-07-06,✅,✅,19.30,20.90,7.93
2455,全新,大,2026,2026-06-22,2026-07-01,2026-07-06,✅,✅,358.50,338.00,-6.08
2478,大毅,中,2026,2026-06-22,2026-07-01,2026-07-06,✅,✅,225.50,215.00,-5.01
3532,台勝科,大,2026,2026-06-22,2026-07-01,2026-07-06,✅,🔒 買進日漲停買不到,400.00,406.00,
6488,環球晶,大,2026,2026-06-22,2026-07-01,2026-07-06,✅,🔒 買進日漲停買不到,1105.00,1335.00,
3026,禾伸堂,大,2026,2026-06-18,2026-06-30,2026-07-03,✅,🔒 買進日漲停買不到,842.00,988.00,
4556,旭然,小,2026,2026-06-18,2026-06-30,2026-07-03,,✅,72.60,88.60,21.68
7828,創新服務,大,2026,2026-06-18,2026-06-30,2026-07-03,✅,✅,2015.00,2200.00,8.82
8027,鈦昇,中,2026,2026-06-18,2026-06-30,2026-07-03,✅,🔒 買進日漲停買不到,216.50,249.00,
8042,金山電,中,2026,2026-06-18,2026-06-30,2026-07-03,✅,🔒 買進日漲停買不到,185.50,210.50,
3167,大量,大,2026,2026-06-17,2026-06-29,2026-07-02,,✅,774.00,798.00,2.74
6173,信昌電,大,2026,2026-06-17,2026-06-29,2026-07-02,,✅,282.50,319.00,12.56
8021,尖點,大,2026,2026-06-16,2026-06-26,2026-07-01,,✅,535.00,561.00,4.50
4542,科嶠,中,2026,2026-06-12,2026-06-24,2026-06-29,,✅,390.00,409.00,4.51
5321,美而快,小,2026,2026-06-12,2026-06-24,2026-06-29,,🔒 買進日漲停買不到,52.60,69.80,
6890,來億-KY,大,2026,2026-06-12,2026-06-24,2026-06-29,✅,✅,240.50,201.50,-16.57
3147,大綜,中,2026,2026-06-11,2026-06-23,2026-06-26,,✅,326.00,310.50,-5.11
8454,富邦媒,大,2026,2026-06-10,2026-06-22,2026-06-25,✅,✅,335.00,338.50,0.69
8291,尚茂,小,2026,2026-06-09,2026-06-18,2026-06-24,,🔒 買進日漲停買不到,47.40,47.50,
3523,迎輝,小,2026,2026-06-05,2026-06-16,2026-06-22,✅,✅,16.00,18.20,13.39
8358,金居,大,2026,2026-06-05,2026-06-16,2026-06-22,,✅,632.00,691.00,8.98
1568,倉佑,小,2026,2026-06-04,2026-06-15,2026-06-18,✅,✅,42.60,46.05,7.74
2492,華新科,大,2026,2026-06-04,2026-06-15,2026-06-18,✅,🔒 買進日漲停買不到,449.50,561.00,
3021,鴻名,小,2026,2026-06-04,2026-06-15,2026-06-18,✅,✅,31.25,31.00,-1.16
6116,彩晶,大,2026,2026-06-04,2026-06-15,2026-06-18,✅,✅,16.50,18.80,13.58
7610,聯友金屬-創,大,2026,2026-06-04,2026-06-15,2026-06-18,✅,🔒 買進日漲停買不到,1745.00,2315.00,
2061,風青,小,2026,2026-06-02,2026-06-11,2026-06-16,✅,✅,32.95,43.70,32.27
5321,美而快,小,2026,2026-06-02,2026-06-11,2026-06-16,✅,✅,37.00,36.50,-1.71
6182,合晶,大,2026,2026-06-02,2026-06-11,2026-06-16,✅,✅,80.90,107.00,31.91
2492,華新科,大,2026,2026-06-01,2026-06-10,2026-06-15,,✅,407.50,449.50,9.95
6449,鈺邦,中,2026,2026-06-01,2026-06-10,2026-06-15,✅,✅,368.00,463.00,25.46
6488,環球晶,大,2026,2026-06-01,2026-06-10,2026-06-15,✅,✅,775.00,950.00,22.22
3026,禾伸堂,大,2026,2026-05-29,2026-06-09,2026-06-12,,🔒 買進日漲停買不到,661.00,764.00,
3532,台勝科,大,2026,2026-05-29,2026-06-09,2026-06-12,✅,✅,284.50,326.50,14.41
6405,悅城,小,2026,2026-05-29,2026-06-09,2026-06-12,✅,✅,72.10,69.30,-4.24
2911,麗嬰房,小,2026,2026-05-28,2026-06-08,2026-06-11,✅,✅,8.51,8.22,-3.76
4919,新唐,大,2026,2026-05-28,2026-06-08,2026-06-11,✅,✅,160.50,172.50,7.12
5321,美而快,小,2026,2026-05-28,2026-06-08,2026-06-11,✅,✅,41.00,37.00,-10.11
6173,信昌電,中,2026,2026-05-28,2026-06-08,2026-06-11,✅,✅,209.50,251.50,19.69
6182,合晶,大,2026,2026-05-28,2026-06-08,2026-06-11,✅,✅,80.00,80.90,0.77
6834,天二科技,小,2026,2026-05-28,2026-06-08,2026-06-11,✅,✅,68.20,76.50,11.81
8042,金山電,中,2026,2026-05-28,2026-06-08,2026-06-11,✅,✅,132.00,155.00,17.07
8291,尚茂,小,2026,2026-05-28,2026-06-08,2026-06-11,,✅,63.90,46.75,-27.20
2455,全新,大,2026,2026-05-27,2026-06-05,2026-06-10,✅,✅,399.00,355.50,-11.26
2492,華新科,大,2026,2026-05-27,2026-06-05,2026-06-10,,✅,416.00,407.50,-2.40
3090,日電貿,大,2026,2026-05-27,2026-06-05,2026-06-10,✅,✅,221.00,212.00,-4.43
3026,禾伸堂,大,2026,2026-05-26,2026-06-04,2026-06-09,,✅,622.00,661.00,5.91
3167,大量,大,2026,2026-05-26,2026-06-04,2026-06-09,✅,✅,901.00,951.00,5.19
8021,尖點,大,2026,2026-05-26,2026-06-04,2026-06-09,✅,✅,441.00,506.00,14.38
7610,聯友金屬-創,大,2026,2026-05-25,2026-06-03,2026-06-08,,✅,1660.00,1780.00,6.87
8027,鈦昇,中,2026,2026-05-25,2026-06-03,2026-06-08,,✅,291.00,264.00,-9.64
8291,尚茂,小,2026,2026-05-25,2026-06-03,2026-06-08,,✅,87.50,63.90,-27.33
6449,鈺邦,中,2026,2026-05-22,2026-06-02,2026-06-05,,✅,372.00,371.00,-0.63
8291,尚茂,小,2026,2026-05-20,2026-05-29,2026-06-03,,✅,120.00,87.50,-27.44
5228,鈺鎧,小,2026,2026-05-18,2026-05-27,2026-06-01,,✅,57.50,64.70,12.16
6829,千附精密,中,2026,2026-05-18,2026-05-27,2026-06-01,✅,✅,211.00,245.50,15.99
8444,綠河-KY,小,2026,2026-05-18,2026-05-27,2026-06-01,,✅,6.15,5.00,-19.06
3026,禾伸堂,大,2026,2026-05-15,2026-05-26,2026-05-29,,✅,570.00,641.00,12.10
6173,信昌電,中,2026,2026-05-15,2026-05-26,2026-05-29,✅,✅,224.00,237.00,5.45
8358,金居,大,2026,2026-05-15,2026-05-26,2026-05-29,,✅,533.00,608.00,13.71
5464,霖宏,小,2026,2026-05-14,2026-05-25,2026-05-28,✅,✅,73.00,75.50,3.07
8042,金山電,中,2026,2026-05-14,2026-05-25,2026-05-28,,🔒 買進日漲停買不到,135.00,151.50,
3664,安瑞-KY,小,2026,2026-05-13,2026-05-22,2026-05-27,,✅,9.15,7.67,-16.53
4979,華星光,大,2026,2026-05-13,2026-05-22,2026-05-27,✅,✅,630.00,628.00,-0.67
3016,嘉晶,中,2026,2026-05-12,2026-05-21,2026-05-26,✅,🔒 買進日漲停買不到,115.50,126.00,
3026,禾伸堂,大,2026,2026-05-12,2026-05-21,2026-05-26,,🔒 買進日漲停買不到,433.50,570.00,
6173,信昌電,中,2026,2026-05-12,2026-05-21,2026-05-26,,🔒 買進日漲停買不到,175.00,224.00,
3532,台勝科,大,2026,2026-05-11,2026-05-20,2026-05-25,✅,✅,205.50,273.00,32.49
4991,環宇-KY,大,2026,2026-05-11,2026-05-20,2026-05-25,,✅,700.00,840.00,19.64
6274,台燿,大,2026,2026-05-11,2026-05-20,2026-05-25,✅,✅,1205.00,1600.00,32.42
6405,悅城,小,2026,2026-05-11,2026-05-20,2026-05-25,✅,✅,53.50,69.00,28.61
2426,鼎元,中,2026,2026-05-08,2026-05-19,2026-05-22,✅,✅,64.80,83.20,28.04
3455,由田,中,2026,2026-05-08,2026-05-19,2026-05-22,✅,✅,273.50,293.00,6.77
3581,博磊,中,2026,2026-05-08,2026-05-19,2026-05-22,✅,✅,214.00,248.00,15.53
4951,精拓科,小,2026,2026-05-08,2026-05-19,2026-05-22,✅,✅,117.00,140.00,19.30
5386,青雲,中,2026,2026-05-08,2026-05-19,2026-05-22,✅,✅,420.00,497.00,17.98
6861,睿生光電,中,2026,2026-05-08,2026-05-19,2026-05-22,,✅,409.50,449.00,9.29
2486,一詮,大,2026,2026-05-07,2026-05-18,2026-05-21,✅,✅,253.00,278.50,9.72
3163,波若威,大,2026,2026-05-07,2026-05-18,2026-05-21,✅,✅,900.00,1045.00,15.75
4542,科嶠,小,2026,2026-05-07,2026-05-18,2026-05-21,✅,✅,215.00,259.50,20.34
4764,雙鍵,中,2026,2026-05-07,2026-05-18,2026-05-21,✅,✅,300.00,320.00,6.31
4908,前鼎,中,2026,2026-05-07,2026-05-18,2026-05-21,✅,✅,235.00,243.00,3.05
6683,雍智科技,大,2026,2026-05-07,2026-05-18,2026-05-21,✅,✅,1800.00,1685.00,-6.75
2455,全新,大,2026,2026-05-06,2026-05-15,2026-05-20,✅,✅,358.50,400.50,11.36
3167,大量,大,2026,2026-05-05,2026-05-14,2026-05-19,✅,✅,765.00,784.00,2.13
6658,聯策,小,2026,2026-05-05,2026-05-14,2026-05-19,,✅,193.00,183.00,-5.54
6861,睿生光電,中,2026,2026-05-05,2026-05-14,2026-05-19,,✅,450.00,409.50,-9.36
6735,美達科技,小,2026,2026-04-30,2026-05-12,2026-05-15,✅,✅,135.50,124.00,-8.84
6861,睿生光電,中,2026,2026-04-29,2026-05-11,2026-05-14,,✅,389.00,450.00,15.32
7711,永擎,中,2026,2026-04-29,2026-05-11,2026-05-14,,✅,420.50,400.00,-5.23
7751,竑騰,大,2026,2026-04-29,2026-05-11,2026-05-14,✅,✅,1750.00,1550.00,-11.79
7734,印能科技,大,2026,2026-04-28,2026-05-08,2026-05-13,,✅,3630.00,4375.00,20.17
3581,博磊,小,2026,2026-04-27,2026-05-07,2026-05-12,,✅,225.50,234.00,3.41
4971,IET-KY,中,2026,2026-04-27,2026-05-07,2026-05-12,,✅,750.00,795.00,5.64
6217,中探針,中,2026,2026-04-27,2026-05-07,2026-05-12,✅,✅,280.00,310.00,10.36
8021,尖點,大,2026,2026-04-27,2026-05-07,2026-05-12,✅,✅,425.50,471.50,10.45
1711,永光,中,2026,2026-04-24,2026-05-06,2026-05-11,,✅,60.90,54.20,-11.36
3229,晟鈦,小,2026,2026-04-24,2026-05-06,2026-05-11,,✅,42.70,44.80,4.56
3363,上詮,大,2026,2026-04-24,2026-05-06,2026-05-11,✅,✅,815.00,853.00,4.31
8271,宇瞻,中,2026,2026-04-24,2026-05-06,2026-05-11,,✅,243.00,256.00,4.99
3339,泰谷,小,2026,2026-04-23,2026-05-05,2026-05-08,✅,✅,59.80,58.80,-2.03
4960,誠美材,中,2026,2026-04-23,2026-05-05,2026-05-08,✅,✅,42.60,39.35,-7.99
6829,千附精密,中,2026,2026-04-23,2026-05-05,2026-05-08,✅,✅,273.00,250.50,-8.60
3581,博磊,小,2026,2026-04-22,2026-05-04,2026-05-07,,🔒 買進日漲停買不到,197.00,225.50,
6141,柏承,小,2026,2026-04-22,2026-05-04,2026-05-07,✅,✅,35.00,36.50,3.93
3042,晶技,大,2026,2026-04-21,2026-04-30,2026-05-06,✅,✅,153.00,150.50,-1.99
3555,博士旺,小,2026,2026-04-21,2026-04-30,2026-05-06,✅,✅,248.00,249.50,0.25
4764,雙鍵,中,2026,2026-04-21,2026-04-30,2026-05-06,✅,✅,258.00,342.00,32.20
4908,前鼎,中,2026,2026-04-21,2026-04-30,2026-05-06,✅,✅,214.00,246.50,14.83
4979,華星光,大,2026,2026-04-21,2026-04-30,2026-05-06,✅,✅,609.00,703.00,15.08
5340,建榮,中,2026,2026-04-21,2026-04-30,2026-05-06,✅,✅,115.00,118.50,2.69
4960,誠美材,中,2026,2026-04-20,2026-04-29,2026-05-05,,✅,38.50,42.60,10.29
6451,訊芯-KY,大,2026,2026-04-20,2026-04-29,2026-05-05,✅,✅,397.50,521.00,30.71
7610,聯友金屬-創,中,2026,2026-04-20,2026-04-29,2026-05-05,✅,✅,638.00,729.00,13.91
3167,大量,大,2026,2026-04-16,2026-04-27,2026-04-30,✅,✅,675.00,861.00,27.20
2426,鼎元,中,2026,2026-04-15,2026-04-24,2026-04-29,✅,✅,47.70,59.50,24.38
2467,志聖,大,2026,2026-04-15,2026-04-24,2026-04-29,,✅,538.00,554.00,2.62
