起始日,出關日,處置次別,代號,名稱,規模,Dn組別,近20日漲幅,大戶(%),買進日,買進時累積(%),觸發方式,最深日,期間最深(%),出關報酬(%),結果,T+1收盤(%),T+2收盤(%),T+3收盤(%),T+4收盤(%),T+5收盤(%),T+6收盤(%),T+7收盤(%),T+8收盤(%),T+9收盤(%),T+10收盤(%),D1%,D2%,D3%,D4%,D5%,LowD1%,LowD2%,LowD3%,LowD4%,LowD5%,出關開盤(相對D0)%,買進日(-5%版),買進時累積(-5%版)(%),出關報酬(-5%版)(%),結果(-5%版)
2026-08-31,2026-09-07,第二次+,3163,波若威,大,Dn無資料,38.60,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,-,,,-
2026-08-31,2026-09-07,第一次,3441,聯一光,小,Dn無資料,54.76,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,-,,,-
2026-08-31,2026-09-07,第一次,4188,安克,小,Dn無資料,70.90,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,-,,,-
2026-08-31,2026-09-07,第一次,6103,合邦,小,Dn無資料,65.49,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,-,,,-
2026-08-28,2026-09-04,第二次+,4979,華星光,大,Dn無資料,78.07,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,-,,,-
2026-08-27,2026-09-03,第一次,2486,一詮,大,Dn無資料,42.28,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,-,,,-
2026-08-27,2026-09-03,第二次+,3362,先進光,中,Dn無資料,16.43,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,-,,,-
2026-08-26,2026-09-02,第一次,3234,光環,中,Dn -5%~0%,82.68,,-,,,D3,-0.55,,-,,,,,,,,,,,-1.10,-1.37,-0.55,,,-4.66,-2.19,,,,,-,,,-
2026-08-25,2026-09-01,第一次,4304,勝昱,小,Dn < -5%,56.76,,D1,-5.63,,D4,-7.69,,-,,,,,,,,,,,-5.63,-1.31,-7.50,-7.69,,-9.94,-1.50,-8.44,,,,D3,-7.50,,-
2026-08-25,2026-09-01,第二次+,4971,IET-KY,中,Dn ≥ 0%,22.40,,-,,,D3,6.98,,-,,,,,,,,,,,4.53,4.15,6.98,7.17,,-5.28,1.51,0.19,,,,-,,,-
2026-08-24,2026-08-31,第二次+,2455,全新,大,Dn ≥ 0%,21.92,,-,,,D3,5.42,,-,,,,,,,,,,,-6.03,3.33,5.42,6.65,6.90,-6.03,-7.76,2.22,5.05,,,-,,,-
2026-08-24,2026-08-31,第二次+,3498,陽程,中,Dn -5%~0%,72.20,,-,,,D5,-1.30,,-,,,,,,,,,,,-3.65,4.17,5.99,5.99,-1.30,-6.25,-5.99,1.82,3.65,,,-,,,-
2026-08-24,2026-08-31,第一次,5321,美而快,小,Dn ≥ 0%,23.77,,-,,,D3,11.25,,-,,,,,,,,,,,7.68,11.11,11.25,16.60,16.60,-2.33,7.96,9.05,11.80,,,-,,,-
2026-08-20,2026-08-27,第一次,3490,單井,小,Dn ≥ 0%,69.26,,-,,,D3,6.20,,-,,,,,,,,,,,5.02,15.17,6.20,16.67,14.53,0.75,7.05,5.88,6.84,12.82,8.12,-,,,-
