signal_date,exit_date,stock_id,stock_name,entry_price,signal_day_ret_pct,signal_vol_ratio,signal_amount_wan,exit_open,exit_open_ret_pct,exit_close,exit_close_ret_pct,exit_vol_ratio,exit_vol_wan,ret_bps,ret_pct,net_ret_pct
2023-02-10,2023-02-13,9938,百和,64.2,6.47,3.75,47166.0,65.4,1.87,63.0,-1.87,3.31,0.8,186.9,1.87,1.51
2023-02-10,2023-02-13,5222,全訊,146.0,5.42,5.32,45771.0,149.5,2.4,143.5,-1.71,4.77,0.4,239.7,2.4,2.04
2023-02-13,2023-02-14,6541,泰福-KY,48.0,9.71,3.19,22387.0,47.95,-0.1,48.5,1.04,2.96,0.5,-10.4,-0.1,-0.46
2023-02-13,2023-02-14,6290,良維,63.8,6.51,7.68,87264.0,65.3,2.35,66.1,3.61,6.93,1.9,235.1,2.35,1.99
2023-02-14,2023-02-15,4953,緯致,102.0,9.68,8.32,32938.0,102.0,0.0,95.4,-6.47,7.74,0.5,0.0,0.0,-0.36
2023-02-14,2023-02-15,1268,漢來美食,147.0,8.09,4.97,19932.0,149.5,1.7,143.5,-2.38,3.1,0.1,170.1,1.7,1.34
2023-02-15,2023-02-16,5706,鳳凰,68.8,6.83,9.83,155207.0,70.0,1.74,71.8,4.36,6.3,2.1,174.4,1.74,1.39
2023-02-15,2023-02-16,2727,王品,230.5,6.47,3.15,240752.0,228.0,-1.08,234.0,1.52,1.27,0.5,-108.5,-1.08,-1.44
2023-02-16,2023-02-17,3152,璟德,236.0,7.27,3.01,15627.0,234.5,-0.64,230.0,-2.54,2.22,0.1,-63.6,-0.64,-0.99
2023-02-16,2023-02-17,2731,雄獅,137.0,6.61,8.27,514270.0,137.0,0.0,134.5,-1.82,2.25,1.1,0.0,0.0,-0.36
2023-02-17,2023-02-20,6715,嘉基,141.0,9.73,6.82,31406.0,144.0,2.13,147.0,4.26,7.88,0.4,212.8,2.13,1.77
2023-02-17,2023-02-20,3617,碩天,128.0,7.11,4.17,61964.0,128.5,0.39,127.0,-0.78,2.43,0.3,39.1,0.39,0.03
2023-02-20,2023-02-21,6205,詮欣,93.6,9.47,3.71,116068.0,94.0,0.43,98.6,5.34,3.0,1.2,42.7,0.43,0.07
2023-02-20,2023-02-21,2208,台船,23.25,8.14,4.56,51540.0,23.5,1.08,23.9,2.8,4.83,3.1,107.5,1.08,0.72
2023-02-21,2023-02-22,4119,旭富,114.5,9.57,6.22,39828.0,113.5,-0.87,111.5,-2.62,3.32,0.2,-87.3,-0.87,-1.23
2023-02-21,2023-02-22,8016,矽創,243.0,7.52,2.86,192678.0,240.0,-1.23,233.0,-4.12,1.53,0.5,-123.5,-1.23,-1.59
2023-02-22,2023-02-23,1514,亞力,40.55,9.3,5.77,166661.0,41.0,1.11,40.15,-0.99,3.7,3.2,111.0,1.11,0.75
2023-02-22,2023-02-23,5512,力麒,10.35,8.04,8.68,27702.0,10.95,5.8,11.35,9.66,9.45,5.6,579.7,5.8,5.44
2023-02-23,2023-02-24,5512,力麒,11.35,9.66,9.45,63558.0,11.5,1.32,11.15,-1.76,6.05,5.2,132.2,1.32,0.96
2023-02-23,2023-02-24,5258,虹堡,94.1,9.04,2.92,509381.0,94.2,0.11,91.1,-3.19,1.34,2.7,10.6,0.11,-0.25
2023-02-24,2023-03-01,5289,宜鼎,224.5,9.78,5.28,43886.0,222.0,-1.11,217.5,-3.12,2.95,0.1,-111.4,-1.11,-1.47
2023-02-24,2023-03-01,6689,伊雲谷,140.5,9.77,3.27,37826.0,139.0,-1.07,151.0,7.47,3.17,0.3,-106.8,-1.07,-1.42
2023-03-01,2023-03-02,6139,亞翔,43.85,8.27,3.85,26444.0,44.5,1.48,45.95,4.79,4.67,0.9,148.2,1.48,1.13
2023-03-01,2023-03-02,6689,伊雲谷,151.0,7.47,3.17,42034.0,148.0,-1.99,146.5,-2.98,1.64,0.2,-198.7,-1.99,-2.34
2023-03-02,2023-03-03,4572,駐龍,145.0,7.01,2.94,19042.0,146.0,0.69,153.0,5.52,4.06,0.2,69.0,0.69,0.33
2023-03-02,2023-03-03,1762,中化生,72.1,6.81,3.44,36297.0,73.5,1.94,73.0,1.25,3.27,0.6,194.2,1.94,1.58
2023-03-03,2023-03-06,4953,緯致,114.0,9.62,3.05,51838.0,118.0,3.51,113.0,-0.88,3.11,0.6,350.9,3.51,3.15
2023-03-03,2023-03-06,6576,逸達,119.0,7.69,4.36,39105.0,118.5,-0.42,119.5,0.42,2.21,0.2,-42.0,-0.42,-0.78
