代號,名稱,規模,處置原因,近20日漲幅,大戶(%),起始日,今D幾,出關日,D1%,D2%,D3%,D4%,D5%,D6%,D7%,D8%,今日漲跌,評級,處置次別,買進訊號,當前累積(%),目前損益(%),觸發價,距觸發(%)
2305,全友,中,漲多處置,104.52,,09/18,未開始,10/01,,,,,,,,,9.92,"🆕 新制觀察中(第一次,對照舊5分)",第一次,,,,51.60,-4.97
3441,聯一光,小,漲多處置,97.84,,09/18,未開始,10/01,,,,,,,,,3.49,"🆕 新制觀察中(第二次+,對照舊20分)",第二次+,,,,183.00,-4.94
3467,台灣精材,小,漲多處置,60.66,,09/18,未開始,09/25,,,,,,,,,2.65,"🆕 新制觀察中(第一次,對照舊5分)",第一次,,,,69.80,-5.03
8227,巨有科技,中,漲多處置,75.51,,09/18,未開始,09/25,,,,,,,,,-5.15,"🆕 新制觀察中(第二次+,對照舊20分)",第二次+,,,,245.00,-5.04
8358,金居,大,漲多處置,15.72,,09/18,未開始,09/25,,,,,,,,,-6.18,"🆕 新制觀察中(第二次+,對照舊20分)",第二次+,,,,454.50,-5.02
8227,巨有科技,小,漲多處置,55.99,,09/15,D3,09/25,3.53,12.86,7.05,,,,,,-5.15,"🆕 新制觀察中(第一次,對照舊5分)",第一次,,7.05,,229.00,-11.24
8996,高力,大,漲多處置,1.65,,09/15,D3,09/22,-1.21,5.26,5.26,,,,,,0.00,"🆕 新制觀察中(第一次,對照舊5分)",第一次,,5.26,,1175.00,-9.62
3055,蔚華科,中,漲多處置,33.19,,09/14,D4,09/21,3.24,1.94,6.15,4.21,,,,,-1.83,"🆕 新制觀察中(第一次,對照舊5分)",第一次,,4.21,,147.00,-8.70
4979,華星光,大,漲多處置,1.24,,09/11,D5,09/18,-7.01,-4.20,-10.86,-4.20,-2.63,,,,1.65,"🆕 新制觀察中(第二次+,對照舊20分)",第二次+,D3,-2.63,9.23,542.00,-2.52
6538,倉和,中,漲多處置,90.70,,09/11,D5,09/18,8.71,10.04,7.83,12.41,4.28,,,,-7.23,"🆕 新制觀察中(第二次+,對照舊20分)",第二次+,,4.28,,321.50,-8.92
7772,耀穎,小,漲多處置,31.41,,09/11,D5,09/18,7.32,2.44,5.69,8.13,18.70,,,,9.77,"🆕 新制觀察中(第一次,對照舊5分)",第一次,,18.70,,117.00,-19.86
4304,勝昱,小,漲多處置,0.92,,09/10,D6,09/17,9.76,4.88,4.88,-5.49,-12.80,-4.27,,,9.79,"🆕 新制觀察中(第二次+,對照舊20分)",第二次+,D4,-4.27,1.29,15.60,-0.64
6872,浩宇生醫,小,漲多處置,56.19,,09/10,D6,09/17,8.74,1.02,-8.54,-6.91,-6.10,-14.63,,,-9.09,"🆕 新制觀察中(第一次,對照舊5分)",第一次,D3,-14.63,-6.66,23.35,11.19
6538,倉和,中,漲多處置,109.62,,09/08,D8,09/18,5.25,14.43,10.98,20.66,22.13,19.67,24.75,15.74,-7.23,"🆕 新制觀察中(第一次,對照舊5分)",第一次,,15.74,,290.00,-17.85
