代號,名稱,規模,訊號,條款,前日漲幅(%),D1跳空(%),起始日,今D幾,出關日,進場價(D1收),目前損益(%),今日漲跌
8383,千附,小,🟢 買進（D1收盤）,連續3日,2.18,-2.92,07/20,D2,08/03,80.20,0.00,-9.89
6907,雅特力-KY,中,🟢 買進（D1收盤）,10日6次,2.80,-5.86,07/17,D3,07/31,236.00,-9.96,-9.96
6174,安碁,小,🟢 買進（D1收盤）,10日6次,5.70,-1.96,07/09,D8,07/24,57.70,-15.60,-9.65
3055,蔚華科,中,❌ D1開高，不買,10日6次,8.93,6.89,07/06,D10,07/21,160.50,0.62,-0.92
7795,長廣,大,❌ D1開高，不買,10日6次,2.45,1.44,07/06,D10,07/21,666.00,-31.46,-9.96
4139,馬光-KY,小,—,連續3日,-1.32,,07/21,D1,08/04,,,-1.32
7714,創泓科技,小,—,連續3日,-2.89,-8.19,07/17,D3,07/31,181.50,0.83,0.83
2434,統懋,小,—,10日6次,9.96,9.99,07/15,D5,07/29,82.60,-10.77,-9.90
4169,泰宗,中,—,連續3日,-3.23,0.00,07/10,D7,07/27,243.00,4.94,1.19
8261,富鼎,中,—,連續3日+當沖,1.75,-3.30,07/09,D8,07/28,325.00,-29.54,-8.76
2466,冠西電,中,—,連續3日,-2.32,0.11,07/08,D9,07/23,96.90,22.81,-2.46
6617,共信-KY,中,—,連續3日,9.85,-1.79,07/08,D9,07/23,117.50,-14.89,-5.21
1515,力山,小,—,連續3日,1.79,-2.69,07/07,D10,07/22,38.75,13.55,7.45
1447,力鵬,小,—,10日6次,9.90,7.61,07/06,D10,07/21,9.51,-18.51,-5.02
1617,榮星,小,—,10日6次,9.87,10.00,07/06,D10,07/21,26.70,-27.34,-9.98
6217,中探針,中,—,10日6次,1.51,0.00,07/06,D10,07/21,256.00,-30.86,-9.92
