代號,名稱,規模,訊號,買進日,賣出日(出關),深跌單,進場價,目前損益(%),今日漲跌
1718,中纖,中,🟢 今日收盤買進,07/16,07/21,✅,,,-1.68
3189,景碩,大,🔵 持有中,07/14,07/17,✅,805.00,-4.35,-8.88
6226,光鼎,小,🔵 持有中,07/14,07/17,✅,25.85,-3.09,-9.89
8021,尖點,大,🔵 持有中,07/14,07/17,✅,487.50,3.59,-5.08
3230,錦明,小,🔵 持有中,07/15,07/20,,54.00,-6.48,-6.48
3055,蔚華科,中,🟡 等待（剩 2 個交易日）,07/20,07/23,,,,-6.74
4707,磐亞,中,🟡 等待（剩 2 個交易日）,07/20,07/23,,,,7.27
8027,鈦昇,中,🟡 等待（剩 5 個交易日）,07/23,07/28,,,,-2.05
4542,科嶠,中,🟡 等待（剩 6 個交易日）,07/24,07/29,,,,-2.28
4556,旭然,小,🟡 等待（剩 6 個交易日）,07/24,07/29,,,,-8.27
8096,擎亞,中,🟡 等待（剩 7 個交易日）,07/27,07/30,,,,-2.74
