date,gap_pct,high_open_pct,day_return,walked_lower,f_vol,f_foreign,f_rise,f_fut_short,score_3,score_4,tx_oi,ratio_910,n_foreign_down
2024-06-26,0.002736,0.005936,0.002098,0,0,0,0,1,0,1,-23113.000000,1.006312,1
2024-07-03,0.005702,0.007067,0.007067,0,0,0,0,1,0,1,-24975.000000,1.052382,0
2024-07-04,0.008133,0.009030,0.006920,0,1,0,0,1,1,2,-25460.000000,1.283175,0
2024-07-11,0.009787,0.007204,0.006105,0,1,0,0,1,1,2,-33628.000000,1.329292,0
2024-07-23,0.011581,0.015860,0.015860,0,0,0,0,1,0,1,-40239.000000,0.901531,0
2024-07-29,0.009140,0.006721,-0.007028,1,0,0,0,1,0,1,-37411.000000,0.943844,0
2024-08-07,0.006695,0.032365,0.031834,0,0,1,0,1,1,2,-35525.000000,0.844157,2
2024-08-12,0.006052,0.013846,0.008071,0,0,0,0,1,0,1,-32006.000000,1.059303,0
2024-08-13,0.001966,0.002318,-0.000894,1,1,0,1,1,2,3,-34712.000000,1.266499,0
2024-08-14,0.007132,0.009259,0.003427,0,1,0,0,1,1,2,-35894.000000,1.600545,0
2024-08-16,0.010027,0.011767,0.010609,0,1,0,0,1,1,2,-33152.000000,1.629802,0
2024-08-20,0.002429,0.003642,-0.001557,1,0,0,0,1,0,1,-34655.000000,0.273157,0
2024-08-26,0.004172,0.008942,-0.000466,1,1,0,0,1,1,2,-34860.000000,1.549881,1
2024-08-28,0.001153,0.007208,0.007208,0,0,0,0,1,0,1,-37502.000000,1.134421,1
2024-08-30,0.001271,0.005046,0.001710,0,0,0,0,1,0,1,-36971.000000,1.065841,1
2024-09-02,0.003315,0.004360,-0.004780,1,0,0,0,1,0,1,-39554.000000,0.806659,0
2024-09-05,0.008455,0.010235,-0.003920,1,0,1,0,1,1,2,-30917.000000,0.765352,2
2024-09-06,0.003197,0.009704,0.008456,0,0,0,0,1,0,1,-25669.000000,1.037944,0
2024-09-10,0.005114,0.003381,-0.008869,1,0,0,0,1,0,1,-28097.000000,1.102754,0
2024-09-11,0.001192,0.002128,-0.002759,1,0,0,1,1,1,2,-26965.000000,0.745916,1
2024-09-13,0.004670,0.001932,0.000243,0,0,0,1,1,1,2,-30370.000000,0.973438,1
2024-09-16,0.001854,0.002511,0.002297,0,0,0,1,1,1,2,-31780.000000,1.034385,0
2024-09-20,0.009234,0.004868,-0.003903,1,1,0,0,1,1,2,-30264.000000,1.562455,0
2024-09-25,0.006130,0.009572,0.008521,0,1,0,0,1,1,2,-31749.000000,1.578588,0
2024-09-26,0.003507,0.005269,0.000761,0,0,0,0,1,0,1,-34290.000000,1.185851,0
