strategy,base_concentration_band,relative_change_band,events,signal_dates,mean_20d_pct,mean_net_20d_pct,median_20d_pct,win_rate_20d_pct,mean_60d_pct,mean_net_60d_pct,median_60d_pct,win_rate_60d_pct,mean_120d_pct,mean_net_120d_pct,median_120d_pct,win_rate_120d_pct
breakout_20d,<40%,<-5%,447,247,0.07,-0.53,-1.635,40.807,2.489,1.889,-2.804,43.848,6.509,5.909,-4.122,44.072
breakout_20d,<40%,-5~-1%,661,291,0.098,-0.502,-1.78,43.57,3.628,3.028,-0.557,47.352,9.383,8.783,0.373,50.681
breakout_20d,<40%,-1~0%,390,231,0.809,0.209,-1.271,44.103,4.518,3.918,-2.024,44.872,10.676,10.076,-0.147,49.487
breakout_20d,<40%,0~1%,686,310,1.118,0.518,-1.083,43.878,5.665,5.065,-0.571,47.959,11.567,10.967,0.687,50.729
breakout_20d,<40%,1~5%,992,346,0.518,-0.082,-1.345,42.785,4.404,3.804,-0.489,48.133,11.07,10.47,1.117,52.419
breakout_20d,<40%,5~10%,480,255,1.253,0.653,-2.102,42.917,3.931,3.331,-2.058,45.625,8.211,7.611,-1.164,48.75
breakout_20d,<40%,>=10%,441,244,0.981,0.381,-1.929,43.764,5.743,5.143,0.422,50.794,14.651,14.051,1.519,52.834
breakout_20d,40~60%,<-5%,271,177,1.241,0.641,-0.647,47.232,6.149,5.549,-2.356,45.387,8.783,8.183,-2.968,45.018
breakout_20d,40~60%,-5~-1%,991,343,0.79,0.19,-1.302,44.343,3.052,2.452,-1.727,46.263,7.414,6.814,-1.499,47.528
breakout_20d,40~60%,-1~0%,857,338,1.22,0.62,-0.355,47.841,2.035,1.435,-1.325,46.791,6.593,5.993,-0.641,48.775
breakout_20d,40~60%,0~1%,1151,369,0.78,0.18,-1.355,44.57,3.246,2.646,-1.848,45.96,7.967,7.367,-1.533,46.742
breakout_20d,40~60%,1~5%,1492,385,0.973,0.373,-0.859,45.339,4.858,4.258,-0.486,48.29,8.731,8.131,-0.993,47.788
breakout_20d,40~60%,5~10%,376,228,0.836,0.236,-1.909,43.351,6.972,6.372,-1.264,48.404,14.664,14.064,-2.122,47.074
breakout_20d,40~60%,>=10%,121,96,1.502,0.902,-0.957,45.455,1.14,0.54,-1.688,43.333,9.137,8.537,0.993,52.066
breakout_20d,60~80%,<-5%,89,79,3.972,3.372,1.377,55.056,8.126,7.526,-2.492,48.315,11.868,11.268,-5.128,43.82
breakout_20d,60~80%,-5~-1%,775,332,0.596,-0.004,-0.8,46.253,4.418,3.818,-0.452,48.129,11.018,10.418,1.147,52.645
breakout_20d,60~80%,-1~0%,1399,385,0.535,-0.065,-0.465,46.743,1.823,1.223,-0.839,47.888,5.616,5.016,0.625,50.822
breakout_20d,60~80%,0~1%,1799,413,0.652,0.052,-0.51,46.693,3.525,2.925,0.867,52.084,8.139,7.539,2.0,54.419
breakout_20d,60~80%,1~5%,1379,388,1.118,0.518,-0.851,45.323,3.837,3.237,-0.391,48.949,7.738,7.138,1.348,51.994
breakout_20d,60~80%,5~10%,137,105,1.75,1.15,-0.573,48.905,9.823,9.223,0.628,51.095,19.018,18.418,1.741,51.825
breakout_20d,60~80%,>=10%,21,20,4.813,4.213,4.516,61.905,14.619,14.019,8.644,71.429,41.876,41.276,3.871,66.667
breakout_20d,>=80%,<-5%,11,11,0.939,0.339,-4.887,36.364,2.253,1.653,-8.175,27.273,4.787,4.187,-6.27,45.455
breakout_20d,>=80%,-5~-1%,111,91,1.993,1.393,0.0,47.748,6.213,5.613,1.406,54.054,15.176,14.576,1.409,52.252
breakout_20d,>=80%,-1~0%,610,292,0.027,-0.573,-0.756,45.574,2.326,1.726,0.574,52.131,6.834,6.234,2.352,55.738
breakout_20d,>=80%,0~1%,1057,356,0.948,0.348,-0.115,48.534,3.692,3.092,1.422,54.115,7.02,6.42,2.188,55.913
breakout_20d,>=80%,1~5%,197,142,2.365,1.765,0.0,49.239,9.932,9.332,0.0,49.746,14.443,13.843,2.985,53.299
breakout_20d,>=80%,5~10%,5,5,3.79,3.19,-3.825,40.0,16.074,15.474,16.331,60.0,7.969,7.369,0.794,60.0
breakout_60d,<40%,<-5%,235,165,-0.88,-1.48,-2.891,36.325,2.128,1.528,-3.006,42.979,6.234,5.634,-5.305,41.277
breakout_60d,<40%,-5~-1%,306,187,0.265,-0.335,-2.417,44.118,6.114,5.514,-0.652,47.059,11.458,10.858,1.391,52.614
breakout_60d,<40%,-1~0%,184,136,0.697,0.097,-0.452,46.196,6.744,6.144,-0.741,48.913,15.393,14.793,1.991,54.891
breakout_60d,<40%,0~1%,354,227,1.254,0.654,-1.736,42.938,6.756,6.156,-0.816,47.175,13.851,13.251,0.792,50.847
breakout_60d,<40%,1~5%,556,264,0.888,0.288,-1.297,43.165,6.762,6.162,0.2,50.09,13.888,13.288,4.141,56.655
breakout_60d,<40%,5~10%,332,215,0.631,0.031,-2.292,43.373,3.384,2.784,-1.815,45.482,7.614,7.014,-0.424,49.096
breakout_60d,<40%,>=10%,334,204,1.104,0.504,-2.11,43.413,6.187,5.587,0.357,50.299,14.485,13.885,2.797,54.79
breakout_60d,40~60%,<-5%,154,116,2.047,1.447,-0.677,48.701,8.233,7.633,-2.021,46.104,7.566,6.966,-3.443,43.506
breakout_60d,40~60%,-5~-1%,438,238,1.001,0.401,-1.457,44.165,3.212,2.612,-1.969,45.434,5.808,5.208,-1.703,47.26
breakout_60d,40~60%,-1~0%,421,243,1.584,0.984,-0.943,46.793,2.594,1.994,-0.313,49.169,7.648,7.048,-0.981,48.694
breakout_60d,40~60%,0~1%,608,295,1.551,0.951,-1.362,45.23,4.826,4.226,-1.189,47.368,13.508,12.908,0.165,50.329
breakout_60d,40~60%,1~5%,991,354,0.864,0.264,-1.028,44.343,5.124,4.524,-0.302,48.94,9.105,8.505,-0.322,49.243
breakout_60d,40~60%,5~10%,308,198,0.539,-0.061,-2.398,41.883,7.425,6.825,-1.486,47.727,16.876,16.276,-1.809,47.403
breakout_60d,40~60%,>=10%,110,87,1.473,0.873,-0.819,46.364,0.464,-0.136,-2.197,41.284,9.294,8.694,3.782,54.545
breakout_60d,60~80%,<-5%,55,55,0.923,0.323,-1.69,47.273,7.916,7.316,-4.819,43.636,11.666,11.066,-12.971,32.727
breakout_60d,60~80%,-5~-1%,337,204,0.385,-0.215,-1.313,44.94,5.394,4.794,-0.452,48.961,14.65,14.05,1.438,53.709
breakout_60d,60~80%,-1~0%,660,303,0.22,-0.38,-0.745,44.158,1.978,1.378,-1.269,46.515,6.019,5.419,1.359,52.424
breakout_60d,60~80%,0~1%,1105,359,0.497,-0.103,-0.659,45.882,3.606,3.006,0.741,51.674,9.392,8.792,3.016,57.014
breakout_60d,60~80%,1~5%,1016,355,1.076,0.476,-0.91,45.276,3.965,3.365,-0.352,49.114,8.075,7.475,2.171,52.953
breakout_60d,60~80%,5~10%,123,97,0.929,0.329,-1.003,47.154,10.803,10.203,0.97,51.22,19.55,18.95,-0.11,49.593
breakout_60d,60~80%,>=10%,20,19,3.104,2.504,2.675,60.0,12.881,12.281,8.221,70.0,40.13,39.53,2.867,65.0
breakout_60d,>=80%,<-5%,11,11,0.939,0.339,-4.887,36.364,2.253,1.653,-8.175,27.273,4.787,4.187,-6.27,45.455
breakout_60d,>=80%,-5~-1%,57,50,4.827,4.227,1.869,57.895,13.658,13.058,5.664,61.404,32.245,31.645,12.258,68.421
breakout_60d,>=80%,-1~0%,297,193,-0.846,-1.446,-1.105,45.455,2.496,1.896,1.072,53.872,6.133,5.533,2.985,58.249
breakout_60d,>=80%,0~1%,704,310,0.889,0.289,-0.455,47.301,3.852,3.252,1.283,53.267,7.067,6.467,1.767,55.256
breakout_60d,>=80%,1~5%,169,121,2.943,2.343,0.443,50.888,8.505,7.905,1.688,50.888,12.225,11.625,2.985,53.846
breakout_60d,>=80%,5~10%,5,5,3.79,3.19,-3.825,40.0,16.074,15.474,16.331,60.0,7.969,7.369,0.794,60.0
dip_10_20d_above_ma240,<40%,<-5%,1186,328,1.747,1.147,0.449,51.392,3.453,2.853,-0.104,49.747,6.328,5.728,-1.72,46.88
dip_10_20d_above_ma240,<40%,-5~-1%,692,271,2.192,1.592,0.733,52.89,3.934,3.334,-1.042,46.387,7.21,6.61,-3.397,44.364
dip_10_20d_above_ma240,<40%,-1~0%,374,210,0.965,0.365,-0.298,47.721,2.728,2.128,-2.354,43.316,6.928,6.328,-2.042,44.92
dip_10_20d_above_ma240,<40%,0~1%,654,248,2.74,2.14,0.823,51.988,4.241,3.641,-1.075,47.473,8.399,7.799,-0.678,49.083
dip_10_20d_above_ma240,<40%,1~5%,457,213,3.005,2.405,0.967,53.611,5.677,5.077,0.265,50.328,12.537,11.937,-0.102,49.891
dip_10_20d_above_ma240,<40%,5~10%,263,147,1.472,0.872,-0.303,48.669,4.547,3.947,-1.429,44.867,13.837,13.237,-1.605,47.909
dip_10_20d_above_ma240,<40%,>=10%,183,118,4.396,3.796,1.434,59.016,7.684,7.084,-0.254,49.451,23.848,23.248,2.978,53.552
dip_10_20d_above_ma240,40~60%,<-5%,1069,331,1.845,1.245,0.0,49.953,4.072,3.472,-1.117,47.334,6.685,6.085,-3.837,44.153
dip_10_20d_above_ma240,40~60%,-5~-1%,1377,351,0.897,0.297,-0.261,48.69,3.187,2.587,-1.118,47.311,7.523,6.923,-1.385,47.64
dip_10_20d_above_ma240,40~60%,-1~0%,620,268,2.351,1.751,0.911,53.71,2.129,1.529,-1.068,46.29,4.15,3.55,-3.326,42.742
dip_10_20d_above_ma240,40~60%,0~1%,720,289,1.068,0.468,-0.78,47.083,3.193,2.593,-0.687,47.844,4.088,3.488,-4.246,43.75
dip_10_20d_above_ma240,40~60%,1~5%,563,229,3.11,2.51,1.119,52.847,6.141,5.541,0.911,52.228,8.988,8.388,0.253,50.266
dip_10_20d_above_ma240,40~60%,5~10%,101,80,2.792,2.192,1.529,52.475,1.212,0.612,-1.695,45.545,5.23,4.63,0.476,50.495
dip_10_20d_above_ma240,40~60%,>=10%,35,33,-0.152,-0.752,0.571,51.429,-2.794,-3.394,-2.657,45.714,4.469,3.869,-5.593,40.0
dip_10_20d_above_ma240,60~80%,<-5%,536,243,0.343,-0.257,-1.523,44.403,3.393,2.793,-1.846,46.355,7.389,6.789,-2.983,43.843
dip_10_20d_above_ma240,60~80%,-5~-1%,1716,376,2.348,1.748,0.426,51.224,6.079,5.479,1.486,53.442,11.404,10.804,0.223,50.35
dip_10_20d_above_ma240,60~80%,-1~0%,918,306,1.287,0.687,0.296,50.763,4.904,4.304,-0.674,47.277,9.361,8.761,0.213,50.109
dip_10_20d_above_ma240,60~80%,0~1%,766,275,1.408,0.808,0.518,51.175,3.297,2.697,-1.529,46.797,5.51,4.91,-0.093,49.608
dip_10_20d_above_ma240,60~80%,1~5%,362,183,1.816,1.216,0.921,53.591,4.405,3.805,0.962,52.078,6.628,6.028,1.389,51.657
dip_10_20d_above_ma240,60~80%,5~10%,10,10,-3.399,-3.999,-6.501,30.0,0.57,-0.03,-9.547,40.0,16.184,15.584,-10.948,40.0
dip_10_20d_above_ma240,60~80%,>=10%,4,4,0.79,0.19,-2.938,50.0,8.301,7.701,8.641,75.0,36.595,35.995,54.877,75.0
dip_10_20d_above_ma240,>=80%,<-5%,44,42,-2.329,-2.929,-5.899,29.545,4.285,3.685,-2.894,47.727,15.076,14.476,0.847,52.273
dip_10_20d_above_ma240,>=80%,-5~-1%,430,218,1.456,0.856,0.0,49.535,6.87,6.27,2.376,53.721,16.59,15.99,0.34,50.465
dip_10_20d_above_ma240,>=80%,-1~0%,532,234,2.371,1.771,0.943,53.672,4.417,3.817,1.219,53.195,8.721,8.121,-0.881,47.556
dip_10_20d_above_ma240,>=80%,0~1%,216,138,0.958,0.358,-0.502,45.37,2.866,2.266,-1.781,44.907,8.736,8.136,-4.978,42.593
dip_10_20d_above_ma240,>=80%,1~5%,32,31,6.098,5.498,6.548,65.625,7.158,6.558,3.378,59.375,3.572,2.972,-0.635,46.875
dip_5_10d_above_ma240,<40%,<-5%,1393,388,1.831,1.231,0.0,49.748,5.001,4.401,-0.331,49.425,9.567,8.967,-1.08,48.385
dip_5_10d_above_ma240,<40%,-5~-1%,1044,350,1.048,0.448,-0.444,47.217,3.603,3.003,-1.633,45.254,7.838,7.238,-1.923,46.743
dip_5_10d_above_ma240,<40%,-1~0%,485,263,0.345,-0.255,-0.801,46.186,0.151,-0.449,-3.952,39.669,4.793,4.193,-3.473,42.268
dip_5_10d_above_ma240,<40%,0~1%,782,325,0.929,0.329,-0.783,47.187,1.615,1.015,-2.864,43.095,5.647,5.047,-3.176,44.118
dip_5_10d_above_ma240,<40%,1~5%,714,287,1.891,1.291,0.127,50.14,5.676,5.076,0.515,50.7,10.068,9.468,-0.679,48.319
dip_5_10d_above_ma240,<40%,5~10%,323,201,0.134,-0.466,-0.583,46.44,3.243,2.643,-0.583,48.297,11.226,10.626,0.997,52.941
dip_5_10d_above_ma240,<40%,>=10%,226,166,3.412,2.812,-0.211,48.444,5.079,4.479,-0.31,49.778,7.844,7.244,-3.018,42.035
dip_5_10d_above_ma240,40~60%,<-5%,1037,346,1.13,0.53,-0.824,45.753,2.938,2.338,-2.16,43.491,5.992,5.392,-4.583,40.984
dip_5_10d_above_ma240,40~60%,-5~-1%,2109,400,1.162,0.562,0.0,49.502,3.544,2.944,-0.34,48.577,7.172,6.572,-1.431,47.179
dip_5_10d_above_ma240,40~60%,-1~0%,1069,352,0.945,0.345,0.157,50.655,3.232,2.632,-0.406,49.157,7.704,7.104,-1.032,47.802
dip_5_10d_above_ma240,40~60%,0~1%,1043,353,0.654,0.054,-0.523,46.405,2.496,1.896,-1.634,44.391,4.713,4.113,-3.119,44.487
dip_5_10d_above_ma240,40~60%,1~5%,848,326,1.832,1.232,0.33,50.472,5.03,4.43,-0.634,47.877,7.964,7.364,-0.225,49.175
dip_5_10d_above_ma240,40~60%,5~10%,141,119,0.066,-0.534,-0.567,46.809,2.719,2.119,-0.667,48.227,5.23,4.63,0.041,50.355
dip_5_10d_above_ma240,40~60%,>=10%,35,31,0.308,-0.292,1.253,54.286,0.901,0.301,-4.475,37.143,2.811,2.211,-9.449,34.286
dip_5_10d_above_ma240,60~80%,<-5%,442,238,2.076,1.476,0.0,49.095,4.725,4.125,-0.754,48.19,10.9,10.3,-1.066,48.19
dip_5_10d_above_ma240,60~80%,-5~-1%,2421,421,2.145,1.545,0.906,53.967,4.617,4.017,0.861,52.129,8.763,8.163,1.114,51.879
dip_5_10d_above_ma240,60~80%,-1~0%,1714,401,1.522,0.922,0.855,54.641,4.209,3.609,0.89,53.037,7.707,7.107,1.683,53.909
dip_5_10d_above_ma240,60~80%,0~1%,1359,369,1.249,0.649,0.511,52.097,3.573,2.973,0.284,50.773,5.851,5.251,0.253,50.478
dip_5_10d_above_ma240,60~80%,1~5%,600,285,2.068,1.468,0.782,53.0,3.765,3.165,-0.841,47.913,8.839,8.239,0.447,51.0
dip_5_10d_above_ma240,60~80%,5~10%,29,28,6.302,5.702,0.498,51.724,4.024,3.424,-0.967,48.276,13.368,12.768,-0.332,44.828
dip_5_10d_above_ma240,60~80%,>=10%,3,3,34.332,33.732,39.394,66.667,14.468,13.868,22.857,66.667,30.988,30.388,35.51,66.667
dip_5_10d_above_ma240,>=80%,<-5%,31,30,-2.072,-2.672,-3.943,38.71,0.601,0.001,-3.556,41.935,4.745,4.145,-0.832,45.161
dip_5_10d_above_ma240,>=80%,-5~-1%,540,283,1.166,0.566,0.0,49.259,5.647,5.047,2.147,55.741,13.535,12.935,3.415,55.185
dip_5_10d_above_ma240,>=80%,-1~0%,1294,377,0.941,0.341,0.589,52.473,2.765,2.165,1.136,53.137,6.276,5.676,0.648,51.855
dip_5_10d_above_ma240,>=80%,0~1%,567,269,1.419,0.819,0.823,54.145,4.095,3.495,0.76,52.381,6.265,5.665,1.067,52.734
dip_5_10d_above_ma240,>=80%,1~5%,63,55,-0.236,-0.836,0.493,50.794,1.963,1.363,0.875,52.381,-0.354,-0.954,-2.051,44.444
low_1m,<40%,<-5%,6851,451,1.6,1.0,0.345,51.22,3.887,3.287,0.0,49.598,8.134,7.534,-0.806,48.577
low_1m,<40%,-5~-1%,6543,440,1.582,0.982,0.453,51.636,3.586,2.986,-0.338,48.738,8.042,7.442,-0.202,49.534
low_1m,<40%,-1~0%,3424,432,1.012,0.412,-0.338,48.129,1.925,1.325,-1.767,44.665,5.749,5.149,-2.235,45.707
low_1m,<40%,0~1%,5277,442,1.467,0.867,-0.169,48.824,3.329,2.729,-0.931,47.639,6.898,6.298,-1.228,47.811
low_1m,<40%,1~5%,4162,432,1.881,1.281,0.743,53.112,5.059,4.459,0.5,50.962,9.269,8.669,-0.215,49.471
low_1m,<40%,5~10%,1713,398,1.807,1.207,0.0,49.971,5.319,4.719,0.0,49.854,10.971,10.371,0.952,51.839
low_1m,<40%,>=10%,1328,366,2.735,2.135,0.306,51.28,6.607,6.007,0.525,50.83,14.392,13.792,0.763,51.506
low_1m,40~60%,<-5%,4774,448,1.38,0.78,0.0,49.518,2.895,2.295,-1.302,46.302,5.347,4.747,-3.106,44.219
low_1m,40~60%,-5~-1%,11854,451,1.449,0.849,0.436,51.959,3.593,2.993,0.165,50.224,7.01,6.41,-0.23,49.359
low_1m,40~60%,-1~0%,7028,445,1.356,0.756,0.241,50.847,2.904,2.304,-0.388,48.776,5.785,5.185,-0.746,48.278
low_1m,40~60%,0~1%,7040,444,1.19,0.59,0.0,49.815,3.383,2.783,-0.371,48.884,5.38,4.78,-0.888,47.983
