strategy,jump_events,flat_events,jump_mean_20d_pct,flat_mean_20d_pct,jump_minus_flat_20d_pp,paired_dates_20d,paired_jump_minus_flat_20d_pp,jump_mean_60d_pct,flat_mean_60d_pct,jump_minus_flat_60d_pp,paired_dates_60d,paired_jump_minus_flat_60d_pp,jump_mean_120d_pct,flat_mean_120d_pct,jump_minus_flat_120d_pp,paired_dates_120d,paired_jump_minus_flat_120d_pp
breakout_20d,1766,7430,1.161,0.683,0.477,412,0.32,5.558,3.232,2.326,412,1.26,12.369,7.419,4.95,412,3.883
breakout_60d,1426,3959,1.243,0.652,0.591,386,-0.035,6.026,4.019,2.007,386,0.842,13.377,9.319,4.058,386,1.97
dip_10_20d_above_ma240,571,4507,2.161,1.763,0.398,244,0.887,3.839,3.483,0.355,244,1.005,13.426,6.59,6.835,245,9.447
dip_5_10d_above_ma240,695,7670,2.272,1.071,1.2,310,0.789,4.129,3.038,1.09,310,0.967,8.218,6.252,1.965,310,1.945
low_1m,3973,50982,2.319,1.2,1.119,437,0.508,5.335,2.995,2.34,437,1.268,11.169,5.963,5.207,437,3.167
low_3m,2109,41714,2.305,1.241,1.064,400,-0.479,4.046,2.293,1.753,400,-0.597,9.56,4.878,4.682,400,2.786
low_6m,1715,38380,1.246,0.946,0.3,397,-0.992,2.324,1.854,0.47,396,-1.376,5.358,3.769,1.589,397,-1.598
ma20_reclaim_uptrend,358,2782,2.976,1.17,1.805,189,1.129,4.308,3.614,0.694,189,0.329,9.762,7.645,2.117,189,-0.761
ma20_support_uptrend,5691,25467,1.355,1.104,0.251,449,-0.368,4.935,4.087,0.849,449,-0.06,10.265,8.574,1.691,449,0.424
ma60_reclaim_uptrend,121,1541,-0.427,1.127,-1.554,80,-2.248,1.377,3.82,-2.442,80,-3.85,5.197,6.604,-1.407,80,-5.178
ma60_support_uptrend,2133,21912,1.251,1.211,0.039,424,-0.348,4.181,3.636,0.545,424,-0.447,9.03,7.757,1.274,424,-0.154
near_ma20_pm5,11140,100441,1.067,0.714,0.353,453,0.274,4.221,2.598,1.623,453,1.397,9.167,6.079,3.088,453,2.834
near_ma60_pm5,4745,71261,0.766,0.708,0.058,452,0.017,2.8,2.401,0.399,452,-0.078,7.379,5.507,1.872,452,1.402
pullback_20_30,1017,7419,1.634,0.9,0.733,353,-0.082,2.615,2.492,0.123,352,-0.686,7.982,4.911,3.071,353,4.216
