strategy,whale_band,events,signal_dates,mean_20d_pct,mean_net_20d_pct,median_20d_pct,win_rate_20d_pct,mean_60d_pct,mean_net_60d_pct,median_60d_pct,win_rate_60d_pct,mean_120d_pct,mean_net_120d_pct,median_120d_pct,win_rate_120d_pct
breakout_20d,<-3,437,245,1.141,0.541,-0.681,46.682,5.01,4.41,-2.872,45.767,9.65,9.05,-2.941,45.309
breakout_20d,-3~-1,1652,392,0.907,0.307,-1.464,44.182,3.753,3.153,-1.203,46.396,9.249,8.649,-0.487,49.213
breakout_20d,-1~-0.5,1388,391,0.072,-0.528,-0.924,45.455,2.765,2.165,-0.933,46.83,8.039,7.439,0.177,50.36
breakout_20d,-0.5~0,3135,426,0.731,0.131,-0.607,46.299,2.652,2.052,-0.482,48.388,6.812,6.212,0.559,50.622
breakout_20d,0~0.5,4308,444,0.659,0.059,-0.762,45.59,3.677,3.077,0.194,50.348,7.9,7.3,0.804,51.648
breakout_20d,0.5~1,2166,411,1.204,0.604,-0.626,46.42,4.248,3.648,-0.223,49.354,10.066,9.466,1.487,52.216
breakout_20d,1~2,2078,419,1.053,0.453,-1.0,44.824,5.165,4.565,-0.319,48.796,9.391,8.791,0.509,50.866
breakout_20d,2~3,822,336,0.708,0.108,-1.858,42.336,4.174,3.574,-2.127,45.012,10.23,9.63,-1.205,48.418
breakout_20d,3~5,656,305,1.448,0.848,-1.505,45.579,7.138,6.538,-0.253,49.238,13.074,12.474,-0.326,49.39
breakout_20d,>=5,305,195,1.762,1.162,-1.295,46.23,5.745,5.145,0.64,51.974,16.061,15.461,3.621,56.066
breakout_60d,<-3,248,187,0.403,-0.197,-2.087,43.548,5.365,4.765,-3.212,45.161,10.624,10.024,-5.153,41.129
breakout_60d,-3~-1,776,306,0.916,0.316,-1.626,43.669,4.573,3.973,-2.042,45.103,10.017,9.417,-1.373,48.454
breakout_60d,-1~-0.5,602,284,0.209,-0.391,-1.263,45.0,4.119,3.519,-0.269,49.336,8.89,8.29,1.739,54.319
breakout_60d,-0.5~0,1529,393,0.555,-0.045,-0.8,45.389,3.351,2.751,-0.361,48.855,8.002,7.402,1.186,51.995
breakout_60d,0~0.5,2441,420,0.729,0.129,-0.858,44.982,4.473,3.873,0.442,50.881,10.182,9.582,1.554,53.626
breakout_60d,0.5~1,1408,383,1.385,0.785,-0.625,46.165,4.509,3.909,0.0,49.787,10.554,9.954,2.816,54.901
breakout_60d,1~2,1449,390,0.746,0.146,-1.087,44.751,5.259,4.659,-0.224,49.102,9.283,8.683,1.087,52.036
breakout_60d,2~3,622,301,0.678,0.078,-2.158,42.122,4.575,3.975,-2.191,44.534,11.752,11.152,-0.138,49.518
breakout_60d,3~5,541,280,1.754,1.154,-1.394,46.396,7.751,7.151,-0.214,49.353,13.086,12.486,-0.454,49.168
breakout_60d,>=5,275,177,1.536,0.936,-1.356,45.091,5.776,5.176,0.525,51.825,17.309,16.709,3.853,56.727
dip_10_20d_above_ma240,<-3,2176,377,1.41,0.81,-0.333,47.978,4.556,3.956,-0.683,48.712,8.546,7.946,-2.197,46.094
dip_10_20d_above_ma240,-3~-1,3613,414,1.763,1.163,0.369,51.011,4.431,3.831,0.308,50.443,9.059,8.459,-0.901,48.436
dip_10_20d_above_ma240,-1~-0.5,1509,351,1.888,1.288,0.643,52.021,4.756,4.156,-0.208,49.668,8.874,8.274,-1.188,48.111
dip_10_20d_above_ma240,-0.5~0,2196,395,1.599,0.999,0.28,50.729,3.208,2.608,-1.021,46.448,6.833,6.233,-2.312,45.401
dip_10_20d_above_ma240,0~0.5,2311,377,1.918,1.318,0.17,50.151,3.744,3.144,-1.017,47.337,6.359,5.759,-1.772,47.122
dip_10_20d_above_ma240,0.5~1,729,263,1.887,1.287,0.716,52.401,5.165,4.565,0.278,50.757,9.852,9.252,0.38,50.206
dip_10_20d_above_ma240,1~2,755,259,2.938,2.338,1.288,53.907,5.488,4.888,0.845,51.857,9.668,9.068,1.382,51.391
