歸因因子,分組,期間,n,weeks,mean,median,win,weekly
20日平均成交額,"低於5,000萬",訓練2017–2021,72,55,0.34,-2.18,40.28,0.37
20日平均成交額,"低於5,000萬",驗證2022–2023,38,28,0.06,-0.59,47.37,-0.18
20日平均成交額,"低於5,000萬",最終2024–2025,39,33,-1.68,-4.77,35.9,-2.26
20日平均成交額,"低於5,000萬",監測2026,11,10,0.8,-4.6,36.36,1.85
20日平均成交額,"5,000萬–1.5億",訓練2017–2021,170,113,0.56,-0.71,47.06,0.93
20日平均成交額,"5,000萬–1.5億",驗證2022–2023,73,45,3.0,1.39,58.9,2.54
20日平均成交額,"5,000萬–1.5億",最終2024–2025,63,46,-1.62,-1.75,38.1,-1.25
20日平均成交額,"5,000萬–1.5億",監測2026,25,16,1.55,1.13,52.0,2.66
20日平均成交額,1.5–4億,訓練2017–2021,109,83,2.17,-0.12,49.54,1.08
20日平均成交額,1.5–4億,驗證2022–2023,54,36,1.09,-0.78,40.74,0.93
20日平均成交額,1.5–4億,最終2024–2025,47,36,2.52,-1.16,46.81,2.79
20日平均成交額,1.5–4億,監測2026,13,9,1.12,-1.13,46.15,2.46
20日平均成交額,至少4億,訓練2017–2021,90,69,-0.48,-2.12,41.11,0.33
20日平均成交額,至少4億,驗證2022–2023,50,30,-0.67,-1.52,44.0,1.22
20日平均成交額,至少4億,最終2024–2025,64,43,0.95,-4.81,39.06,2.1
20日平均成交額,至少4億,監測2026,26,14,0.3,-6.53,30.77,2.95
訊號前20日股價報酬,0–10%,訓練2017–2021,100,75,-0.02,-0.69,48.0,0.57
訊號前20日股價報酬,0–10%,驗證2022–2023,41,34,1.13,-0.5,46.34,1.18
訊號前20日股價報酬,0–10%,最終2024–2025,44,33,-1.64,-1.64,43.18,-2.42
訊號前20日股價報酬,0–10%,監測2026,10,7,3.36,0.31,50.0,2.8
訊號前20日股價報酬,10–20%,訓練2017–2021,172,109,0.3,-2.03,40.12,0.26
訊號前20日股價報酬,10–20%,驗證2022–2023,99,54,1.08,0.22,50.51,1.38
訊號前20日股價報酬,10–20%,最終2024–2025,80,50,0.55,-4.45,37.5,1.14
