單週跳升至少(pp),原始大戶比例上限(%),跳升前允許流失(pp),20日平均成交額至少,訊號前20日報酬至少(%),相對月線至少(%),訓練分數,訓練2017–2021_n,訓練2017–2021_weeks,訓練2017–2021_mean,訓練2017–2021_median,訓練2017–2021_win,訓練2017–2021_weekly,驗證2022–2023_n,驗證2022–2023_weeks,驗證2022–2023_mean,驗證2022–2023_median,驗證2022–2023_win,驗證2022–2023_weekly,最終2024–2025_n,最終2024–2025_weeks,最終2024–2025_mean,最終2024–2025_median,最終2024–2025_win,最終2024–2025_weekly,監測2026_n,監測2026_weeks,監測2026_mean,監測2026_median,監測2026_win,監測2026_weekly,訓練排名
0.75,40,0.5,150000000.0,20,5,4.02,38,32,3.18,2.26,63.16,3.68,15,13,2.76,1.39,66.67,2.71,16,14,6.37,0.59,56.25,6.24,13,9,1.12,-1.56,38.46,2.57,1
0.75,40,0.5,150000000.0,20,0,4.02,38,32,3.18,2.26,63.16,3.68,15,13,2.76,1.39,66.67,2.71,16,14,6.37,0.59,56.25,6.24,13,9,1.12,-1.56,38.46,2.57,2
1.0,60,0.5,150000000.0,20,10,2.59,82,64,2.42,0.57,52.44,2.5,40,28,-0.16,-0.37,47.5,1.25,41,29,0.79,-3.36,41.46,0.63,23,14,-0.39,-6.16,30.43,4.29,8
1.0,40,0.0,150000000.0,0,5,2.58,43,36,1.49,1.56,55.81,2.34,24,17,0.81,0.33,50.0,0.75,21,18,11.97,9.37,71.43,10.42,8,8,7.48,3.75,62.5,7.48,9
1.0,40,0.0,50000000.0,10,10,2.52,55,45,1.97,1.56,56.36,2.28,22,17,3.48,1.41,63.64,3.84,25,22,8.78,9.37,64.0,7.83,9,7,8.57,2.09,66.67,9.99,10
1.0,60,0.5,150000000.0,20,5,2.5,85,65,2.36,0.54,51.76,2.42,42,30,0.53,-0.37,47.62,2.12,43,31,0.94,-3.31,41.86,0.84,25,14,0.22,-5.86,32.0,3.22,11
1.0,60,0.5,150000000.0,20,0,2.5,85,65,2.36,0.54,51.76,2.42,42,30,0.53,-0.37,47.62,2.12,43,31,0.94,-3.31,41.86,0.84,25,14,0.22,-5.86,32.0,3.22,12
1.0,40,0.0,150000000.0,0,0,2.44,44,37,1.42,1.45,54.55,2.23,24,17,0.81,0.33,50.0,0.75,21,18,11.97,9.37,71.43,10.42,8,8,7.48,3.75,62.5,7.48,13
0.75,40,0.0,150000000.0,0,5,2.42,51,44,1.52,1.34,52.94,2.22,26,17,0.67,0.33,50.0,0.64,24,21,10.1,5.58,70.83,8.51,9,9,7.9,6.89,66.67,7.9,14
0.75,40,0.5,150000000.0,0,10,2.4,56,48,1.78,2.09,62.5,2.09,22,16,0.16,1.07,59.09,0.22,29,25,4.79,0.24,51.72,4.78,14,9,0.79,-2.52,35.71,6.17,17
0.75,40,0.5,150000000.0,10,10,2.36,54,46,1.76,1.84,61.11,2.08,21,16,0.34,1.15,61.9,0.64,29,25,4.79,0.24,51.72,4.78,13,9,0.94,-3.91,38.46,5.94,18
0.75,40,0.5,50000000.0,20,0,2.29,58,50,2.15,2.12,62.07,1.97,29,25,3.88,1.44,65.52,3.84,31,25,4.59,0.24,51.61,3.84,15,10,1.76,-1.56,40.0,2.68,21
0.75,40,0.5,50000000.0,20,5,2.29,58,50,2.15,2.12,62.07,1.97,29,25,3.88,1.44,65.52,3.84,31,25,4.59,0.24,51.61,3.84,15,10,1.76,-1.56,40.0,2.68,22
0.75,40,0.0,150000000.0,0,0,2.28,52,45,1.46,1.0,51.92,2.13,26,17,0.67,0.33,50.0,0.64,24,21,10.1,5.58,70.83,8.51,9,9,7.9,6.89,66.67,7.9,24
0.75,40,0.0,150000000.0,10,5,2.2,45,40,1.63,1.34,53.33,2.0,23,17,0.53,-0.34,47.83,0.8,23,20,10.41,7.71,69.57,8.79,8,8,8.03,5.77,62.5,8.03,26
0.75,25,0.5,0.0,10,5,2.19,31,27,2.0,0.33,54.84,2.14,26,18,3.74,1.34,57.69,3.43,20,15,2.65,-1.4,45.0,1.53,7,6,4.62,5.94,57.14,3.49,27
0.75,40,0.0,50000000.0,10,10,2.15,62,50,1.7,1.45,54.84,1.93,25,18,2.84,1.39,60.0,3.36,31,27,6.21,2.56,58.06,5.6,10,8,8.84,6.51,70.0,10.15,28
1.0,40,0.0,50000000.0,0,10,2.13,56,46,1.68,1.45,55.36,1.91,23,17,3.17,1.39,60.87,3.44,27,24,8.09,7.71,62.96,7.13,9,7,8.57,2.09,66.67,9.99,29
0.75,25,0.5,0.0,10,0,2.09,32,27,1.88,0.18,53.12,2.06,26,18,3.74,1.34,57.69,3.43,20,15,2.65,-1.4,45.0,1.53,7,6,4.62,5.94,57.14,3.49,30
