rule,period,trades,signal_dates,net_mean_pct,net_median_pct,win_rate_pct,weekly_equal_net_mean_pct,mean_holding_days,stop_rate_pct,take_profit_rate_pct
120日或停損12%,all,435,192,12.804,-12.956,34.023,14.066,71.897,61.379,0.0
120日或停損12%,2017_2021,230,102,15.451,-12.949,35.217,17.095,72.822,61.304,0.0
120日或停損12%,2022_2023,93,39,13.566,-4.53,44.086,14.482,80.409,47.312,0.0
120日或停損12%,2024_2026,112,51,6.736,-13.845,23.214,7.688,62.929,73.214,0.0
60日、停損10%、停利20%,all,435,192,1.078,-7.614,41.609,0.608,29.961,48.966,32.184
60日、停損10%、停利20%,2017_2021,230,102,1.364,-7.485,41.739,-0.136,29.07,48.261,34.348
60日、停損10%、停利20%,2022_2023,93,39,1.797,-3.902,43.011,2.71,34.323,43.011,29.032
60日、停損10%、停利20%,2024_2026,112,51,-0.106,-10.858,40.179,0.49,28.17,55.357,30.357
60日或停損10%,all,435,192,3.743,-10.629,36.782,3.684,41.63,50.805,0.0
60日或停損10%,2017_2021,230,102,5.78,-10.6,36.522,4.884,42.383,50.435,0.0
60日或停損10%,2022_2023,93,39,2.214,-4.304,40.86,4.07,43.29,43.011,0.0
60日或停損10%,2024_2026,112,51,0.829,-11.0,33.929,0.987,38.705,58.036,0.0
固定持有120日,all,435,192,17.563,-0.105,49.655,19.188,119.811,0.0,0.0
固定持有120日,2017_2021,230,102,21.104,0.431,50.87,23.255,119.774,0.0,0.0
固定持有120日,2022_2023,93,39,13.594,2.484,52.688,15.347,119.903,0.0,0.0
固定持有120日,2024_2026,112,51,13.589,-6.006,44.643,13.99,119.812,0.0,0.0
固定持有20日,all,435,192,2.336,0.23,51.494,2.051,20.0,0.0,0.0
固定持有20日,2017_2021,230,102,3.966,0.955,53.913,3.187,20.0,0.0,0.0
固定持有20日,2022_2023,93,39,2.398,1.591,59.14,2.894,20.0,0.0,0.0
固定持有20日,2024_2026,112,51,-1.064,-3.329,40.179,-0.863,20.0,0.0,0.0
固定持有60日,all,435,192,5.459,-1.448,45.287,5.474,59.968,0.0,0.0
固定持有60日,2017_2021,230,102,8.153,-1.355,46.522,7.478,60.0,0.0,0.0
固定持有60日,2022_2023,93,39,2.15,-0.109,47.312,3.515,60.0,0.0,0.0
固定持有60日,2024_2026,112,51,2.675,-4.6,41.071,2.962,59.875,0.0,0.0
