signal_date,entry_date,stock_id,股票名稱,strategy,價格型態,signal_close,entry_close,whale_lag4_pct,whale_lag3_pct,whale_lag2_pct,whale_lag1_pct,whale_current_pct,單週大戶變化(百分點),兩週大戶變化(百分點),四週大戶變化(百分點),單週相對變化(%),兩週相對變化(%),跳升前3週最低大戶比例(%),selected_lot_bucket,prior_20d_return_pct,return_5d,return_10d,return_20d,return_60d,return_120d,excess_0050_5d,excess_0050_10d
2016-12-02,2016-12-05,3032,偉訓,dip_5_10d_above_ma240,淺幅回檔承接,79.259666,80.079947,48.470000,47.790000,52.480000,52.620000,51.860000,-0.760000,-0.620000,3.390000,-1.444318,-1.181402,47.790000,1000,-5.501222,0.001280,0.008963,-0.029449,0.060179,0.227913,-0.023333,-0.001586
2016-12-02,2016-12-05,3236,千如,dip_5_10d_above_ma240,淺幅回檔承接,31.008411,31.697487,30.180000,26.930000,27.800000,29.420000,29.540000,0.120000,1.740000,-0.640000,0.407886,6.258993,26.930000,1000,-6.832298,0.019565,-0.019565,-0.069565,0.260870,0.556522,-0.005048,-0.030114
2016-12-02,2016-12-05,4551,智伸科,dip_5_10d_above_ma240,淺幅回檔承接,122.337662,122.337662,73.620000,75.010000,74.570000,73.840000,74.620000,0.780000,0.050000,1.000000,1.056338,0.067051,73.840000,600,-5.882353,0.066667,0.129167,0.095833,0.191667,0.237500,0.042053,0.118618
2016-12-02,2016-12-05,6209,今國光,dip_5_10d_above_ma240,淺幅回檔承接,33.005088,33.655434,35.100000,33.850000,33.770000,33.570000,34.280000,0.710000,0.510000,-0.820000,2.114984,1.510216,33.570000,1000,-8.764045,0.004831,-0.009662,-0.012077,0.318841,0.376812,-0.019782,-0.020210
2016-12-02,2016-12-05,6452,名稱未提供,dip_5_10d_above_ma240,淺幅回檔承接,443.115928,436.740159,79.820000,79.410000,78.260000,78.460000,79.020000,0.560000,0.760000,-0.800000,0.713739,0.971122,78.260000,200,-6.606943,0.074209,0.111922,0.020681,0.133820,0.159367,0.049596,0.101374
2016-12-02,2016-12-05,1340,勝悅-KY,breakout_20d,20日突破,89.687972,89.841811,55.540000,56.620000,56.580000,56.650000,56.100000,-0.550000,-0.480000,0.560000,-0.970874,-0.848356,56.580000,800,4.667864,-0.066781,-0.071918,-0.058219,-0.020548,-0.126712,-0.091394,-0.082466
2016-12-02,2016-12-05,1460,宏遠,breakout_20d,20日突破,21.586492,21.223694,62.360000,62.870000,62.930000,63.270000,63.000000,-0.270000,0.070000,0.640000,-0.426743,0.111235,62.870000,1000,8.510638,-0.019943,-0.037037,-0.028490,-0.028490,-0.074074,-0.044556,-0.047586
2016-12-02,2016-12-05,1464,得力,breakout_20d,20日突破,36.337900,35.530392,49.680000,49.570000,49.620000,49.800000,50.370000,0.570000,0.750000,0.690000,1.144578,1.511487,49.570000,1000,6.090373,-0.018939,-0.015152,-0.028409,-0.020833,0.134470,-0.043553,-0.025700
2016-12-02,2016-12-05,1582,信錦,breakout_20d,20日突破,122.456903,125.897841,50.050000,49.730000,49.750000,50.180000,50.950000,0.770000,1.200000,0.900000,1.534476,2.412060,49.730000,600,16.346154,0.003215,0.017685,0.014469,-0.004823,0.117363,-0.021398,0.007136
2016-12-02,2016-12-05,2316,楠梓電,breakout_20d,20日突破,26.049030,26.119055,20.820000,21.430000,20.470000,21.320000,22.330000,1.010000,1.860000,1.510000,4.737336,9.086468,20.470000,1000,11.377246,-0.067024,-0.042895,-0.040214,0.112601,-0.080429,-0.091637,-0.053444
2016-12-02,2016-12-05,2340,台亞,breakout_20d,20日突破,14.435755,14.736499,31.880000,31.490000,31.600000,32.280000,33.030000,0.750000,1.430000,1.150000,2.323420,4.525316,31.490000,1000,12.062257,-0.051020,-0.030612,-0.047619,0.119048,0.234694,-0.075634,-0.041161
2016-12-02,2016-12-05,2390,云辰,breakout_20d,20日突破,18.944336,19.370051,52.300000,52.410000,52.350000,53.610000,53.740000,0.130000,1.390000,1.440000,0.242492,2.655205,52.350000,1000,18.666667,-0.071429,-0.082418,-0.068681,-0.112637,-0.170330,-0.096042,-0.092966
2016-12-02,2016-12-05,2823,名稱未提供,breakout_20d,20日突破,80.994808,80.424422,79.580000,79.770000,80.130000,80.460000,81.480000,1.020000,1.350000,1.900000,1.267711,1.684762,79.770000,1000,25.441696,-0.080851,-0.095035,-0.095035,-0.116312,-0.165957,-0.105464,-0.105584
2016-12-02,2016-12-05,3450,聯鈞,breakout_20d,20日突破,319.609356,328.931295,35.200000,34.420000,35.940000,36.030000,38.130000,2.100000,2.190000,2.930000,5.828476,6.093489,34.420000,200,9.090909,-0.008097,0.052632,0.060729,0.210526,0.157895,-0.032710,0.042083
2016-12-02,2016-12-05,5009,榮剛,breakout_20d,20日突破,29.714710,29.880252,32.940000,33.370000,33.400000,32.880000,33.900000,1.020000,0.500000,0.960000,3.102190,1.497006,32.880000,1000,5.899705,0.019391,0.022161,0.060942,0.432133,0.058172,-0.005223,0.011612
2016-12-02,2016-12-05,5490,同亨,breakout_20d,20日突破,106.824144,105.720969,27.710000,27.390000,28.390000,27.910000,28.210000,0.300000,-0.180000,0.500000,1.074884,-0.634026,27.390000,800,23.093220,-0.043478,-0.033043,-0.015652,-0.040000,0.191304,-0.068091,-0.043592
2016-12-02,2016-12-05,6005,群益證,breakout_20d,20日突破,15.636294,15.585251,71.140000,71.160000,71.520000,71.740000,72.120000,0.380000,0.600000,0.980000,0.529691,0.838926,71.160000,1000,16.624365,0.018559,0.025109,0.031659,0.082969,0.076419,-0.006054,0.014561
2016-12-02,2016-12-05,8183,精星,breakout_20d,20日突破,15.478209,15.096704,58.170000,58.420000,58.180000,59.050000,60.380000,1.330000,2.200000,2.210000,2.252329,3.781368,58.180000,1000,35.238095,-0.068592,0.046931,0.140794,0.981949,0.462094,-0.093205,0.036383
2016-12-02,2016-12-05,1460,宏遠,breakout_60d,60日突破,21.586492,21.223694,62.360000,62.870000,62.930000,63.270000,63.000000,-0.270000,0.070000,0.640000,-0.426743,0.111235,62.870000,1000,8.510638,-0.019943,-0.037037,-0.028490,-0.028490,-0.074074,-0.044556,-0.047586
2016-12-02,2016-12-05,1582,信錦,breakout_60d,60日突破,122.456903,125.897841,50.050000,49.730000,49.750000,50.180000,50.950000,0.770000,1.200000,0.900000,1.534476,2.412060,49.730000,600,16.346154,0.003215,0.017685,0.014469,-0.004823,0.117363,-0.021398,0.007136
2016-12-02,2016-12-05,2340,台亞,breakout_60d,60日突破,14.435755,14.736499,31.880000,31.490000,31.600000,32.280000,33.030000,0.750000,1.430000,1.150000,2.323420,4.525316,31.490000,1000,12.062257,-0.051020,-0.030612,-0.047619,0.119048,0.234694,-0.075634,-0.041161
