signal_date,entry_date,stock_id,股票名稱,strategy,價格型態,signal_close,entry_close,whale_lag4_pct,whale_lag3_pct,whale_lag2_pct,whale_lag1_pct,whale_current_pct,單週大戶變化(百分點),兩週大戶變化(百分點),四週大戶變化(百分點),單週相對變化(%),兩週相對變化(%),跳升前3週最低大戶比例(%),selected_lot_bucket,prior_20d_return_pct,return_5d,return_10d,return_20d,return_60d,return_120d,excess_0050_5d,excess_0050_10d,推薦策略,策略條件
2016-12-09,2016-12-12,3455,由田,breakout_60d,60日突破,62.180036,60.973958,16.930000,16.930000,16.930000,16.930000,21.550000,4.620000,4.620000,4.620000,27.288836,27.288836,16.930000,1000,33.717579,0.008791,-0.018681,-0.026374,0.167033,0.125275,0.022518,0.009459,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2016-12-16,2016-12-19,3450,聯鈞,breakout_60d,60日突破,346.243469,346.243469,35.940000,36.030000,38.130000,38.110000,40.690000,2.580000,2.560000,4.750000,6.769877,6.713874,36.030000,200,13.537118,0.000000,0.007692,-0.057692,0.138462,0.076923,0.014614,0.006996,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2016-12-16,2016-12-19,4906,正文,breakout_60d,60日突破,57.244649,53.555052,27.020000,27.710000,27.950000,29.350000,32.050000,2.700000,4.100000,5.030000,9.199319,14.669052,27.710000,1000,31.619537,0.018789,-0.002088,-0.031315,0.144050,0.240084,0.033403,-0.002784,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2016-12-30,2017-01-03,6411,晶焱,breakout_60d,60日突破,64.497935,67.194713,21.170000,21.330000,21.870000,22.270000,24.340000,2.070000,2.470000,3.170000,9.295016,11.294010,21.330000,1000,16.785351,-0.045151,-0.043478,0.168896,0.217391,0.474916,-0.052105,-0.049042,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2017-01-20,2017-01-23,6411,晶焱,breakout_60d,60日突破,71.801708,76.745801,22.270000,24.340000,24.210000,24.080000,26.520000,2.440000,2.310000,4.250000,10.132890,9.541512,24.080000,1000,19.439252,0.020498,0.002928,0.024890,-0.060029,0.468989,0.012938,-0.027147,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2017-02-18,2017-02-20,6190,萬泰科,breakout_60d,60日突破,18.122527,19.386890,23.660000,23.770000,23.780000,23.790000,25.770000,1.980000,1.990000,2.110000,8.322825,8.368377,23.770000,1000,23.360656,-0.083851,-0.043478,-0.037267,-0.142857,-0.156888,-0.073591,-0.040058,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2017-03-10,2017-03-13,3260,威剛,breakout_60d,60日突破,83.981623,84.115565,27.050000,28.300000,27.940000,28.890000,30.690000,1.800000,2.750000,3.640000,6.230530,9.842520,27.940000,1000,17.857143,0.154459,0.273885,0.210191,0.197452,0.253329,0.134459,0.250437,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2017-03-10,2017-03-13,3630,新鉅科,breakout_60d,60日突破,45.549967,46.004331,21.510000,21.510000,22.500000,22.210000,30.030000,7.820000,7.530000,8.520000,35.209365,33.466667,21.510000,1000,83.105023,0.144444,0.046914,0.145679,0.096296,0.528395,0.124444,0.023465,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2017-03-24,2017-03-27,3260,威剛,breakout_60d,60日突破,103.135326,107.153586,30.240000,31.630000,32.640000,32.740000,38.070000,5.330000,5.430000,7.830000,16.279780,16.636029,31.630000,800,43.925234,0.011250,-0.050000,-0.087500,-0.061250,0.032726,0.005185,-0.047978,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2017-03-24,2017-03-27,6411,晶焱,breakout_60d,60日突破,86.521620,84.948500,24.200000,24.790000,24.650000,28.600000,30.660000,2.060000,6.010000,6.460000,7.202797,24.381339,24.650000,1000,12.737921,-0.054233,-0.134921,-0.170635,-0.047619,0.324288,-0.060297,-0.132899,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
