檢驗類型,條件,期間,樣本數,訊號週數,平均超額(%),中位超額(%),勝過0050比例(%),每週等權超額(%)
母體,放寬母體：單週上升≥0.50pp、原始大戶比例<80%、前3週最多流失2pp,2017–2021,1219,233,0.08,-1.3,42.82,0.42
母體,放寬母體：單週上升≥0.50pp、原始大戶比例<80%、前3週最多流失2pp,2022–2023,544,88,0.65,-0.31,48.35,0.33
母體,放寬母體：單週上升≥0.50pp、原始大戶比例<80%、前3週最多流失2pp,2024–2025,565,90,-1.49,-2.88,37.7,-0.46
母體,放寬母體：單週上升≥0.50pp、原始大戶比例<80%、前3週最多流失2pp,2026年至今,195,22,-0.57,-4.18,37.95,-1.2
單週大戶上升,0.50–0.74pp,2017–2021,322,165,-0.35,-1.06,42.86,-0.19
單週大戶上升,0.50–0.74pp,2022–2023,141,67,0.39,0.04,50.35,0.65
單週大戶上升,0.50–0.74pp,2024–2025,136,56,-1.33,-2.46,38.97,-0.98
單週大戶上升,0.50–0.74pp,2026年至今,47,18,-1.15,-3.93,42.55,-0.59
單週大戶上升,0.75–0.99pp,2017–2021,232,131,1.32,-0.72,44.83,1.75
單週大戶上升,0.75–0.99pp,2022–2023,106,55,0.87,-0.26,49.06,0.34
單週大戶上升,0.75–0.99pp,2024–2025,119,64,-2.43,-4.23,34.45,-1.71
單週大戶上升,0.75–0.99pp,2026年至今,39,18,0.72,-4.6,38.46,1.54
單週大戶上升,1.00–1.49pp,2017–2021,288,150,-0.73,-1.93,40.62,-0.3
單週大戶上升,1.00–1.49pp,2022–2023,114,56,0.96,0.14,52.63,-0.09
單週大戶上升,1.00–1.49pp,2024–2025,125,64,-0.26,-2.26,40.8,-0.58
單週大戶上升,1.00–1.49pp,2026年至今,38,19,-0.11,-2.88,39.47,1.54
單週大戶上升,至少1.50pp,2017–2021,377,163,0.31,-1.58,43.24,0.28
單週大戶上升,至少1.50pp,2022–2023,183,67,0.54,-0.6,43.72,-0.04
單週大戶上升,至少1.50pp,2024–2025,185,76,-1.85,-3.03,36.76,-1.24
單週大戶上升,至少1.50pp,2026年至今,71,21,-1.14,-5.26,33.8,-3.18
原始大戶比例,低於25%,2017–2021,71,53,-0.17,-2.09,36.62,0.44
原始大戶比例,低於25%,2022–2023,41,29,3.91,1.49,58.54,4.4
原始大戶比例,低於25%,2024–2025,35,29,0.2,-2.68,37.14,-0.3
原始大戶比例,低於25%,2026年至今,9,7,1.53,-1.56,44.44,1.79
原始大戶比例,25%–39.99%,2017–2021,277,156,-0.01,-1.59,44.77,0.39
原始大戶比例,25%–39.99%,2022–2023,111,56,0.64,0.04,50.45,-0.13
原始大戶比例,25%–39.99%,2024–2025,122,64,0.23,-2.53,37.7,-0.25
原始大戶比例,25%–39.99%,2026年至今,42,17,-1.68,-4.68,38.1,-0.96
原始大戶比例,40%–59.99%,2017–2021,462,182,0.27,-1.08,42.86,0.18
原始大戶比例,40%–59.99%,2022–2023,208,76,-0.04,-1.0,43.27,-0.19
原始大戶比例,40%–59.99%,2024–2025,202,71,-1.86,-2.86,39.11,-1.47
原始大戶比例,40%–59.99%,2026年至今,73,21,-1.25,-6.9,32.88,-1.11
前3週大戶流失,未流失（≤0pp）,2017–2021,546,202,0.06,-1.52,42.49,-0.27
前3週大戶流失,未流失（≤0pp）,2022–2023,242,74,1.31,0.05,50.83,1.62
前3週大戶流失,未流失（≤0pp）,2024–2025,273,82,-1.44,-3.2,36.63,-0.72
前3週大戶流失,未流失（≤0pp）,2026年至今,90,22,-0.64,-3.11,42.22,-1.61
前3週大戶流失,流失0–0.50pp,2017–2021,353,167,-0.04,-1.09,43.63,0.74
前3週大戶流失,流失0–0.50pp,2022–2023,184,71,0.75,-0.28,48.37,1.0
前3週大戶流失,流失0–0.50pp,2024–2025,162,71,-1.0,-2.15,39.51,-0.81
前3週大戶流失,流失0–0.50pp,2026年至今,62,19,1.83,-4.19,41.94,1.2
前3週大戶流失,流失0.50–2pp,2017–2021,320,156,0.25,-1.44,42.5,0.63
前3週大戶流失,流失0.50–2pp,2022–2023,118,63,-0.87,-0.96,43.22,-1.28
前3週大戶流失,流失0.50–2pp,2024–2025,130,65,-2.23,-2.98,37.69,-1.98
前3週大戶流失,流失0.50–2pp,2026年至今,43,18,-3.89,-7.66,23.26,-2.74
訊號前20日股價動能,0%–19.99%,2017–2021,858,213,-0.09,-1.34,42.19,0.13
