strategy,min_whale_change_pp,events,unique_signal_dates,mean_20d_pct,median_20d_pct,win_rate_20d_pct,mean_60d_pct,median_60d_pct,win_rate_60d_pct,mean_120d_pct,median_120d_pct,win_rate_120d_pct
breakout_20d,0.0,10283,451,0.94,-0.888,45.268,4.418,-0.207,49.28,9.425,0.784,51.279
breakout_20d,0.5,5984,444,1.137,-1.012,45.085,4.958,-0.416,48.587,10.545,0.787,51.086
breakout_20d,1.0,3832,442,1.101,-1.347,44.323,5.35,-0.651,48.133,10.771,0.358,50.444
breakout_20d,1.5,2559,435,1.025,-1.724,43.728,5.132,-0.946,47.517,10.98,0.165,50.254
breakout_60d,0.0,6700,447,0.985,-0.977,44.947,4.983,-0.07,49.537,10.748,1.539,52.866
breakout_60d,0.5,4266,438,1.116,-1.067,44.947,5.272,-0.329,48.804,11.09,1.599,52.485
breakout_60d,1.0,2866,429,0.992,-1.429,44.328,5.647,-0.521,48.289,11.321,0.876,51.326
breakout_60d,1.5,2004,417,0.945,-1.798,43.912,5.583,-0.872,47.678,11.888,0.823,51.198
dip_10_20d_above_ma240,0.0,4359,412,2.126,0.49,51.285,4.3,-0.496,48.529,8.467,-0.937,48.52
dip_10_20d_above_ma240,0.5,2051,366,2.377,0.803,52.585,4.908,0.0,49.829,10.745,0.0,49.976
dip_10_20d_above_ma240,1.0,1324,325,2.605,0.83,52.608,4.772,-0.116,49.357,11.303,0.0,49.924
dip_10_20d_above_ma240,1.5,874,289,2.455,0.82,52.463,4.479,-0.861,47.592,12.126,-0.952,48.513
dip_5_10d_above_ma240,0.0,6725,446,1.354,0.0,49.926,3.637,-0.605,48.104,6.959,-0.763,48.297
dip_5_10d_above_ma240,0.5,3104,420,1.621,0.187,50.177,4.332,-0.219,49.13,8.284,-0.432,48.84
dip_5_10d_above_ma240,1.0,1842,390,1.652,0.0,49.023,3.9,-0.966,47.283,8.573,-0.774,48.426
dip_5_10d_above_ma240,1.5,1109,357,1.993,0.0,49.594,4.356,-0.741,47.967,9.59,-0.714,48.693
low_1m,0.0,41741,453,1.401,0.336,51.102,3.773,0.158,50.218,7.246,0.189,50.265
low_1m,0.5,17847,449,1.591,0.385,51.328,4.477,0.315,50.566,8.688,0.366,50.608
low_1m,1.0,10233,448,1.743,0.283,50.777,4.614,0.0,49.863,9.42,0.207,50.279
low_1m,1.5,6233,444,2.03,0.304,50.746,5.031,0.154,50.161,10.35,0.378,50.457
low_3m,0.0,29723,450,1.501,0.49,51.902,2.805,-0.298,48.97,5.655,-0.73,48.356
low_3m,0.5,11516,446,1.538,0.484,51.677,2.971,-0.485,48.531,6.558,-1.106,47.82
low_3m,1.0,6100,436,1.643,0.392,51.247,2.983,-0.866,47.66,6.947,-1.389,47.689
low_3m,1.5,3508,425,2.008,0.452,51.354,3.679,-0.579,48.5,8.538,-0.768,48.689
low_6m,0.0,27696,453,0.941,0.231,50.62,1.946,-0.662,47.922,3.698,-1.449,46.898
low_6m,0.5,10640,450,0.833,0.0,49.878,1.634,-1.039,47.206,3.665,-2.014,45.977
low_6m,1.0,5426,446,0.952,0.0,49.308,1.649,-1.374,46.431,3.606,-2.575,45.393
low_6m,1.5,2918,424,1.224,0.0,49.246,2.33,-1.015,47.358,4.718,-2.108,46.47
ma20_reclaim_uptrend,0.0,3000,418,1.12,-0.633,46.1,3.947,-0.248,49.033,8.439,0.77,51.533
ma20_reclaim_uptrend,0.5,1471,374,1.373,-0.69,46.091,4.167,-0.572,48.131,8.434,0.33,50.51
ma20_reclaim_uptrend,1.0,870,304,1.564,-1.143,44.713,4.526,-1.282,46.667,9.384,0.0,49.54
ma20_reclaim_uptrend,1.5,548,244,2.829,-0.94,46.898,5.24,-1.257,47.08,11.127,0.0,49.453
ma20_support_uptrend,0.0,35906,453,1.099,-0.286,47.746,4.102,0.539,51.565,8.863,2.101,54.645
ma20_support_uptrend,0.5,20360,453,1.184,-0.439,47.086,4.296,0.249,50.496,9.401,1.609,53.193
ma20_support_uptrend,1.0,12772,453,1.174,-0.672,46.235,4.374,-0.316,48.973,9.44,0.904,51.519
ma20_support_uptrend,1.5,8370,451,1.376,-0.764,45.745,4.679,-0.595,48.332,9.813,0.442,50.621
ma60_reclaim_uptrend,0.0,1247,352,1.065,0.0,49.88,3.18,-0.285,49.117,7.192,0.189,50.2
ma60_reclaim_uptrend,0.5,528,242,1.095,0.0,49.811,3.047,-0.383,49.053,7.727,-2.092,47.348
ma60_reclaim_uptrend,1.0,311,181,1.11,-0.274,47.588,2.79,-1.483,46.302,8.642,-2.769,47.588
ma60_reclaim_uptrend,1.5,194,132,1.205,0.0,48.969,1.458,-1.862,44.33,7.563,-2.599,46.907
ma60_support_uptrend,0.0,23077,453,1.161,0.105,50.104,3.747,0.771,52.695,8.071,2.16,55.306
ma60_support_uptrend,0.5,10536,451,1.217,-0.125,48.67,4.23,0.385,51.126,8.93,1.58,53.322
ma60_support_uptrend,1.0,5790,448,0.98,-0.416,47.338,3.693,-0.233,49.179,8.821,0.693,51.054
ma60_support_uptrend,1.5,3394,440,0.971,-0.642,46.344,3.376,-0.744,47.58,8.431,-0.125,49.646
near_ma20_pm5,0.0,99245,453,0.734,-0.233,48.122,2.929,-0.139,49.293,6.803,0.588,51.114
near_ma20_pm5,0.5,47756,453,0.8,-0.394,47.404,3.265,-0.41,48.572,7.559,0.189,50.27
near_ma20_pm5,1.0,27904,453,0.781,-0.6,46.467,3.391,-0.87,47.374,7.831,-0.337,49.287
near_ma20_pm5,1.5,17138,453,0.965,-0.703,46.076,3.855,-0.97,47.325,8.526,-0.453,49.113
near_ma60_pm5,0.0,62576,453,0.607,-0.116,48.589,2.497,-0.116,49.294,5.839,0.353,50.655
near_ma60_pm5,0.5,26513,453,0.565,-0.355,47.435,2.741,-0.616,47.857,6.479,-0.439,49.021
near_ma60_pm5,1.0,13965,453,0.449,-0.592,46.427,2.614,-1.139,46.541,6.587,-1.116,47.705
near_ma60_pm5,1.5,7902,452,0.63,-0.625,46.314,2.639,-1.335,46.11,6.851,-1.334,47.216
pullback_20_30,0.0,7728,451,1.214,-0.512,47.554,2.999,-1.995,45.065,5.79,-4.368,42.728
pullback_20_30,0.5,3747,444,1.404,-0.262,48.478,2.912,-1.972,45.068,6.276,-4.362,42.647
pullback_20_30,1.0,2409,430,1.137,-0.548,47.218,2.384,-2.502,43.802,6.505,-4.661,41.968
