資料日期,代號,股票名稱,資料日收盤價,動態大戶級距(張),前週大戶比例(%),本週大戶比例(%),本週變化(百分點)
2016-11-11,8201,無敵,13.972156,1000,0.000000,51.970000,51.970000
2016-11-11,6201,亞弘電,68.963209,1000,52.460000,70.060000,17.600000
2016-11-11,6206,飛捷,395.350879,200,60.980000,71.740000,10.760000
2016-11-11,1586,和勤,26.167310,1000,38.820000,44.860000,6.040000
2016-11-11,8455,大拓-KY,34.043014,1000,87.770000,91.910000,4.140000
2016-11-11,1909,榮成,25.558824,1000,71.570000,74.450000,2.880000
2016-11-11,6176,瑞儀,128.136433,600,53.110000,55.970000,2.860000
2016-11-11,4722,國精化,52.343556,1000,30.150000,32.760000,2.610000
2016-11-11,4924,欣厚-KY,8.557343,1000,26.290000,28.900000,2.610000
2016-11-11,4905,台聯電,49.649939,1000,54.420000,56.860000,2.440000
2016-11-11,3285,微端,21.719546,1000,33.330000,35.620000,2.290000
2016-11-11,6283,淳安,12.690683,1000,40.230000,42.510000,2.280000
2016-11-11,3541,西柏,222.211273,400,46.460000,48.680000,2.220000
2016-11-11,4549,桓達,89.156041,800,61.640000,63.750000,2.110000
2016-11-11,1340,勝悅-KY,86.303520,1000,54.680000,56.620000,1.940000
2016-11-11,3673,TPK-KY,75.681413,1000,45.590000,47.440000,1.850000
2016-11-11,1569,濱川,40.329754,1000,47.600000,49.270000,1.670000
2016-11-11,6506,雙邦,29.196845,1000,34.630000,36.290000,1.660000
2016-11-11,2233,宇隆,114.494655,600,37.110000,38.710000,1.600000
2016-11-11,3708,上緯投控,62.400000,1000,36.490000,38.050000,1.560000
2016-11-11,5210,寶碩,8.419174,1000,45.620000,47.170000,1.550000
2016-11-11,3105,穩懋,60.082747,1000,63.000000,64.530000,1.530000
2016-11-11,5289,宜鼎,112.802434,800,25.850000,27.330000,1.480000
2016-11-11,3141,晶宏,18.778637,1000,14.740000,16.220000,1.480000
2016-11-11,4551,智伸科,141.707792,600,73.620000,75.010000,1.390000
2016-11-11,3558,神準,151.668309,600,58.670000,59.990000,1.320000
2016-11-11,8433,弘帆,158.833757,600,75.180000,76.470000,1.290000
2016-11-11,3360,尚立,25.302512,1000,35.790000,37.080000,1.290000
2016-11-11,1323,永裕,70.212032,1000,42.540000,43.810000,1.270000
2016-11-11,2352,佳世達,13.270221,1000,47.890000,49.130000,1.240000
2016-11-11,3217,優群,37.530411,1000,42.650000,43.880000,1.230000
2016-11-11,1795,美時,56.607876,1000,18.850000,20.080000,1.230000
2016-11-11,3296,勝德,18.123388,1000,59.380000,60.590000,1.210000
2016-11-11,3583,辛耘,62.729178,1000,59.200000,60.410000,1.210000
2016-11-11,2228,劍麟,205.418549,400,79.810000,81.000000,1.190000
2016-11-11,1809,中釉,15.758506,1000,58.120000,59.300000,1.180000
2016-11-11,3068,名稱待補,83.938045,1000,57.300000,58.480000,1.180000
2016-11-11,6220,岳豐,50.081528,1000,51.820000,53.000000,1.180000
2016-11-11,6180,橘子,39.584899,1000,51.760000,52.930000,1.170000
2016-11-11,1598,岱宇,35.700000,1000,72.640000,73.800000,1.160000
2016-11-11,2425,承啟,8.259956,1000,69.390000,70.550000,1.160000
2016-11-11,6223,旺矽,132.689044,600,42.850000,44.000000,1.150000
2016-11-11,3289,宜特,115.380938,600,28.860000,29.970000,1.110000
2016-11-11,2371,大同,3.720938,1000,59.960000,61.060000,1.100000
2016-11-11,6412,群電,60.872663,1000,78.030000,79.120000,1.090000
2016-11-11,1466,聚隆,16.098637,1000,53.130000,54.180000,1.050000
2016-11-11,2488,漢平,85.942042,1000,36.760000,37.770000,1.010000
2016-11-11,2499,名稱待補,22.463386,1000,37.540000,38.550000,1.010000
2016-11-11,3152,璟德,396.108531,200,73.340000,74.330000,0.990000
2016-11-11,3325,旭品,34.421901,1000,24.040000,25.030000,0.990000
2016-11-11,5484,慧友,11.756817,1000,37.430000,38.410000,0.980000
2016-11-11,4939,亞電,11.770966,1000,28.380000,29.340000,0.960000
2016-11-11,3024,憶聲,11.509515,1000,38.370000,39.320000,0.950000
2016-11-11,3346,麗清,,100,78.090000,79.040000,0.950000
2016-11-11,8112,至上,36.866089,1000,34.940000,35.850000,0.910000
2016-11-11,1467,南緯,15.362406,1000,53.090000,53.980000,0.890000
2016-11-11,3055,蔚華科,36.746148,1000,33.150000,34.030000,0.880000
2016-11-11,1605,華新,17.606262,1000,69.280000,70.090000,0.810000
2016-11-11,3054,立萬利,34.287639,1000,70.900000,71.700000,0.800000
2016-11-11,6226,光鼎,5.552585,1000,27.110000,27.900000,0.790000
2016-11-11,4744,皇將,,100,64.060000,64.840000,0.780000
2016-11-11,2405,輔信,9.471044,1000,32.700000,33.470000,0.770000
2016-11-11,2069,運錩,19.814400,1000,81.440000,82.190000,0.750000
2016-11-11,4414,如興,5.868526,1000,41.880000,42.590000,0.710000
2016-11-11,3038,全台,12.613300,1000,28.680000,29.360000,0.680000
2016-11-11,3062,建漢,30.363959,1000,41.540000,42.200000,0.660000
2016-11-11,1580,新麥,329.655100,200,66.120000,66.780000,0.660000
2016-11-11,5203,訊連,138.127615,600,47.590000,48.250000,0.660000
2016-11-11,6184,大豐電,91.245319,800,73.550000,74.210000,0.660000
2016-11-11,4426,利勤,274.800357,200,73.630000,74.280000,0.650000
2016-11-11,2002,中鋼,54.472955,1000,56.130000,56.780000,0.650000
2016-11-11,2458,義隆,52.797025,1000,34.360000,35.010000,0.650000
2016-11-11,1305,華夏,32.957395,1000,74.090000,74.730000,0.640000
2016-11-11,2497,怡利電,40.271696,1000,56.640000,57.280000,0.640000
2016-11-11,4113,聯上,20.664356,1000,47.230000,47.870000,0.640000
2016-11-11,5469,瀚宇博,38.507473,1000,58.480000,59.120000,0.640000
2016-11-11,1338,廣華-KY,110.894385,800,56.230000,56.860000,0.630000
2016-11-11,4609,唐鋒,15.696556,1000,66.290000,66.920000,0.630000
2016-11-11,6285,啟碁,305.714990,200,81.370000,82.000000,0.630000
2016-11-11,2316,楠梓電,23.178035,1000,20.820000,21.430000,0.610000
2016-11-11,5471,松翰,73.711193,1000,36.300000,36.910000,0.610000
2016-11-11,2062,橋椿,66.182802,1000,55.510000,56.110000,0.600000
2016-11-11,5498,凱崴,9.470000,1000,56.870000,57.470000,0.600000
