價格結構,大戶路徑,增加門檻(百分點),原始比例上限(%),跳升前允許流失(百分點),穩健分數,訓練期2017–2021_n,訓練期2017–2021_weeks,訓練期2017–2021_mean,訓練期2017–2021_median,訓練期2017–2021_win,訓練期2017–2021_weekly,驗證期2022–2023_n,驗證期2022–2023_weeks,驗證期2022–2023_mean,驗證期2022–2023_median,驗證期2022–2023_win,驗證期2022–2023_weekly,最終驗證2024–2025_n,最終驗證2024–2025_weeks,最終驗證2024–2025_mean,最終驗證2024–2025_median,最終驗證2024–2025_win,最終驗證2024–2025_weekly
breakout_20d,單週,1.0,25,0.0,3.64,36,33,2.14,-0.52,47.22,2.51,23,18,4.74,1.49,56.52,4.35,18,16,2.78,-2.28,50.0,3.73
breakout_20d,單週,0.75,25,0.0,3.38,42,35,1.72,-0.65,42.86,2.24,27,20,3.96,1.49,59.26,4.15,23,17,1.28,-0.65,47.83,3.42
breakout_60d,單週,1.5,40,0.0,2.41,73,55,0.57,-0.81,47.95,1.03,34,23,2.74,1.41,58.82,2.34,29,27,3.5,1.84,55.17,3.33
breakout_60d,單週,1.0,40,0.0,2.25,111,76,0.58,-0.82,45.95,1.01,54,36,2.31,1.09,57.41,1.54,48,39,4.83,0.04,52.08,3.65
breakout_20d,單週,1.0,40,0.0,2.16,139,90,0.53,-0.82,42.45,0.9,69,44,2.59,0.99,55.07,2.68,64,45,2.69,-1.7,45.31,2.5
breakout_60d,單週,2.5,40,0.5,2.05,43,40,-0.29,-1.05,48.84,-0.23,25,19,1.03,0.99,52.0,0.88,19,15,3.75,-0.4,47.37,4.49
breakout_60d,兩週,1.0,25,0.0,1.88,75,61,1.24,-1.34,48.0,1.6,44,31,3.47,0.56,52.27,3.7,37,28,1.67,-2.21,40.54,1.01
breakout_20d,單週,2.0,40,0.0,1.82,55,44,-1.51,-1.81,38.18,-0.49,25,17,2.65,1.44,60.0,1.06,21,18,3.13,0.04,52.38,3.92
breakout_20d,單週,0.75,25,0.5,1.75,60,46,1.73,-0.65,45.0,1.73,40,26,2.96,0.93,52.5,3.26,38,25,0.57,-1.4,47.37,0.44
breakout_60d,單週,0.75,25,0.5,1.74,41,34,0.55,-1.64,46.34,0.8,28,19,3.61,1.34,57.14,3.32,22,17,2.11,-1.4,45.45,0.95
breakout_60d,兩週,1.5,25,0.0,1.71,53,48,0.71,-1.64,45.28,0.68,32,22,2.82,1.46,56.25,2.74,30,24,1.72,-1.76,43.33,1.65
breakout_20d,單週,2.5,40,0.0,1.67,37,33,-0.28,-0.52,45.95,0.15,19,13,0.82,1.39,57.89,-0.37,16,14,4.62,5.9,56.25,5.77
breakout_20d,單週,1.0,25,0.5,1.65,50,42,1.69,-0.52,48.0,1.38,31,22,3.84,-0.29,48.39,3.34,30,23,0.92,-3.63,43.33,0.56
breakout_20d,單週,1.5,40,0.0,1.63,82,59,0.2,-0.65,45.12,0.79,38,25,2.41,1.41,57.89,1.76,39,33,1.4,-0.91,46.15,2.04
breakout_60d,單週,0.75,40,0.0,1.59,135,89,0.44,-1.62,42.96,0.63,59,38,2.08,1.15,57.63,1.36,60,47,3.68,0.04,51.67,2.38
breakout_20d,單週,0.75,40,0.0,1.47,178,108,0.39,-1.63,39.89,0.23,79,47,2.08,0.73,53.16,2.51,82,54,1.61,-1.49,45.12,1.34
breakout_60d,單週,1.0,25,0.5,1.39,35,31,-0.2,-1.64,45.71,-0.05,21,14,4.44,1.44,52.38,3.78,19,16,2.11,-2.68,42.11,0.55
breakout_20d,兩週,1.0,25,0.0,1.38,116,84,1.91,-0.52,47.41,1.35,75,42,2.37,0.5,52.0,3.62,66,41,0.22,-2.18,39.39,0.15
dip_5_10d_above_ma240,四週,2.0,25,0.0,1.31,49,44,-0.33,-1.11,48.98,-0.77,27,25,5.92,-0.4,48.15,5.26,25,21,0.42,-1.93,40.0,-0.04
dip_5_10d_above_ma240,四週,2.0,25,1.0,1.31,49,44,-0.33,-1.11,48.98,-0.77,27,25,5.92,-0.4,48.15,5.26,25,21,0.42,-1.93,40.0,-0.04
dip_5_10d_above_ma240,四週,2.0,25,0.5,1.31,49,44,-0.33,-1.11,48.98,-0.77,27,25,5.92,-0.4,48.15,5.26,25,21,0.42,-1.93,40.0,-0.04
