急拉幅度,進場回落,停損距離,量能倍率,信號窗口,樣本數,勝率,均報酬,PF,停損率
>=3%,1.0%,0.3%,1.0,15,23355,0.7861699850139157,0.023422524259684857,10.180691620077356,0.07022050952686791
>=3%,1.0%,0.3%,1.0,20,26937,0.7795597134053532,0.022635269953116058,9.7187462672234,0.07469280172253777
>=3%,1.0%,0.3%,1.0,30,32573,0.7672305283517024,0.02121682111015042,8.861902872254651,0.0815706259785712
>=3%,1.0%,0.3%,1.0,45,39022,0.7519860591461227,0.019601607997237737,7.968712994771705,0.08894982317666957
>=3%,1.0%,0.3%,1.0,60,44094,0.7367895858847009,0.018280432877286368,7.215323808053204,0.0969519662539121
>=3%,1.0%,0.3%,1.0,90,51831,0.7080125793444078,0.0162058707364328,6.010000144622354,0.11442958847022053
>=3%,1.0%,0.3%,1.0,120,59730,0.6688598694123556,0.013957603052017589,4.800878864555847,0.141804788213628
>=3%,1.0%,0.3%,1.5,15,19227,0.7794247672543818,0.023547522646950717,9.77080436157128,0.06912154782337337
>=3%,1.0%,0.3%,1.5,20,22028,0.7743780642818231,0.022899294697634416,9.461240397988643,0.07258943163246777
>=3%,1.0%,0.3%,1.5,30,26138,0.7620705486265208,0.021518586953544434,8.636139942753815,0.0797306603412656
>=3%,1.0%,0.3%,1.5,45,30573,0.7478494096097864,0.019989880849691683,7.801713202912108,0.08824780034671115
>=3%,1.0%,0.3%,1.5,60,34031,0.7330962945549646,0.018697024026755917,7.080170597151981,0.09567747054156504
>=3%,1.0%,0.3%,1.5,90,38979,0.7033274327201826,0.016727036925381016,5.9631959013701845,0.11318915313373867
>=3%,1.0%,0.3%,1.5,120,44084,0.6664322656746212,0.014568897538059587,4.8453581104904515,0.14007349605298974
>=3%,1.0%,0.3%,2.0,15,16083,0.7729279363302867,0.023601105729896363,9.428202791261345,0.06820866753715103
>=3%,1.0%,0.3%,2.0,20,18280,0.7681072210065646,0.022939980901000512,9.156113549205156,0.07128008752735229
>=3%,1.0%,0.3%,2.0,30,21375,0.7554152046783625,0.021615207709086315,8.355852094027169,0.07962573099415204
